entry_id	family_id	concept	reconstruction	c1	v1	v1_quantity	c2	c2_structure	v2	structure	grammatical_category	boundary_evidence	input_support	input_confidence	direction_argument	derivation	exception_notes	confidence	references	eligibility	mechanism	review_status	review_date
d63	d63	hide, subdue, be compressed	*aṭ-a-nk- / *aṭ-a-nkk-	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	Nasal intransitive versus stronger transitive formations recur independently in Tamil, Kannada, Telugu and the reconstruction.	Tamil aṭaŋku/aṭakku, Kannada aḍaŋgu/aḍaku and Telugu aḍãgu/aḍacu independently support the uncontracted low-vowel formative. K03 p.107 reconstructs these derivatives at Proto-South Dravidian level; PDr labels in CLDF are not precise historical levels.	high	The shared vowel-initial aṭ/aḍ order in SD I and aṛ- in Kurux–Malto, including the same stop/nasal formative contrasts, favors older *aṭ-aŋ- over an initial *ḍā- followed by multiple independent vowel insertions.	*aṭ-aŋ- > *aḍ-aŋ- > *ḍāŋ- > Telugu ḍā̃gu/dā̃gu; independently *aṭ-aŋkk- > *ḍāŋc- > ḍā̃cu/dā̃cu. Literal *ḍaaŋ- contraction and assimilation/stress-induced V1 loss are competing implementations; the Telugu nasal-loss and initial ḍ>d are subsequent developments.	Telugu retains aḍagu/aḍãgu “submit” and aḍacu “suppress” beside displaced “hide” forms: a real within-family semantic/formation split, not proof of a phonological exceptionless class. Kui also retains āṛpa/āṭpa. Kolami and Naikri are diagnosed as early Telugu loans by K03 p.107; aspiration in Naikri needs a recipient history. Tulu aḍeŋgɯ : ḍeŋgɯ/deŋguni is compatible with local aphaeresis, not independently the Telugu contraction. d80 shares compressed/piled semantics and homophonous Toda/Kannada evidence; sensitivity analysis should collapse d63+d80 without asserting that DEDR erred.	high	K03 pp.107,162; PSS83 pp.229,233; K61 pp.51–54; DEDR 63	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d72	d72	foot, base	*aṭ-V; regional *aṭ-Vk-	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	*-Vk expansion contrasts regionally with bare *aṭ-V; independent of metathesis outcome.	Tamil aṭi, Kannada aḍi and Telugu aḍugu support *aṭ- and different vowel/consonant formatives. K03-derived CLDF reconstructions explicitly leave V unspecified.	medium	Initial vowel preceding the apical occurs in SD I and Gondi–Konda, supporting V–C order without using Telugu as the sole conservative witness.	*aṭ-Vk- > *aḍ-Vg- > Telugu aḍugu; Konda aḍgi shows medial-vowel loss without movement. Tamil/Kannada *aṭ-i gives aṭi/aḍi; they are not the identical -Vk derivative.	The independent suffix-vowel quality is not securely recovered: do not use Telugu u alone to prove a historical high-vowel class. Gadaba aḍugu is explicitly marked a Telugu loan. The Indo-Aryan heel forms attached to this family are contact comparisons, not votes for a Dravidian proto-vowel.	medium	DEDR 72; K03 reconstruction records in Jambu	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d77	d77	pound, beat	*aṭ-V-; *aṭ-aŋ- / *aṭ-Vmp- derivatives	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	plausible formative boundary; not independently dated	Tamil aṭu/aṭi/aṭar and Kannada aḍi/aḍar establish short a and postvocalic retroflex; Telugu aḍucu and aḍupu retain that ordering. Kui ḍāmba and Kuvi ḍamb- support a labial nasal formative but do not independently establish Telugu *-aŋ-.	medium	Independent SD I vowel-initial forms plus Parji/Gadaba aṭ(t)- support earlier V–ṭ; deriving them all by vowel insertion before Proto-*ḍa- is poorly motivated.	Possible *aṭ-aŋ- > *aḍ-aŋ- > *ḍāŋ- > ḍaŋgu > daŋgu, with shortening before NP; alternatively a consonantal formative produces short vowel directly. Transitive ḍancu/dancu and dampu have distinct extensions. Konda ḍaŋ-/ḍak-/ḍas- shows related displaced stems; exact shared suffixes require reconstruction.	Kui ā in ḍāmba supports investigating an early long vowel but is not an attested intermediate of Telugu ŋg. The Telugu non-displaced beat/fight forms must not be dropped. Tulu darpuni could reflect *aḍar- with aphaeresis, but the local vowel/stop history does not uniquely identify a literal swap. Kota ayṛ-/aṛc- is a distinct glide alternation.	medium	K61 pp.53–54; PSS83 comparison of pound; DEDR 77	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d78	d78	be fit, be able	*aṭ-u-; Telugu *aṭ-ar- formation	Ø	a	short	ṭ	singleton	unknown	VC-V / VC-VC	verb	Derivative status of Telugu -ar- plausible from cross-language comparison; bare ability stems do not independently test the formative-conditioned rule.	Tamil aṭu, Malayalam aṭukka, Kannada aḍavu, Konda aṭ-, Pengo/Manda aḍ- support vowel-initial root. Telugu aḍaru has a different extension from the bare ability root.	medium	Vowel-first root occurs in SD I, SD II and Malto, so the comparison supplies a broadly supported retained order.	*aṭ-V- > aḍ-/aṭ- in daughter languages; Telugu *aḍ-ar- > aḍaru. Kui/Kuvi āḍ- lengthens while retaining V–C; this is not metathesis.	A short-versus-long ability root alternation exists in Kuvi dialect/source records. Its quantity cannot be labeled concealed displacement because the apical remains postvocalic. Exact reconstruction of Telugu -ar- and whether it is productive morphology remain open.	medium	DEDR 78	core-formation-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d79	d79	approach, join, near	*aṭ-ay-; *aṭ-ar- and *aṭ-Vk- extensions	Ø	a	short	ṭ	singleton	a	VC-ay / other derivatives	verb/noun	The -ay- formation is supported by Tamil aṭai and Kannada aḍe; additional -ar/-Vk formations kept separate.	Tamil aṭai and Kannada aḍe support *aṭ-ay- independently; Tamil/Kannada aṭu/aḍar and aḍapu show distinct extensions. Long and short Telugu outcomes cannot all be assigned one suffix.	high	SD I aṭ/aḍ-initial bases and Malto aṭg- preserve V–apical ordering; Telugu ḍā- and Kui ṛā- are innovations under the cognacy hypothesis.	*aṭ-ay- > *aḍ-ay- > *ḍāy- > Telugu ḍāyu/dāyu; *aṭ-Vk- may yield *ḍak(k)- > ḍaggaṟa/daggaṟa, but the exact suffix and strengthening history are unresolved. Kui *aḍ-a-NC > ṛānja requires local ṭ/ṛ correspondence and is a separate derivation.	Telugu aḍaru “arise” retains order; a derived -k- nearness noun differs from the -ay- approach verb. Kuvi dagira/daggire/ḍagre resembles the Telugu extended nearness word and may be a loan; independently proving that donor history is necessary before counting an inherited Kuvi innovation. Kui retains aḍa/aṭpa beside ṛānja etc. No semantic label is used as an automatic phonological condition.	medium	K61 vowel-initial cases pp.51–57; DEDR 79	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d80	d80	pile, arrange in tiers	*aṭ-uk(k)- / *aṭ-aŋk-	Ø	a	short	ṭ	singleton	u	VC-u-PP	verb/noun	-uk(k) formation corroborated across Tamil/Malayalam/Telugu; root singleton is before the formative vowel.	Tamil aṭukku, Malayalam aṭukkuka, Telugu aḍuku independently support high u in a pile formation; Kannada aḍuku/aḍaku and Kodagu aḍak-/aḍaŋg- show vowel and transitivity variants.	high	All attested branches keep the root vowel before the apical. The medial cluster in Nilgiri forms is a syncope outcome, not initial apical movement.	*aṭ-ukk- > Tamil aṭukku; *aḍ-uk- > Telugu aḍuku; *aḍ-Vk- > Kota aṛk-/Toda oṛk-. No displacement is required for any reviewed reflex.	This is a retained high-formative counterpart to displaced high-formative cases elsewhere: vowel height alone does not decide application. The etymon overlaps d63 in Toda oṛk- “subdue, pile” and Kannada packing vocabulary. Report both strict DEDR counts and a conservative collapse with d63; do not count the same Toda token twice as independent root evidence.	medium	DEDR 80; compare DEDR 63	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d81	d81	ask, beg	*aṭ-uk-?; wider root *aṭ-/aḷ- uncertain	Ø	a	short	ṭ	singleton	u	VC-u-C	verb	plausible formative boundary; not independently dated	Telugu aḍugu and Parji aḍ-/aḍi support older vowel–apical order; Tamil aḷavu has a lateral and Tulu naṭṭu adds n and gemination. The precise PDr reconstruction is less secure than its starred CLDF display suggests.	low	Vowel-first Telugu and Parji agree, while Kui jāpa is analyzed in DEDR as an innovative reflex with a special ṭ : j correspondence. The disparate Tamil/Tulu roots prevent simply assuming all strings are regular descendants of one fully specified stem.	Telugu *aḍ-ug- > aḍugu retains order. Under DEDR cognacy, Kui *aṭ-a-p- > *ṭāp- > jāp- is a possible displacement derivation, requiring a low formative distinct from Telugu u and independent support for ṭ>j.	DEDR cites Burrow and Bhattacharya, IIJ 5:122 for ṭ : Kui j; that primary argument has not yet been obtained. The Kui history remains tentative, not a secure success in a quantitative sound-law test. Tamil lateral and Tulu n require either separate changes, morphological analysis, or revised cognacy.	low	DEDR 81, citing Burrow and Bhattacharya IIJ 5:122; Starostin via Merriam record 86	cognacy-or-input-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d86	d86	anvil, support	*aṭ-ay(-kal)	Ø	a	short	ṭ	singleton	a	VC-ay + noun compound	noun	Support + stone composition independently visible in Tamil, Malayalam, Kannada and Telugu.	Tamil aṭai “support” and aṭai-kal “anvil”, Malayalam aṭa-kkallu and Kannada aḍe-gal/aḍa-gallu establish the support-stone compound independently of Telugu.	high	Vowel-first support nouns in three southern languages and Kota aṛ gal favor original *aṭay; Telugu initial ḍā is an innovation in the first compound member.	*aṭ-ay-kal > *aḍ-ay-kal > *ḍāy-kal > ḍā-kallu / ḍā-kali > dākali; dāyi can reflect the uncompounded first member. Intermediate y loss and changes of the stone component are separate from displacement.	This compound shows that a morphological boundary after the eligible first member need not block displacement. It does not license moving arbitrary consonants across a compound boundary. The detailed kali/gali/kallu variation needs suffix/compound history; it is not a free phonological substitution. No independent SCDr non-Telugu attestation is in this set.	medium	DEDR 86; K61 vowel-initial displacement pp.51–57	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d202	d202	pipal tree	*ar-a- (extensions *-c, *-ḷ, *-y and Telugu -v/-g)	Ø	a	short	r	singleton	a	VC-a-C	noun	plausible formative boundary; not independently dated	Tamil aracu/arai, Malayalam aracu/arayāl and Kannada arase/araḷi support initial ar-a- and several lexical extensions. K03 p.10 lists *ar-ac/-aḷ; those are not literal ancestors of Telugu rāvi.	high	Several SD I languages retain ar- and show internal suffix variation. The parsimonious directional comparison is ar-a- > rā-, but it does not independently reconstruct the final Telugu consonant.	*ar-a-... > *rā-... > rāvi/rāgi, with the -v/-g material unexplained by displacement itself. A specific *ar-avi or *ar-agi intermediate would be a fitted reconstruction and is not asserted.	Kannada rāvi is explicitly borrowed from Telugu. Kolami ra·vi and Konda rāyi maran could reflect contact with Telugu tree terminology; no independent chronology establishes separate innovations. Tamil arai already has a reduced extension, so later truncation is possible but does not explain all v/g/y correspondences.	medium	K03 p.10; DEDR 202	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d221	d221	rare, difficult	*ar-u(-t)- / *ar-i(-t)-	Ø	a	short	r	singleton	u/i	VC-high-C	adjective/noun	Adjectival *-t- corroborated in Malayalam arutu and Telugu/Kannada arudu; not inferred from desired outcome.	Tamil aru/ariya, Malayalam arutu/ariya and Kannada arudu/aridu independently support a short ar- base with high-vowel extensions. Telugu arudu/aridi preserves both qualities.	high	All reviewed languages place a before r; there is no evidence for earlier initial r followed by inserted a.	*ar-u-tu > arudu in Telugu/Kannada, beside *ar-i- formations; Kota arg-/Toda arx- show ordinary loss of a medial high vowel. No displacement is required.	The bare root may be free, but the -t- nominal/adjectival formation is independently comparable and supplies a retained formative-bearing control. Tamil long āri etc. are root-quantity variants, not inferred metathesis stages. Kota “cry out in pain” appears as a separate lexicographic sense and is not used to reconstruct this family.	medium	DEDR 221	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
