Record_ID	Entry_ID	Language_ID	Source_Form	Source_Gloss	Source	Input_Class	Proposed_Immediate_Input	Supporting_Past_Stem	Disposition	Observed_Outcome	Derivation_and_Direction	Confidence	Exception_Notes	Family_ID	Review_Scope
f_2shiah6khbeyq	d325	Kui	abga (&lt	to be seemly, be proper, be fitting, be suitable, suit, fit, agree, fulfil, suitability. DEDS 44	dedr	verbal-velar+labial-formative	ag-b-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted	Parser splits abga (<) and explanatory ag-b into separate records. Only abga is the attested lexeme; ag-b is a supplied pre-reordering analysis.	d325	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_2vphnxjlhsbli	d228	Kui	rāpka	(&lt;rāk-p-; rākt-) to cause to rub together, wear by friction	dedr	verbal-velar+labial-formative	rāk-p-	rākt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d228	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_37pzhlkx3bqaq	d4760	Kui	mrāpka (&lt; mrāk-p-; mrākt-)	to lose, obliterate; losing, obliterating	dedr	verbal-velar+labial-formative	mrāk-p-	mrākt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d4760	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_3lhbndvrgufww	d1868	Kui	kūpka (&lt; kūkp-; kūkt-)	to shout, hail, call aloud; a shout	dedr	verbal-velar+labial-formative	kūkp-	kūkt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d1868	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_3o5nmdtypifz2	d5200	Kui	lepka	(&lt;lek-p-; lekt-)to break, snap off, strike a bargain; act of breaking	dedr	verbal-velar+labial-formative	lek-p-	lekt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d5200	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_3y4ju3dgej3a6	d2955	Kui	ḍipka	(&lt;ḍik-p-; ḍikt-)to kill, slay, murder; murder	dedr	verbal-velar+labial-formative	ḍik-p-	ḍikt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d2955	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_563uyklearbyy	d1691	Kui	gunḍis kopka	to squat, sit on the heels (forkopka, see 1628). DEDS 236	dedr	not-established			duplicate-compound	same-family	gunḍis kopka contains the already-counted sitting verb1628; squat construction is not a second independent velar–labial event.			d1628	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_5d6iutnr7yz44	d2908	Kui	nōṇu	string, cord made from a forest climbing plant	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d2908	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_5dz4bkfwnjsf4	d2363	Kui	srapka (&lt; srak-p-; srakt-)	to be brackish	dedr	verbal-velar+labial-formative	srak-p-	srakt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d2363	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_5i3fgvjaw2ryk	d1079	Manda	kabga	to vomit	dedr	verbal-velar+labial-formative	kak + intensive-ba		comparatively-supported-verbal-input	D	Independent local full stem in panel-029 supports a final velar. Labial derivation and voicing assimilation yield the observed p-k/b-g order; purely phonetic origin versus analogical history remains unresolved.	medium-high for local morphological ordering		d1079	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
