record_id	family_id	masculine	feminine	gloss	source_tags	input	prediction	observed_from_right	observed_mora	status	exclusion	description	family_analysis
f_rxbwwjrwknd2c	644	áaḍu	éeḍi	half; half of, some of; the one half; half of the people; some of them, etc.	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): éeḍi; Morphemic form: aḍ-	Palula áaḍu is early and root-accented before final u. This fits the extended-nominal pattern and subsequent root-a lengthening after rdh reduction. Because the old dictionary also points to árdha, this family is not an unambiguous demonstration of accent reset from an exclusively oxytone ancestor.
f_bofzrqsrbabiy	1236	óomu	éemi	unripe; raw	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): éemi; Morphemic form: áam-	Palula óomu and Biori úumu have early root accent and retain the final gender vowel. This is diagnostic for accent assignment to a long root before extension: the long ā then undergoes Ashret/Biori raising. Copying final accent from āmá would not predict the early raised root. The independently attested āmaka formation makes extension substantially better grounded here than a suffix supplied only from modern u.
f_mnm3phpk6csga	1236	úumu	éemi	unripe; raw	adj dialect:Phal:biori:Biori	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): éemi; Morphemic form: áam-; Variant restriction: Biori	Palula óomu and Biori úumu have early root accent and retain the final gender vowel. This is diagnostic for accent assignment to a long root before extension: the long ā then undergoes Ashret/Biori raising. Copying final accent from āmá would not predict the early raised root. The independently attested āmaka formation makes extension substantially better grounded here than a suffix supplied only from modern u.
f_ckakslbwtixv2	1440	aawíiṛu	aawíiṛi	narrow ; tight	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): aawíiṛi	Palula aawíiṛu and Strand awʹiṛo both accent the final root syllable before the gender vowel, despite old initial ā́. The shift cannot be simple attraction to an inherited long vowel because the old second nucleus is vocalic r. An extended-adjective accent rule predicts the locus, while quantity differs between the primary modern sources. Covered or enclosed to narrow/tight is semantically plausible.
f_vicer7wlo2rkc	1804	utháalu	uthéeli	high; tall (structure, etc.)	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): uthéeli; Morphemic form: uthál-	Palula utháalu has early prominence on the final long root syllable before u, a clear modern member of the root-final adjective class. Old variants differ in root quantity and final consonant and lack independently recorded accent. The modern class assignment is supported by adjective morphology, but historical retraction cannot be measured from these unaccented inputs.
f_3ascirwmhn6g4	1962	ungúru	ungúri	heavy	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): ungúri; Morphemic form: ungúr-	Modern Palula ungúru and Gilgit hagúro/agúro accent the final root syllable before a gender ending, while older Palula úguro/úṅguro is initially accented. This is a real source or historical formation discrepancy within a well-defined adjective class. Sauji ugəró has a finally accented vowel and must be checked for its exact inflection; Kalkoti ugur/uɣur has lost the ending.
f_5tff23pqjlouq	2046	úbu	úbi	light (of weight)	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): úbi; Morphemic form: ub-	Palula úbu ‘light in weight’ has initial short-root prominence before an unaccented ending after strong contraction and shortening. The source's elevated-to-light semantic proposal is possible but not transparent, and the old participle lacks an accent here. The modern adjective fits a short monosyllabic-root class without proving that the proposed old word is its unique source.
f_2w66wnoimvsli	2540	úču	úči	few; a little	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): úči; Morphemic form: uč-	Palula úču ‘few, a little’ has initial short-root prominence before an unaccented ending, fitting the modern adjective class. The old reconstructed ō has shortened and changed quality, and its accent is unrecorded. The source associates the word with a broader defective/small expressive family, limiting the certainty of a unique inherited input.
f_6jpkdn653gavo	3153	kháaču	khéeči	bad	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-	Palula číčal ‘mud’ has initial short prominence and extra l-bearing formation, whereas kháaču ‘bad’ belongs to an adjective class and is duplicated under *kacca ‘raw’. Kundal cical is a useful cognate without marked accent; Sauji khaco concerns the adjective. The distinct lexical formations and competing etymologies must be retained separately.
f_sszd7suoujs4q	3153	kháču	khéeči	bad	adj dialect:Phal:biori:Biori	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-; Variant restriction: Biori	Palula číčal ‘mud’ has initial short prominence and extra l-bearing formation, whereas kháaču ‘bad’ belongs to an adjective class and is duplicated under *kacca ‘raw’. Kundal cical is a useful cognate without marked accent; Sauji khaco concerns the adjective. The distinct lexical formations and competing etymologies must be retained separately.
