Group_ID	Display_Form	Display_Gloss	Head_Strategy	N_Records	N_Attested	N_Telugu_Records	Languages	Reconstructions	Reconstruction_IDs	Reconstructed_Input_Flags	Comparative_Input_Flags	Telugu_Forms	Status
1008	ākāśá	sky		4	3	0	markodi				nonapical-control		entry
10203	mudrā́	seal, signet-ring		4	3	0	markodi				nonapical-control		entry
13551	sūcī́	needle		4	3	0	markodi						entry
14615	dūrá			4	3	0	markodi				long-vowel-apical-control;short-vowel-apical		entry
14749	mā́sa			4	3	0	markodi				nonapical-control		entry
4287	gōdʰū́ma	wheat		4	3	0	markodi				nonapical-control		entry
4661	candrá	shining; moon		3	2	0	markodi				postapical-cluster;short-vowel-apical		entry
6328	dina	day		3	2	0	markodi				short-vowel-apical		entry
6586	dṓṣ	forearm		2	1	0	Brahui						entry
6913	nákṣatra	star, the stars; asterism		3	2	0	markodi				nonapical-control		entry
