turner	comparison	role	gil	koh	gur	Astor	dr	bro	source_rows	note	source
2830	kárṇa ear	support	koṇ	koṇ	koṇ	koṇ			gil:35; koh:36; gur:37; Astor:38	Postvocalic r must move or assimilate before an immediately pre-nasal backing rule.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
2892	kárman work	support	kom	kom	krom	krom			gil:386; koh:387; gur:388; Astor:389	Guresi/Astori krom preserves evidence of leftward r movement; kom also loses r.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
4701	cárman skin	support	com	com	com	com			gil:123; koh:124; gur:125; Astor:126	Requires consonant history before identifying the nasal environment.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
6152	dánta tooth	support	don	don	don	don			gil:143; koh:144; gur:145; Astor:146	Repeated short o; fixed accent is established independently from paradigms, not from o.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
7655	páñca five	support	poš	poš	po~š	po~š			gil:1028; koh:1029; gur:1030; Astor:1031	Some varieties retain nasalization after nasal-consonant loss; preserve source notation.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
7785	pánthā path	support	pon	pon	pon	pon			gil:344; koh:345; gur:346; Astor:347	Repeated short o; final-vowel and cluster history intervene.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
5110	jantú snake	support with formation qualification	jon	judraá	jon	jon			gil:761; gur:762; Astor:763; koh:764	Short jon also has an originally finally accented comparison. Kohistani judraá is a different extended formation.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
3792	khaṇḍá mountain	counterevidence	khaṇ	khoṇ; khaṇ	khoṇ				gil:611; koh:612; koh:613; gur:614	Gilgiti khaṇ and Kohistani khoṇ~khaṇ prevent an unrestricted mapping.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
7662	páñcadaśa fifteen	conditioning test	panzéy						gil:1024	Pretonic a survives in the compound; do not infer the same history as the free numeral five.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
137	aṅguṣṭhá thumb	conditioning test	agúto	hagúu	oṅúu~tu	aṅúu~to			gil:135; koh:136; gur:137; Astor:138	Guresi initial pretonic o opposes a mechanically accented-only condition; internal vowels and accent history matter.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
10104	mā́sa month	quantity/dialect control	máaz	móos	móos	móos			gil:498; koh:499; gur:500; Astor:501	Gilgiti máaz beside Kohistani/Guresi/Astori móos prevents extending a single a→o rule to every old long vowel.	Schmidt and Kaul2008 Table2; original key pages checked; forms retain existing digital notation
