numeral	language	forms	outcomes	sources	excluded	analysis
11	Sh	"[""akaːe"", ""akaːj"", ""akáai"", ""akáay"", ""ekaːj"", ""i̱ˈkɑi"", ""ăkāĭ"", ""ɑˈkɑi"", ""ɑˈkɑⁱ"", ""ɛˈkɑi"", ""ɪˈkɑi"", ""ʌkái"", ""ʌkɑⁱ"", ""ʌˈkɑi"", ""ʌˈkɑⁱ""]"	"[""E@-1"", ""stress-in-vowel-sequence@position-unresolved"", ""stress-marked@-1"", ""stress-marked@position-unresolved"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""backstrom1992"", ""liljegren-hindukush"", ""rajapurohit2012"", ""schmidt""]"	[]	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	Phal	"[""akoːɕ"", ""akáaš"", ""akóoš"", ""akā́š"", ""akʹôš"", ""°ōš"", ""ɑkoɕ"", ""ɑkɑɕ""]"	"[""E@-1"", ""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""decker1992"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	Sv	"[""jakɑːɕ"", ""jakɑːʃ"", ""yakā́š"", ""yekaaš"", ""yʌkoɕ""]"	"[""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""decker1992"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	Kalk	"[""akaaš"", ""aka̰ːɕ"", ""äkaáš"", ""ɑ'kɑʃ""]"	"[""H2@-1"", ""stress-marked@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""kalkoti"", ""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	Kund	"[""jagaːi"", ""yagáy""]"	"[""H-marked"", ""unmarked""]"	"[""kund"", ""liljegren-hindukush""]"	[]	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	bro	"[""'qudeš"", ""qudeɕ""]"	"[""stress-marked@-2"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	Ush	"[""agaːɕ"", ""ʌ'gɑʃ""]"	"[""stress-marked@-1"", ""unmarked""]"	"[""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
12	Sh	"[""baːe"", ""baːj"", ""bwaai"", ""bwai"", ""báai"", ""báay"", ""bāĭ"", ""bɑi"", ""bɑⁱ"", ""bʷoi"", ""bʷɑⁱ"", ""bʷɔi"", ""ˈbɑi""]"	"[""E@-1"", ""stress-marked@position-unresolved"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""backstrom1992"", ""degener-shina2008"", ""liljegren-hindukush"", ""rajapurohit2012"", ""schmidt""]"	[]	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	Phal	"[""boɕ"", ""boːɕ"", ""báaš"", ""bóoš"", ""bāš"", ""bōš"", ""bɑɕ"", ""bʹôš""]"	"[""E@-1"", ""unmarked""]"	"[""CDIAL"", ""decker1992"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	Sv	"[""baaš"", ""baš"", ""boɕ"", ""bāš"", ""bɑːɕ""]"	"[""unmarked""]"	"[""CDIAL"", ""decker1992"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
