Entry_IDs	Proposal	Status
d63;d80	Compressed/hidden and piled/close semantic extensions with overlapping full forms.	uncertain; sensitivity only
d75;d76	Pot may be a cooking implement derivative of cook *aṭ; new weak semantic/shape hypothesis, not demonstrated suffix identity.	uncertain; sensitivity only
d207;d259;d260	Interlace/weave and bowstring: overlapping allu and plausible ar-V-l > all; notes explicitly compare d207 with d260.	uncertain; sensitivity only
d236;d240	Suffer/tire and move/shake: DEDR explicitly discusses semantic convergence, while retaining separate roots.	uncertain; sensitivity only
d247;d248	Blossom/expand and beauty/shine: DEDR tentative connection, overlapping alar forms.	uncertain; sensitivity only
d304;d306	Prick/be angry and fear: overlapping Kannada aḷaku/aḷuku and Telugu aluku with affective semantic bridge.	uncertain; sensitivity only
d296;d307	Mix/seize and enclose/cover: overlapping Telugu alamu; different extensions remain uncertain.	uncertain; sensitivity only
d233;d315	Fall rālu is compared by K61 p.56 with Tamil aṟal from sever/cut, making independent counting questionable.	uncertain; sensitivity only
d276;d281	Burn/grieve and affection/desire: DEDR tentative cross-reference, with shared aẓ and differing extensions.	uncertain; sensitivity only
d434;d446;d448;d449	Place/room/broadness cluster, explicitly uncertain formation relationships.	uncertain; sensitivity only
d435;d437	Affliction/obstacle and stumble/hinder: possible common obstruction root, explicitly noted.	uncertain; sensitivity only
d439;d455	Flour cake and steamed cake: plausible culinary/pounding derivatives, independent root status uncertain.	uncertain; sensitivity only
d651;d665	Mortar ural may be an instrument derivative of ur rub/grind; explicit annotation sensitivity.	uncertain; sensitivity only
d656;d661	Burn/heat and melt/steel: plausible parent root ur with velar melt formation.	uncertain; sensitivity only
d587;d593	Wear uṭu and property/owner uṭai: possible older possession/clothing relationship, not proved by homophony.	uncertain; sensitivity only
d533;d536	Fly/bee and winged termite: DEDR cross-reference; insect-root relationship uncertain.	uncertain; sensitivity only
d697;d698	Existence and inside: possible common uḷ, with different existential and locative morphology.	uncertain; sensitivity only
d590;d713	Squirrel and jump/run/squirrel: possible strengthened root variant and animal derivative.	uncertain; sensitivity only
d711;d719	Increase/abundance and force/speed/throw: possible common uṟ with related labial extensions.	uncertain; sensitivity only
d710;d715	Happen/be fit and suffer/be afflicted: potentially related uṟ root, with different derivatives.	uncertain; sensitivity only
d3949;d4536	Spread and sell: K80/DEDR split partly motivated by vowel outcomes; test merger sensitivity.	uncertain; sensitivity only
d817;d820	Red/dark colour/dog and black soil: split from old DED700; common colour-root hypothesis.	uncertain; sensitivity only
d829;d832	Shine and joy/enliven: possible el semantic family with different suffixes.	uncertain; sensitivity only
d914;d915	Glean/separate and winnow ēṟ formations.	uncertain; sensitivity only
d946;d949	Break and sling: sling may be an instrument derivative, unproved.	uncertain; sensitivity only
d958;d959;d962;d965	Join/place/bind-related strong oṭṭ family; oath/bank extensions uncertain.	uncertain; sensitivity only
d4876;d4885	Shine/star and fish may share a shiny root; retained only as sensitivity hypothesis.	uncertain; sensitivity only
d1767;d1826	Bend/sink kruŋgu and submerge kruŋ share cluster forms and a plausible semantic bridge; full comparanda are available in1767, but the linkage remains uncertain.	uncertain; sensitivity only
d1123;d1594	Same disputed Telugu cluster assigned to competing roots; preserve alternative cognacy as a merged sensitivity family.	uncertain; sensitivity only
d1778;d1851	Competing assignments of the same Telugu cluster forms; not two independent positive observations.	uncertain; sensitivity only
d3305;d3339	Telugu cut/break cluster forms are explicitly alternatively assigned to nasal tuṇ and rhotic tur roots.	uncertain; sensitivity only
d3821;d4057	Same prā̃ci moss/stale form has competing etymological assignments.	uncertain; sensitivity only
d4973;d4989	Same Telugu roar cluster series explicitly alternatively assigned to mur and muẓ roots.	uncertain; sensitivity only
d5017;d5046	Same Telugu ripen mruggu/muggu forms explicitly alternatively assigned to strong muṟṟ and long mūẓ.	uncertain; sensitivity only
d5368;d5369	Perch and incline may be polysemy of long vāl, with the same extra-r Telugu variant; semantic bridge plausible, not proven.	uncertain; sensitivity only
