Entry_ID	Screen	Has_Telugu	Review_Status	Displayed_Input	Evidence_IDs	Independent_Screen_Forms
d1	consonant-initial-short-nonnasal-apical	1	reviewed	*aṯṯ-	f_5kknhyvtlugr2;f_r3elqi2jysp2s	Badaga: Beḷḷiavaru | Badaga: keṭttōdama
d9	consonant-initial-short-nonnasal-apical	0	pending	*agál-	f_mvl6woybyr7cw	Badaga: piḷḷāri
d23	consonant-initial-short-nonnasal-apical	1	pending	*akka-	f_pywboxihcdj3k	Badaga: bala akka
d34	consonant-initial-short-nonnasal-apical	0	pending	*áŋāl-	f_j3a4c54v6suik	Badaga: toṭṭi
d47	consonant-initial-short-nonnasal-apical	1	pending	accu	f_sqnt6vjq5cpz2	Badaga: mara bangaḷa
d50	consonant-initial-short-nonnasal-apical	0	pending	*áǯǯ-	f_v5qez35n7ovpa;f_z2vxvjhvcgycq	Badaga: Ceṭṭti ajja | Kannada: Malayāḷa
d64	consonant-initial-short-nonnasal-apical	1	reviewed	*aṭ-a-ppay	f_4evojucek4ofa;f_vyhgl53lmrlyq	Tulu: haḍapa | Kannada: haḍapa
d65	consonant-initial-short-nonnasal-apical	0	pending	aṭampu	f_3mjqpj75out52	Tulu: maritima = C. pes caprae
d72	consonant-initial-short-nonnasal-apical	1	reviewed	*aṭ-V	f_uhu7hf46ccsuc	Badaga: haṭṭi adi
d77	consonant-initial-short-nonnasal-apical	1	reviewed	*aḍV́-	f_apsfmipawulaa;f_hqnhx7dujvi2m;f_j5uxkf7uf6s5o;f_nbg6ppijwmwb6;f_poaczomvxhht4	Parji: poṭkul aṭṭ | Tulu: darpuni | Tulu: dartele | Tulu: darpele | Tulu: dartelɯ
d81	consonant-initial-short-nonnasal-apical	1	reviewed	*aḍ-[úg-]	f_432oboos5mphc;f_lftpt5lezi7du;f_lx7lfnzhr36py;f_lzb75dkzduj6k;f_wif3qg7hfmrug;f_xftt7a5tdjsdc	Tulu: naṭṭāvu | Tulu: naṭṭāvuni | Tulu: naṭṭuni | Tulu: naṭṭā | Tulu: naṭṭu
d93	consonant-initial-short-nonnasal-apical	1	pending	*áṭa-	f_c32btxbpcoty4	Badaga: horaṭḷu
d97	consonant-initial-short-nonnasal-apical	0	pending	aṭṭu	f_jiri77fxke6q4;f_mtui7z6tsecj6	Kota: naṛ- (naṭ-) | Kota: moḷ aṭ
