Entry_ID	Family_ID	Language_ID	Language_Outcome	Observed_Outcome	Evidence_Form	Form_ID	Record_Origin	Linked_Database_IDs	Database_Language_ID	Research_Correction	Original	Gloss	Source	Tags	Description	Borrowed_In_Path	Outcome_Note
d63	d63	Badaga	R	R	adangu	f_oc7fe2msqzc4m	database	f_oc7fe2msqzc4m	Badaga		adangu	to subside, quench, control oneself	hockings-pilotraichoor1992[p. 12, col. 2]	verb intr uncertain		0	Imported records marked uncertain; corroborative order only.
d63	d63	Badaga	R	R	adaku	f_bpzbaxoyirfqu	database	f_bpzbaxoyirfqu	Badaga		adaku	1. to control, verify, check, put in order; 2. to press, humble, subdue (Bühler ms. 75)	hockings-pilotraichoor1992[p. 12, col. 1]	verb tr uncertain alternate		0	Imported records marked uncertain; corroborative order only.
d63	d63	Kannada	A	R	aḍaŋgu	f_e4siy5jtekrfw	database	f_e4siy5jtekrfw	Kannada		aḍaṅgu	to hide, be concealed, disappear, cease, be quenched, be appeased, be humbled, crouch, be contained in	dedr			0	Unchanged derivatives and an initial tā- ambush noun; independent status of tāguḍi unresolved, so do not count it as an independent inherited displacement.
d63	d63	Kannada	A	R	aḍagu	f_c6s3bh7smuxme	database	f_c6s3bh7smuxme	Kannada		aḍagu	to hide, be concealed, disappear, cease, be quenched, be appeased, be humbled, crouch, be contained in	dedr			0	Unchanged derivatives and an initial tā- ambush noun; independent status of tāguḍi unresolved, so do not count it as an independent inherited displacement.
d63	d63	Kannada	A	R	aḍaku	f_7gcqandki3nsw	database	f_7gcqandki3nsw	Kannada		aḍaku	to press, press into narrower compass, pack, subdue, control	dedr			0	Unchanged derivatives and an initial tā- ambush noun; independent status of tāguḍi unresolved, so do not count it as an independent inherited displacement.
d63	d63	Kannada	A	A	tāguḍi	f_4tqutz2cwl7ww	database	f_4tqutz2cwl7ww	Kannada		tāguḍi	an ambush, lurking or hiding place	dedr			0	Unchanged derivatives and an initial tā- ambush noun; independent status of tāguḍi unresolved, so do not count it as an independent inherited displacement.
d63	d63	Kodagu	R	R	aḍak- (aḍaki-)	f_rv77sjjjndjkm	database	f_rv77sjjjndjkm	Kodagu		aḍak- (aḍaki-)	to hold in closed hands	dedr			0	Retains initial vowel and apical order.
d63	d63	Kolami	B	B	ḍāŋg- (ḍāŋkt-)	f_nnwitu2ittoui	database	f_nnwitu2ittoui	Kolami		ḍāŋg- (ḍāŋkt-)	to hide	dedr	intr		0	K03 early Telugu loan diagnosis; do not count as independent innovation.
d63	d63	Kolami	B	B	ḍāp- (ḍāpt-)	f_54sjr57ks4fa6	database	f_54sjr57ks4fa6	Kolami		ḍāp- (ḍāpt-)	to hide	dedr	tr		0	K03 early Telugu loan diagnosis; do not count as independent innovation.
d63	d63	Konda	D	D	ḍāŋ- (-it-)	f_e2dymctjz7p7k	database	f_e2dymctjz7p7k	Konda		ḍāŋ- (-it-)	to lie hidden, hide oneself	dedr			0	Vowel-initial apical promoted; low long vowel. Derivational consonants differ by transitivity.
