Entry_ID	Language_ID	Process	Reconstructed_Input	Observed_Form	Process_Outcome	Direction_Evidence	Relative_Chronology	Confidence	References	Form_ID	Database_Language_ID	Source	Tags	Gloss
d3986	Gondi	compound-liquid-transposition	*pal#kar tooth-stick	palkār	R	Free pal tooth and DEDR1389 kar/kaṟ wood independently segment the compound; Mandla palkār supports l before r, reversed in Koya/Muria parkal.	Compounding precedes exchange of the two liquids. Dialect forms are not a dated sequence; relation to Parji perkal could involve shared development or diffusion.	medium-high for internal order; medium for history	DEDR3986 and1389	f_lf3j4hcoupiii	Gondi	dedr;Ph-Gondi	dialect:Gondi:mandla:Mandla	toothtwig (<i>Voc.</i> 2137)
d3986	Gondi	compound-liquid-transposition	*pal#kar tooth-stick	pelkiaṛ	R	Free pal tooth and DEDR1389 kar/kaṟ wood independently segment the compound; Mandla palkār supports l before r, reversed in Koya/Muria parkal.	Compounding precedes exchange of the two liquids. Dialect forms are not a dated sequence; relation to Parji perkal could involve shared development or diffusion.	medium-high for internal order; medium for history	DEDR3986 and1389	f_uw432pbffstuc	Gondi	dedr	dialect:Gondi:maria:Maria	toothtwig (<i>Voc.</i> 2137)
d3986	Gondi	compound-liquid-transposition	*pal#kar tooth-stick	parkal	D	Free pal tooth and DEDR1389 kar/kaṟ wood independently segment the compound; Mandla palkār supports l before r, reversed in Koya/Muria parkal.	Compounding precedes exchange of the two liquids. Dialect forms are not a dated sequence; relation to Parji perkal could involve shared development or diffusion.	medium-high for internal order; medium for history	DEDR3986 and1389	f_2ntguz3m43awu	Gondi	dedr	dialect:Gondi:gommu:Koya%20%28Gommu%29	toothtwig (<i>Voc.</i> 2137)
d3986	Gondi	compound-liquid-transposition	*pal#kar tooth-stick	parkal	D	Free pal tooth and DEDR1389 kar/kaṟ wood independently segment the compound; Mandla palkār supports l before r, reversed in Koya/Muria parkal.	Compounding precedes exchange of the two liquids. Dialect forms are not a dated sequence; relation to Parji perkal could involve shared development or diffusion.	medium-high for internal order; medium for history	DEDR3986 and1389	f_4ctyy3cl64tpe	Gondi	dedr	dialect:Gondi:koya:Koya	toothtwig (<i>Voc.</i> 2137)
d3986	Gondi	compound-liquid-transposition	*pal#kar tooth-stick	parkal	D	Free pal tooth and DEDR1389 kar/kaṟ wood independently segment the compound; Mandla palkār supports l before r, reversed in Koya/Muria parkal.	Compounding precedes exchange of the two liquids. Dialect forms are not a dated sequence; relation to Parji perkal could involve shared development or diffusion.	medium-high for internal order; medium for history	DEDR3986 and1389	f_ype5q72ate6yy	Gondi	dedr	dialect:Gondi:muria:Muria	toothtwig (<i>Voc.</i> 2137)
d809	Pengo	stop-cluster-transposition	*ik-pa intensive	ika	R	DEDR explicitly derives ipka from ik-pa; simplex ika independently supplies the stem velar and the source identifies the intensive function.	Intensive suffixation precedes k-p > p-k. This establishes a comparable local process outside Kui, but shared origin versus parallel development requires a larger morphological sample.	high for local exchange	DEDR809 p.79 directly read	f_mh3qva7xv4l5g	Pengo	dedr		id
d809	Pengo	stop-cluster-transposition	*ik-pa intensive	ika vā	R	DEDR explicitly derives ipka from ik-pa; simplex ika independently supplies the stem velar and the source identifies the intensive function.	Intensive suffixation precedes k-p > p-k. This establishes a comparable local process outside Kui, but shared origin versus parallel development requires a larger morphological sample.	high for local exchange	DEDR809 p.79 directly read	f_fenvqp7ddax2u	Pengo	dedr		id
d809	Pengo	stop-cluster-transposition	*ik-pa intensive	ipka	D	DEDR explicitly derives ipka from ik-pa; simplex ika independently supplies the stem velar and the source identifies the intensive function.	Intensive suffixation precedes k-p > p-k. This establishes a comparable local process outside Kui, but shared origin versus parallel development requires a larger morphological sample.	high for local exchange	DEDR809 p.79 directly read	f_iski53l7zilry	Pengo	dedr		id. (intensive; &lt; ik-pa-)
d809	Pengo	stop-cluster-transposition	*ik-pa intensive	ipka vā	D	DEDR explicitly derives ipka from ik-pa; simplex ika independently supplies the stem velar and the source identifies the intensive function.	Intensive suffixation precedes k-p > p-k. This establishes a comparable local process outside Kui, but shared origin versus parallel development requires a larger morphological sample.	high for local exchange	DEDR809 p.79 directly read	f_dprnsutprxa5k	Pengo	dedr		id. (intensive; &lt; ik-pa-)
d859	Kui	stop-cluster-transposition	*ig-b-	ibga	D	DEDR explicitly supplies ig-b- and igd-, independently establishing the velar before the labial suffix.	Suffixation creates g-b before b-g. Uncertain deeper relation between ig and an apical throwing root does not weaken this local morphological ordering.	high for local exchange; deeper cognacy separate	DEDR859	f_fagiavp6euxmy	Kui	dedr		(&lt;ig-b-; igd-) to throw down, let fall, drop; iska (iski-)
d3986	Parji	compound-liquid-transposition	*pel#kar tooth-stick	perkal	D	Parji pel tooth and the independent wood member support l before r; neighboring Gondi palkār gives an unreversed compound.	Compound formation precedes liquid exchange if inherited; borrowing a reversed Gondi compound remains a competing account.	medium	DEDR3986 and1389	f_wn6levpyu36i2	Parji	dedr		twig used as a toothbrush
d3986	Parji	compound-liquid-transposition	*pel#kar tooth-stick	perkela	D	Parji pel tooth and the independent wood member support l before r; neighboring Gondi palkār gives an unreversed compound.	Compound formation precedes liquid exchange if inherited; borrowing a reversed Gondi compound remains a competing account.	medium	DEDR3986 and1389	f_wp34yu7thabu6	Parji	dedr		twig used as a toothbrush
d810	Kannada	nonadjacent-liquid-transposition	*er-al / *el-ar	eral	R	Telugu temm-eral and the cited Tamil nir̤ali wind comparison weakly favor r-l; Kannada itself has both orders and assimilation.	Exact direction remains less certain than the existence of the order alternation; this is not initial V/l metathesis.	medium-low for direction	DEDR810; DEN1 p.416 S96	f_v77shrvlcqizk	Kannada	dedr		wind, air
d810	Kannada	nonadjacent-liquid-transposition	*er-al / *el-ar	eraḷ	R	Telugu temm-eral and the cited Tamil nir̤ali wind comparison weakly favor r-l; Kannada itself has both orders and assimilation.	Exact direction remains less certain than the existence of the order alternation; this is not initial V/l metathesis.	medium-low for direction	DEDR810; DEN1 p.416 S96	f_bbwayl5xtir3i	Kannada	dedr		wind, air
