input_class	language	family_id	headword	eligible_outcomes	excluded_outcomes	eligible_tokens	all_tokens	sources	forms
input-accent-undetermined	Kalk	10001	mātuḥṣvasr̥	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""meeš""]"
input-accent-undetermined	Kalk	10055	māma	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""maam""]"
input-accent-undetermined	Kalk	10058	*māmikā	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""meem""]"
input-accent-undetermined	Kalk	10511	yuṣmad	"[""unmarked""]"	[]	6	6	"[""hultman2023kalkoti"", ""kalkoti"", ""rensch-decker-hallberg1992""]"	"[""tis"", ""tusaan"", ""tusi""]"
input-accent-undetermined	Kalk	10539	rakta	"[""0-explicit"", ""P-high-level"", ""unmarked""]"	[]	3	3	"[""hultman2023kalkoti"", ""kalkoti"", ""liljegren-hindukush""]"	"[""raat"", ""rɑːt""]"
input-accent-undetermined	Kalk	10716	rāva	"[""H1@-1""]"	[]	2	2	"[""hultman2023kalkoti""]"	"[""róo""]"
input-accent-undetermined	Kalk	10930	*latta	"[""unmarked""]"	[]	2	2	"[""kalkoti""]"	"[""laat"", ""laatr""]"
input-accent-undetermined	Kalk	11072	*lukka	"[""unmarked""]"	[]	2	2	"[""kalkoti""]"	"[""lukuṭ"", ""luɡuṭ""]"
input-accent-undetermined	Kalk	11628	*vikālāhāra	"[""unmarked""]"	"[""H2@-1""]"	1	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""biyaal"", ""biyaál""]"
input-accent-undetermined	Kalk	12576	śūlatē	"[""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""šiluun""]"
input-accent-undetermined	Kalk	1265	āmr̥ṣyatē	"[""unmarked""]"	[]	2	2	"[""hultman2023kalkoti""]"	"[""ämuṣil"", ""ämuṣuun""]"
input-accent-undetermined	Kalk	12707	*śriṣṭa	"[""unmarked""]"	"[""unmarked""]"	1	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""šii""]"
input-accent-undetermined	Kalk	12709	*śrīḍhi	[]	"[""unmarked""]"	0	1	"[""hultman2023kalkoti""]"	"[""šileeḍ""]"
input-accent-undetermined	Kalk	1351	āryikā	"[""H2@-1"", ""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""yee"", ""yeé""]"
input-accent-undetermined	Kalk	13682	stambha	"[""P-high-level"", ""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""tam""]"
input-accent-undetermined	Kalk	13736	*straika	[]	"[""unmarked""]"	0	4	"[""hultman2023kalkoti""]"	"[""treer"", ""triyaal"", ""triyaalum""]"
