Entry_ID	Primary_Family_ID	Domain	Onset	C1_Identity	Quantity	Apical_Group	Apical_Structure	V1_Quality	Following_Vowel	Grammatical_Category	Domain_Following_Vowel	Domain_Apical_Group	Domain_V1_Quality	Telugu_Broad_Obligatory_Hypothesis	Raw_C1	Raw_C2	Raw_Quantity	Raw_V2	Raw_Structure	Input_Confidence
d63	d63	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d72	d72	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	unknown	singleton	medium
d77	d77	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	unknown	singleton	medium
d78	d78	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	unknown	singleton	medium
d79	d79	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d80	d80	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	u	singleton	high
d81	d81	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	high-u	verb	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	u	singleton	low
d86	d86	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d202	d202	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	a	singleton	high
d221	d221	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	adjective/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	u/i	singleton	high
