Observation_ID	Language_ID	Stem	Suffix	Surface_Form	Independent_Stem_Evidence	Gloss	Source	Locator	Candidate_Entry_ID	Linked_Database_IDs	Notes	Input_Class	Historical_Caution	Observed_Order
H02-Kui-ah	Kui	ah	pi / pa	ahpi; ahpa	ahi; ahte	hold	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d51	f_xf5mwkbqpvjxe	Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
H02-Kui-gas	Kui	gas	pi / pa	gaspi; gaspa	gasi; gaste	hang oneself	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d1099	f_wkb7hjfto3jeo	Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
H02-Kui-mil	Kui	mil	pi / pa	milpi; milpa	mili; milte	turn over	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d4870	f_g4iyzmyw7b3y6	Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
H02-Kui-sap	Kui	sap	pi / pa	sappi; sappa	sapi; sapte	source gives no gloss	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation			Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
H02-Kui-ut	Kui	uṭ	pi / pa	uṭpi; uṭpa	uṭi; uṭte	give to drink	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation			Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
H02-Kui-bluk	Kui	bluk	pi / pa	blupki; blupka	bluki; blukte	break down	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation			Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-kok	Kui	kok	pi / pa	kopki; kopka	koki; kokte	sit down	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d1628	f_yb2hf7hg3kv2y	Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-mlik	Kui	mlik	pi / pa	mlipki; mlipka	mliki; mlikte	turn over	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d4870	f_uiwvufb4jbbli	Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-pok	Kui	pōk	pi / pa	pōpki; pōpka	pōki; pōkte	announce	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d4235	f_i4oxp3x7orv7k	Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-lek	Kui	lek	pi / pa	lepki; lepka	leki; lekte	break	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d5200	f_3o5nmdtypifz2	Future and past independently preserve the base-final consonant; present participle/infinitive contrasts are one paradigm.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
