ID	Entry_ID	Compared_Entry_ID	Relation	Direction	Confidence	Source	Evidence
burushaski:ia-1008-4d856295339f:cdial:1008:3457cb24ef	f_5c6ppvir4g5zw	1008	related	undetermined	medium	CDIAL[entry 1008]	CDIAL entry 1008 includes the Burushaski comparandum aiyʌš ‘sky’; ayʌš ‘sky’ under ākāśá.
burushaski:ia-11503-01fa161c6a17:cdial:11503:0874de5862	f_kjhephn3rg64m	11503	related	undetermined	low	backstrom1992[Burushaski wordlist, eggplant]	Legacy Jambu data linked the Backstrom Burushaski attestation pʌṭigɑn ‘eggplant’ to CDIAL 11503 vātiŋgaṇa. Backstrom supplies the lexical attestation; the historical relation and its direction are not asserted here.
burushaski:ia-11503-58188f3599a4:cdial:11503:0874de5862	f_bqxygni5zgelc	11503	related	undetermined	low	backstrom1992[Burushaski wordlist, eggplant]	Legacy Jambu data linked the Backstrom Burushaski attestation beŋˈgʌn ‘eggplant’ to CDIAL 11503 vātiŋgaṇa. Backstrom supplies the lexical attestation; the historical relation and its direction are not asserted here.
burushaski:ia-11503-d2d98f5a3016:cdial:11503:13c593ec7a	f_r3uidts2lpazc	11503	related	undetermined	medium	berger-auto[p. 20 (printed p. 35)]	ys. balúgun, sh. balúgan, balugún, B balúgan, T 11503.3
burushaski:ia-11503-f504c0a60975:cdial:11503:bd3cf9f745	f_7agqe2lrw7ppe	11503	related	undetermined	low	backstrom1992[Burushaski wordlist, tomato]	Legacy Jambu data linked the Backstrom Burushaski attestation bɑˈlogʌn ‘tomato’; bɑˈlugun ‘tomato’ to CDIAL 11503 vātiŋgaṇa. Backstrom supplies the lexical attestation; the historical relation and its direction are not asserted here.
burushaski:ia-11584-c083643dbc7b:cdial:11584:8c60ba6f63	f_qq5g2bajwmicg	11584	related	undetermined	medium	berger-auto[p. 17 (printed p. 29)]	T 11584.27
burushaski:ia-12115-16a83b47b1a5:cdial:12115:f0b173dcb4	f_e4wlzsen4szza	12115	related	undetermined	medium	berger-auto[p. 242 (printed p. 477)]	ys. wel, L wōl, < *i-bél von °bel, zum Lautlichen vgl. bél-/-yoól-; T 12115
burushaski:ia-12115-b2611a2445c4:cdial:12115:0372bdec57	f_zq6qitenfjfb2	12115	related	undetermined	medium	berger-auto[p. 26 (printed p. 47)]	sh. bel, T 12115; vgl. yoóľ
burushaski:ia-3016-664d93a0033b:cdial:3016:0c1da70543	f_n2fojd6qtd7us	3016	related	undetermined	medium	berger-auto[p. 123 (printed p. 239)]	sh. kái; T 3016
burushaski:ia-3335-7685e60559e7:cdial:3335:03c7723243	f_jmeaykdkbmm36	3335	related	undetermined	medium	berger-auto[p. 127 (printed p. 247)]	sh. kulát, T 3335
burushaski:ia-3496-16000cd7a66f:cdial:3496:fd978f8d68	f_cdbarx44kwekk	3496	related	undetermined	medium	CDIAL[entry 14406]	CDIAL entry 14406 prints the Burushaski comparandum kōər; its Indo-Aryan cross-reference chain resolves to CDIAL 3496 kōṭará.
burushaski:ia-3496-38e0e6d1bbd6:cdial:3496:c000914f31	f_ohqvjr7vzkulg	3496	related	undetermined	medium	berger-auto[p. 127 (printed p. 246)]	sh. kóor, T 3496 und 14406
burushaski:ia-3504-88bf382697ba:cdial:3504:c951c9bf1e	f_6iodbyht4usnc	3504	related	undetermined	medium	berger-auto[p. 132 (printed p. 257)]	ys. khun, sh. khunii, T 3504
burushaski:ia-4287-a27893466919:cdial:4287:fbf8fc5667	f_obtnewgwgw3eu	4287	related	undetermined	low	backstrom1992[Burushaski wordlist, wheat]	Legacy Jambu data linked the Backstrom Burushaski attestation gur ‘wheat’ to CDIAL 4287 gōdʰū́ma. Backstrom supplies the lexical attestation; the historical relation and its direction are not asserted here.
burushaski:ia-4860-3b4aff6dc6ab:cdial:4860:0416faf87e	f_c25tktuuhu54w	4860	related	undetermined	medium	berger-auto[p. 48 (printed p. 91)]	u. čūt oder ka. ćoth, T 4860; vgl. čut
burushaski:ia-4860-6e97e49836f9:cdial:4860:83bf2d12e7	f_d7cfg2wcz54l2	4860	related	undetermined	medium	berger-auto[p. 38 (printed p. 71)]	ka. ćoth u.a., T 4860; vgl. ćot
burushaski:ia-49-b2d4f4fa5802:cdial:49:9c4777ab9b	f_gkgsll47wjvdu	49	related	undetermined	medium	berger-auto[p. 84 (printed p. 160)]	h. gulgúl, T 49
burushaski:ia-9865-b6e671e48493:cdial:9865:7bf811a1ea	f_j4bnha7uo5gei	9865	related	undetermined	medium	berger-auto[p. 146 (printed p. 284)]	sh. mayúur, T 9865
cdial:10000:dedr:d4810	10000	d4810	related	undetermined	low	CDIAL[entry 10000]	[Cf. Kan. mādiga 'man of very low caste, cobbler', Tel. mādige DED 3942]
