Entry_ID	Assessment	Supporting_observation	Limit_or_counterevidence	Current_Full_Case_Review	Scope
d1079	apical comparison	Kannada kaṛ̆ku supports a historical apical beside Telugu krakku.	Most other reflexes have kakk-; expressive vocabulary and strengthened root variants require care.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1123	alternative comparison	Konda gṛālu and Kui grāḍu show regional displacement.	Telugu krēpu is explicitly alternatively assigned to d1594; vowel and final consonant require a distinct formation.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1181	input unresolved	Telugu kranna has an initial cluster.	Tamil kaṇṇa supplies no corresponding rhotic; do not reconstruct r from Telugu alone.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1235	input unresolved	Telugu krampa has an initial cluster.	Kannada kompe and Konda kampa supply no corresponding rhotic; secondary r or another comparison remains possible.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1278	apical comparison	Tamil karu and Kannada/Gondi kar- support the medial r of Telugu krāṅgu.	Different formations and root-quantity variants occur; nasal loss is separate from displacement.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1287	apical comparison	Tamil karumai and Kannada karu support r in Telugu krandu-konu.	The Telugu derivative and short-vowel conditioning are not independently established by the root comparison.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1291	apical comparison	Tamil karai, Kannada kare and Gondi karŋg support r in Telugu krandu/kraŋgu.	Derivative vowels and consonant groups vary; Kui krāva is not the same suffixal formation.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1292	apical comparison	Kannada karagu/karaŋgu/kargu supports the source order behind Telugu krāṅgu.	Do not derive Telugu directly from one modern Kannada variant; long-vowel and nasal history need separate stages.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1347	metadata and input review	Tamil kaẓaŋku and related variants support an apical in Telugu gracca.	Jambu's tuber reconstruction has the wrong semantic scope; the bonduc-nut formation and vowel require source review.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1349	apical comparison	Tamil/Kannada kaẓal and Kui kṛeŋga support Telugu krālu.	The final l is a separate segment; derivative comparison is more informative than root-only matching.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1359	apical comparison	Tamil kaẓi supports an apical in Telugu krayya.	Sparse distribution; the geminate y and exact derivative are not explained by metathesis alone.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1368	apical comparison	Tamil kaẓumu supports an apical in Telugu krammu.	The consonantal derivative and strengthening must be distinguished from two-vowel contraction.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1477	quantity unresolved	Kannada kāṟ and Tamil kāl/kāṟu support an apical in Telugu krāyu/grāyu.	Long vowels already occur outside Telugu, so Telugu length does not independently prove contraction.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1507	apical comparison	Konda kaṛaŋ maran : kṛāŋ mrānu supplies a valuable internal contrast.	Plant-name borrowing remains possible; the complete suffixal correspondence needs checking.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1509	input unresolved	Telugu krikkiṟincu has an initial rhotic plus a later rhotic.	Kannada kikkiṟi supports only the later rhotic; do not silently move or duplicate it over several segments.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1580	apical comparison	Kannada kaẓal supplies an apical and low root vowel beside Telugu krānu.	Tamil has a different vowel; the final n/l relation and precise formation remain uncertain.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1594	alternative comparison	Kannada kiṟi/kiṟa/kiṟu supports the historical apical.	Krēpu also appears in d1123; the head's mouse compound is not the ancestor of the entire small/young group.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1619	apical comparison	Kannada kiẓ beside kīẓ supports quantity alternants; Telugu krinda preserves an old cluster.	Do not derive every short form from a uniformly long root or infer inheritance from non-palatalized k alone.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1680	input unresolved	Konda gurḍu/gurzu provides independent r-like material beside Telugu gruḍḍu.	Konda guḍu and Kuvi guḍu are explicitly Telugu loans; most southern comparanda lack r and possible interaction with blind needs investigation.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1767	apical comparison	Tamil kuraŋku supplies the medial r absent in simplified Kannada kuŋgu/kuggu.	Kui grōŋga has different quantity; the available variants do not determine one complete derivational chain.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1769	apical comparison	Tamil/Tulu kuraŋga and Kannada koraŋgi support Telugu krōnti.	The nt versus ŋk derivative and root-vowel lowering need independent treatment; Tamil kōnti is marked a Telugu loan.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1774	apical comparison	Tamil kural and Kannada koral/korḷu support Telugu krōlcu.	Lowering, contraction and the verbal formative are separate from the nominal root comparison.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1778	alternative comparison	Kannada koragu and Kui krusu make an r-root comparison plausible.	Telugu kruyyu is explicitly also assigned to d1851; this is not a second independent datum.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1787	apical comparison	Kannada kuruḍu/kuḍḍu and Tulu kurḍu support preexisting cluster formation behind Telugu gruḍḍi.	Identical high vowels can give short outcomes; initial voicing and final i/u formations need separate explanation.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1802	input unresolved	Telugu grucci kaũgilincu has a cluster.	Gondi guhtānā does not independently identify a displaced apical; root and expressive-formation history remain open.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1818	apical comparison	Tamil kuẓal and Kannada koẓal/koẓavi support krōlu/krōvi; regional Kui/Kuvi cognates preserve clusters.	Groccu/groyyi and long forms have different derivatives; do not apply one contraction rule to all.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1822	apical comparison	Tamil kuẓai and Kannada koẓe support an apical in Telugu kruḷḷu.	The final lateral/gemination and root-vowel alternants need separate treatment; do not confuse truḷḷu d3364.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1826	input unresolved	Telugu kruŋku and Kui/Kuvi kr- agree regionally.	This set alone lacks an unmetathesized apical sequence; shared clusters do not independently reconstruct the lost vowel.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1850	apical comparison	Tamil kuṟu/kuṟṟu and Gondi kurkal supply apical evidence behind Telugu gruddu.	Alveolar-stop strengthening versus r+stop sequences and possible expressive variants require analysis.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1851	alternative comparison	Tamil/Kannada kuṟu supports the historical alveolar apical.	Telugu kruyyu is explicitly alternatively placed in d1778; suffixal y and vowel quantity are additional questions.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1853	input unresolved	Telugu grukku has an initial cluster.	Kannada gukku and Kui guhpa do not independently support a displaced r; expressive history is possible but not proved.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1861	apical comparison	Tamil kuṟṟu supplies an alveolar apical beside Telugu gruccu.	The PSTDr reconstruction gru-cc- projects a Telugu-shaped cluster deeper than the presented comparison warrants; TVB used an older grouping.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1898	quantity unresolved	Tamil/Kannada kūr supplies an apical beside Telugu krūru.	Length already occurs in cognates; an invented short-root high-vowel formative is not independent evidence.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
d1923	input unresolved	Tamil kūṟu-koḷ offers an apical comparison with Telugu krukku.	Kannada kuluku differs in apical identity and vowel sequence; root quantity and medial loss remain unresolved.	1	Prior 2026-09-08 triage preserved; only current-full flag identifies this investigation’s complete casebook review.
