Observation_ID	Comparator_Language	Comparator_Form	Target_Language	Target_Form	Gloss	Source	Page	Source_URL	Analysis_Category	Analysis	Candidate_DEDR_ID	Follow_Up	Historical_Direction_Status
KD25-01	Kurux	ekdā	Kunha	ekād	who, which	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	CV-reversal-plausible	Final d-ā becomes ā-d with vowel quality and quantity preserved. Morphological dā allomorphy remains an alternative; this is word-final, unlike initial Telugu promotion.	d5151	Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-02	Kurux	tal-ī	Kunha	atl-ī	copula present	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	initial-CV-reversal-plausible	Initial t-a becomes a-t. This direction is the reverse of classical Telugu vowel-before-apical promotion; no single common directional change follows.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-03	Kurux	apṭā	Kunha	apoṭ	complete in a construction	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	reversal-plus-vowel-change	ṭ-ā to o-ṭ entails both order and vowel quality/quantity changes. Compound context and exact base require verification.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-04	Kurux	oṛok	Kunha	uṛkū	tree bark	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	syncope-final-vowel-alternative	Initial raising, medial vowel loss and final ū can derive the surface without a one-for-one exchange. The paper labels the input uk although its printed comparator has ok.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-05	Kurux	orot	Kunha	urtu	indefinite article	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	syncope-final-vowel-alternative	Medial syncope plus initial raising and final u competes with literal exchange. Article morphology must be reconstructed separately.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-06	Kurux	xall-ukhṛī	Kunha	hallu-khuṛī	agriculture	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	compound-restructuring-uncertain	Compound boundary, x/h correspondence, aspiration position and vowel placement all differ. Simple adjacent exchange alone is insufficient.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-07	Kurux	calkur	Kunha	calkrī	sand, gravel	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	syncope-final-vowel-alternative	u-r to r-ī does not conserve the vowel. Deletion and final-vowel morphology/epenthesis compete with exchange plus vowel change.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-08	Kurux	lidrʔ-ā	Kunha	ildr-ā	get up	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	initial-CV-reversal-plausible	Initial l-i becomes i-l with additional glottal loss. This initial direction differs from Telugu V-l > l-V.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-09	Kurux	idim	Kunha	idnā	nowadays	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	morphological-or-lexical-uncertainty	The compared endings im and nā are not permutations: m/n and i/ā both differ. Temporal suffix substitution must be excluded before calling this metathesis.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-10	Kurux	tuppalxō	Kunha	tupphalō	saliva	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	laryngeal-migration-plausible	Posterior fricative x may weaken to h and be realized earlier near the labial, with vowel reduction. Laryngeal migration is a distinct process from apical displacement.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-11	Kurux	umbalxō	Kunha	umbhalō	viscera: liver, kidney, heart, lungs	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	laryngeal-migration-plausible	Parallel l-x to earlier labial-associated h, plus vowel loss. Exact semantics and compound morphology need checking; one published lexical comparison.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-12	Kurux	guchā-baʔ-ā	Kunha	ghucā-ba-a	throw away, move away	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	aspiration-migration-plausible	Aspiration shifts from the medial affricate region to initial g; glottal loss and final-vowel details are additional. Could be a feature-level migration rather than whole-segment exchange.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-13	Kurux	letheṛ okk-ā	Kunha	thepeṛ okk-ā	sit cross-legged	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	morphological-or-lexical-uncertainty	l versus p is not explained by transposition. Distinct lexical modifiers, assimilation or a transcription error must be evaluated; the paper does not supply the missing derivation.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-14	Kurux	mākcūṇḍ	Kunha	māskūṛ	flower name	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	reversal-plus-consonant-change	k-c > s-k can be exchange if c>s is independently established; ṇḍ>ṛ is another change. Plant identity and cognacy are not verified.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-15	Kurux	hoṛm-baʔ-ā	Kunha	homṛa-ba-ā	throw down headlong	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	CC-reversal-plausible	The ṛ-m > m-ṛ sequence is a clear local reversal under the given comparison; final a and glottal loss are separate. Compound/verb morphology precedes the local ordering.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-16	Kurux	xarḍkā	Kunha	haḍrkā	stolen	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	CC-reversal-plausible	r-ḍ > ḍ-r reverses two consonants while x>h is a separate correspondence. This is a consonant-cluster process, not vowel-apical exchange.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-17	Kurux	lapsārʔ-ā	Kunha	lahpār-ā	take long strides	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	reversal-plus-consonant-change	The actual printed input has p-s, although the paper labels the changed sequence sp. An analysis ps>hp requires s>h plus order reversal; literal segment conservation is false.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-18	Kurux	ȭsaṛgō	Kunha	ȭṛskā	mushroom	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	reversal-plus-consonant-change	s-ṛ reversal is plausible alongside medial vowel loss, g/k and final vowel changes. Species and root segmentation remain unverified.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-19	Kurux	khaṛiya-in / khaṛiyā-n	Kunha	khaṛiyā-n	Kharia feminine affiliation	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	morphological-allomorph-selection	Kunha retains one suffix allomorph already reported in Kurux. No new reversal need occur; the selected form cannot be treated as a direct -ni>-in change.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-20	Kurux	corh-nī / cor-nī	Kunha	cor-nī	female thief	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	no-order-change	The compared selected variant shows h absence, with n-ī order unchanged. It does not instantiate the claimed suffix-order reversal.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-21	Kurux	nāmukil kāl-ā	Kunha	nāmuklī kāl-ā	deny, oppose	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	reversal-or-syncope-lengthening	Medial i-l to l-ī is compatible with vowel movement plus lengthening, but syncope and final-vowel morphology must also be excluded.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-22	Kurux	biyārī	Kunha	pairī	wee hours	Kujur and Dash2025	118	https://doi.org/10.25077/ar.12.2.114-124.2025	contraction-or-vowel-reordering	b/p and glide/vowel contraction differ; the claimed ia>ai analysis is not a complete derivation from the actual source form.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-23	Kurux	eṛeth	Kunha	iṛtū	long-bow	Kujur and Dash2025	119	https://doi.org/10.25077/ar.12.2.114-124.2025	syncope-final-vowel-alternative	Database Kurux eṛetʰ and Malto eṛtu support a medial-cluster alternative. Neither establishes that the final u is the same segment as the deleted medial e.	d789	Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-24	Kurux	keber mōx-ā	Kunha	kebra mōh-ã̄	be scolded	Kujur and Dash2025	119	https://doi.org/10.25077/ar.12.2.114-124.2025	syncope-final-vowel-alternative	e-r to r-a differs in vowel quality. Final morphology, medial reduction and regular x>h compete with literal exchange.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
KD25-25	Kurux	xēxel	Kunha	hēhlā	land, earth	Kujur and Dash2025	119	https://doi.org/10.25077/ar.12.2.114-124.2025	syncope-final-vowel-alternative	x>h, medial e deletion and final ā can derive this without moving the initial long ē. The paper incorrectly identifies ēx>hē as the relevant local exchange.		Earlier and fuller paradigms, recordings and additional cognates are needed to determine direction and separate phonetic change from morphological replacement.	Paper orders Kurux before Kunha; common ancestry versus direct derivation is not independently demonstrated by this pair.
