entry_id	family_id	concept	reconstruction	c1	v1	v1_quantity	c2	c2_structure	v2	structure	eligibility	input_confidence
d1	deictic-a-i	distal demonstratives and adverbs	*a-t(u), *a-w-an/-ar; oblique *ad-an-i / *aw-an-i, *aw-att-i	Ø	a	short deictic input; secondary long formations	t/w/b	morphological dental/labial elements	a/i/u/variable	deictic base + gender/number + oblique augment	morphological-pronoun-domain	high for order and morphological augment; medium for exact immediate sequence
d61	d61	shoot, discharge	regional *aṭ-a- (Te -r-, Tu -k-)	Ø	a	short	ṭ	singleton	a	VC-a-C	narrow-comparison-control	low
d63	d63	hide, subdue, be compressed	*aṭ-a-nk- / *aṭ-a-nkk-	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	core	high
d64	d64+d88	betel pouch	*aṭ-a-ppay / *aṭay-ppay	Ø	a	short	ṭ	singleton	a	VC-a(y) + pp-ay	compound-contact-control	high
d72	d72	foot, base	*aṭ-V; regional *aṭ-Vk-	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	core	medium
d75	d75	earthen pot	*aṭ-V-k-? / *aṭ-V-	Ø	a	short	ṭ	singleton	unknown	VC-V-C / VC-C	core-formation-uncertain	medium
d76	d76	cook, burn; pancake	*aṭ-u- / *aṭ-; strengthened *aṭṭ-u noun	Ø	a	short	ṭ	singleton	u	VC-u; VC-CV; derivatives and compounds	core	high
d77	d77	pound, beat	*aṭ-V-; *aṭ-aŋ- / *aṭ-Vmp- derivatives	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	core	medium
d78	d78	be fit, be able	*aṭ-u-; Telugu *aṭ-ar- formation	Ø	a	short	ṭ	singleton	unknown	VC-V / VC-VC	core-formation-uncertain	medium
d79	d79	approach, join, near	*aṭ-ay-; *aṭ-ar- and *aṭ-Vk- extensions	Ø	a	short	ṭ	singleton	a	VC-ay / other derivatives	core	high
d80	d80	pile, arrange in tiers	*aṭ-uk(k)- / *aṭ-aŋk-	Ø	a	short	ṭ	singleton	u	VC-u-PP	core	high
d81	d81	ask, beg	*aṭ-uk-?; wider root *aṭ-/aḷ- uncertain	Ø	a	short	ṭ	singleton	u	VC-u-C	cognacy-or-input-uncertain	low
d83	d83	close, obstruct, transverse	*aṭ-ay- beside *aṭṭ-a- / *aṭṭ-i-	Ø	a	short	ṭ	singleton-and-geminate-formations	a	VC-ay and VCC-V	mixed-input-formations	high
d84	d84	collect, crowd, increase	*aṭ-ay- / *aṭ-ar-; strengthened *aṭṭ-	Ø	a	short	ṭ	singleton	a	VC-ay / VC-ar / VCC	core	high
d86	d86	anvil, support	*aṭ-ay(-kal)	Ø	a	short	ṭ	singleton	a	VC-ay + noun compound	core	high
d88	d64+d88	areca nut and its implements	*aṭ-ay-kkāy; *aṭay + tool/bag	Ø	a	short	ṭ	singleton	a	VC-ay + compound noun	compound-contact-control	high
d89	d89	sign, token	regional *aṭay-āḷ-am? (internal analysis uncertain)	Ø	a	short	ṭ	singleton	a	VCay-VVCV(m)	compound-contact-control	low
d109	d109	thirst, hunger	*aṭ/ẓ/ṇṭ-? plus Telugu *-p(p)- formation	Ø	a	short	uncertain-apical	singleton/geminate/nasal-cluster-uncertain	unknown	VC(-C) plus P formation	cognacy-or-input-uncertain	low
d201	d201	king, royalty	Sanskrit *rājan- > regional *(a)rāca- / araca-	r	ā	long	j	singleton	a	CVVCVC donor; prothetic recipient form	loan-input-control	high
d202	d202	pipal tree	*ar-a- (extensions *-c, *-ḷ, *-y and Telugu -v/-g)	Ø	a	short	r	singleton	a	VC-a-C	core	high
d203	d203	nuptial gift	regional *araṇa-; internal segmentation unknown	Ø	a	short	r	singleton	a	VCVCV, segmentation uncertain	core-formation-uncertain	medium
d205	d205	banana, plantain	regional *ar-Vṇṭṭi; independent earlier form uncertain	Ø	a	short	r	singleton	unknown	VC-V-NPPV	single-language-input-uncertain	low
d207	d207	interlace, spread as a creeper	*ar-il- / *ar-al-?	Ø	a	short	r	singleton	i/a	VC-VC	core-formation-uncertain	medium
d211	d211	trunk, post, pillar	*ar-ay / *ar-aḷ-?; Telugu -ḍ extension uncertain	Ø	a	short	r	singleton	a	VC-ay / VC-a-C	cognacy-or-input-uncertain	medium
d215	d215	rice, rice cake	*ari; *ar-i-ci / *ar-ki- formations	Ø	a	short	r	singleton	i	VC-i-C / VC-C	core-formation-uncertain	medium
d216	d216	tax, debt, pay	*ar-i tax; *ar-VC and strengthened derivatives uncertain	Ø	a	short	r	singleton	i	VC-i; VC-VC; VCCV	cognacy-or-input-uncertain	low
d221	d221	rare, difficult	*ar-u(-t)- / *ar-i(-t)-	Ø	a	short	r	singleton	u/i	VC-high-C	core	high
d222	d222	approach, near, edge	*ar-u-k- / *ar-u-v- and high-vowel variants	Ø	a	short	r	singleton	u/i	VC-high-C	core	high
d227	d227	grace, favor, affection	*ar-uḷ- (internal boundary uncertain)	Ø	a	short	r	singleton	u	VCVC root/extension	core-formation-uncertain	high
d228	d228	rub, grind, smear	*ar-ay-; additional *ar-a-C formations	Ø	a	short	r	singleton	a	VC-ay / VC-a-C	core	high
d229	d229	half	*ar-ay	Ø	a	short	r	singleton	a	VC-ay; free nominal base	free-base-control	high
d232	d232	gain, enjoyment, good luck	*ar-b-? / *ar-V-b-?	Ø	a	short	r	cluster-or-syncopated-unknown	unknown	VC-C / VC-V-C	cognacy-or-input-uncertain	low
d233	d233	fall, drop	*ar-; Telugu *ar-al-? and regional high-vowel derivatives	Ø	a	short	r	singleton	unknown	VC-VC / VC-V	core-formation-uncertain	medium
d236	d236	suffer, tire	*al-a- and *al-a-NC- formations	Ø	a	short	l	singleton	a	VC-a-(NC)	core	medium
d237	d237	blade, tip	*al-ak- / *al-uk-	Ø	a	short	l	singleton	a/u	VC-V-C	core-formation-uncertain	medium
d240	d240	move, shake, wave	*al-ay-; *al-aŋ- / *al-uk- extensions	Ø	a	short	l	singleton	a	VC-ay / VC-a-NC	core	high
d241	d241	confusion, tumult	alaŋkōlam / allakallōla; complex or contaminated stem	Ø	a	short	l	singleton-and-geminate-formations	a	complex lexical formation, single/geminate variants	complex-or-contact-input-uncertain	low
d242	d242	pulse, cowpea	regional alasand-/alasaṇḍ-; ultimate origin undetermined	Ø	a	short	l	singleton	a	VCVCVNC, lexical crop name	complex-or-contact-input-uncertain	medium
d244	d244	weeds, leguminous plants	regional *al-a/u-b/m- (medial nasal uncertain)	Ø	a	short	l	singleton	a/u	VC-V-C	narrow-comparison-control	low
d245	d245	chatter, roar, noise	*al-a- with *-r/ṟ, *-mp and other extensions	Ø	a	short	l	singleton	a	VC-a-C	core	high
d246	d246	wash, rinse, smear	*al-ay- / *al-a-mp- / *al-a-k(k)-; *al-uk-	Ø	a	short	l	singleton	a/u	VC-V-C	core	high
d247	d247	blossom, expand, flower	*al-ar- (two distinct liquids)	Ø	a	short	l	singleton	a	VC-VC with L...R	core	high
d248	d248	beauty, please, shine	*al-ar-? beside *al-amp-?	Ø	a	short	l	singleton	a	VC-a-C; different extensions	core-formation-uncertain	medium
d249	d249	habit, become accustomed	Telugu ala-vaḍ-/ala-vaṟ-; earlier independent base unknown	Ø	a	short	l	singleton	a	VCV + verbal element	single-language-input-uncertain	low
d256	d256	waterlily	*alli (geminate lateral)	Ø	a	short	l	geminate	i	VCCV	geminate-control	high
d257	d257	iron-wood tree	*al/alli; compound *ali-mar	Ø	a	short	l	singleton-and-geminate-formations	i/a	VCV / VCCV + tree noun	complex-or-contact-input-uncertain	medium
d259	d259+d260	bowstring	*al-k-?; weaving-family formation	Ø	a	short	l	singleton	Ø	VC-C	consonantal-formation-control	medium
d260	d259+d260	weave, plait, intertwine	*al- with consonantal *-p/-t and strengthened *all-	Ø	a	short	l	singleton-and-geminate-formations	Ø	VC-C / VC and VCC derivatives	consonantal-formation-control	high
d276	d276	burn, grieve, ember	*aẓ-al- / *aẓ-Vŋk-; possible older *c/t-initial cognate	Ø	a	short	ẓ	singleton	a/u	VC-VC / VC-V-NC	core	high
d277	d277	perish, destroy	*aẓ-i-; transitive *aẓ-i-mpp- and *aẓ-i-ntt-	Ø	a	short	ẓ	singleton	i	VC-i-NPP / VC-i-	core	high
d281	d281	affection, desire	*aẓ-i-; *aẓ(i)-k-ar- and *aẓ-ti formations	Ø	a	short	ẓ	singleton	i	VC-i-C / VC-C	core	high
d282	d282	cry, weep, call	*aẓ-u- / *aẓ-ay-; regional vowel history unresolved	Ø	a	short	ẓ	singleton	u/a	VC-V / VC-V-C	core	high
d285	d285	dip, press, immerse	*aẓ-unt- / *aẓ-utt-	Ø	a	short	ẓ	singleton	u	VC-u-NP / VC-u-PP	core	high
d291	d291+d295	strength, size, ability	*aḷ-; *aḷ-av-; long-root alternative *āḷ?	Ø	a	short	ḷ	singleton	a	VC-a-C	core	high
d295	d291+d295	measure, size	*aḷ-a-; *aḷ-a-p/-v and dental extensions	Ø	a	short	ḷ	singleton	a	VC-a-C	core	high
d296	d296	mix, join, approach, seize	*aḷ-a- / *aḷ-ay-; *aḷ-p-? and other formations	Ø	a	short	ḷ	singleton	a	VC-ay / VC-a-C / VC-C	core	high
