family_id	language	all_forms	outcomes	excluded_outcomes	sources	formation_basis
2563	Sh	"[""ó:ʈe"", ""ó:ʈo"", ""óo~ṭ"", ""óo~ṭi"", ""óo~ṭo"", ""ō̃ṭi̯"", ""ō̃ṭṷ""]"	"[""E@-1"", ""E@-2"", ""stress-marked@-2"", ""unmarked""]"	[]	"[""CDIAL"", ""degener-shina2008"", ""rajapurohit2012"", ""schmidt""]"	lip, old a-stem body-part noun
2563	Phal	[]	[]	[]	[]	lip, old a-stem body-part noun
2563	Sv	[]	[]	[]	[]	lip, old a-stem body-part noun
2563	Kalk	[]	[]	[]	[]	lip, old a-stem body-part noun
2563	Kund	[]	[]	[]	[]	lip, old a-stem body-part noun
2563	bro	"[""'yṭi""]"	"[""stress-marked@-2""]"	[]	"[""schmidt""]"	lip, old a-stem body-part noun
2563	Ush	[]	[]	[]	[]	lip, old a-stem body-part noun
2993	Sh	"[""káa"", ""káa~"", ""kāh"", ""kā̃""]"	"[""E@-1"", ""unmarked""]"	[]	"[""CDIAL"", ""degener-shina2008"", ""schmidt""]"	crow, old a-stem animal noun
2993	Phal	"[""káak"", ""kóok"", ""kōk"", ""kʹôk""]"	"[""E@-1"", ""unmarked""]"	[]	"[""CDIAL"", ""liljegren"", ""strand""]"	crow, old a-stem animal noun
2993	Sv	[]	[]	[]	[]	crow, old a-stem animal noun
2993	Kalk	[]	[]	[]	[]	crow, old a-stem animal noun
2993	Kund	[]	[]	[]	[]	crow, old a-stem animal noun
2993	bro	"[""qoo""]"	"[""unmarked""]"	[]	"[""schmidt""]"	crow, old a-stem animal noun
2993	Ush	[]	[]	[]	[]	crow, old a-stem animal noun
3023	Sh	"[""kóon"", ""kóoṇ"", ""kōn"", ""kōṇ""]"	"[""E@-1"", ""unmarked""]"	[]	"[""CDIAL"", ""degener-shina2008"", ""schmidt""]"	arrow, old a-stem nominal; both old accents explicitly attested
3023	Phal	"[""kóoṇ"", ""kóoṇṭ"", ""kōṇ"", ""kʹôṇ"", ""šará""]"	"[""E@-1"", ""S@-1"", ""unmarked""]"	[]	"[""CDIAL"", ""liljegren"", ""strand""]"	arrow, old a-stem nominal; both old accents explicitly attested
3023	Sv	"[""kā̃ṛa""]"	"[""unmarked""]"	[]	"[""CDIAL""]"	arrow, old a-stem nominal; both old accents explicitly attested
3023	Kalk	[]	[]	[]	[]	arrow, old a-stem nominal; both old accents explicitly attested
3023	Kund	[]	[]	[]	[]	arrow, old a-stem nominal; both old accents explicitly attested
3023	bro	[]	[]	[]	[]	arrow, old a-stem nominal; both old accents explicitly attested
