Entry_ID	Form_ID	Issue_type	Observed_record	Source_check	Proposed_action	Certainty_and_limit
d916	f_mpo2t4kspl5la	wrong group reference	Legacy head *ñāl- dog assigned to DEDR 916	Southworth Proto-Dravidian Agriculture PDF p. 24 assigns dog to 2916; DEDR 916 contains different lexical material	Withdraw the dog-to-916 ancestry assignment; verify the corresponding 2916 node and preserve the source reconstruction there	High confidence reference error; not a proposal to change the phonetic reconstruction
d513	f_kjlaopfa4uvp6	wrong upstream group reference	Merriam record 6071 *ēl-V- cardamom assigned to 513	Krishnamurti 2003 p. 9 gives cardamom as 907; installed upstream row already contains 513	Correct the etymological group assignment with an audit note identifying the upstream error	High confidence; distinct from the legitimate young/tender material in 513
d1347	f_4h2p6anrzos7w	wrong published group reference	Legacy *kiẓ-ank- tuber assigned to bonduc group 1347	Krishnamurti 2003 p. 12 itself prints the wrong 1347; DEDR's tuber group is 1578	Remove the tuber reconstruction as ancestor of bonduc reflexes; retain source wording and corrected linkage separately	High confidence semantic/reference error; bonduc gracca/gacca still needs its own comparative analysis
d3178	f_jjnpfkefdzp34	compound versus constituent reference	*tāẓ-vaṭam necklace attached to be-low group 3178	Krishnamurti 2003 p. 202 gives the complete compound in 3184 and cites 3178 and 5220 for constituents	Represent complete word in 3184 and preserve typed constituent links; do not treat it as parent of all 3178 reflexes	High confidence source-scope error; source does not establish that every derivative in 3178 descended from the compound
d513	f_wceqyzpb27kq2	historical level lost	Southworth *lenk- child has Language_ID=PDr while description retains PSD2	The author's Marathi paper table 1, PDF p. 9, explicitly labels *lenk- PSD2 under a deeper iḷa(ŋ)(k)- comparison	Restore explicit subgroup level with source provenance; display the deeper root and displaced derivative as separate claims	High confidence about what the source labels; phonetic correctness of the subgroup form remains open
d561	f_cl2222dlcikdq	historical level and regional scope	*gōr/*kōr is PDr in the language field but the gloss describes SD II, CD, Br.	Krishnamurti 2003 p. 484 separates southern *ukir, *gōr/*kōr, and Kurux–Malto *or-kk-; p. 46 also proposes broader alternatives	Retain regional scope and competing analyses; do not select one regional formation as the literal ancestor of all nail words	Requires scholarly review; geographic distribution is not automatically a reconstructed clade and p. 484's introductory prose itself overstates uniform depth
d5372	f_3vyangtlizprs	markup parsed as lexical data	Fragments b&lt, br&lt, and &gt occur alongside braduku/baduku	Original contextual markup is not a Telugu lexical form	Repair the extraction boundary and audit resulting parent/variant edges; exclude fragments from sound-law inventories	High confidence extraction error; genuine braduku morphology and root quantity remain separate questions
d2988	f_ky34c5v2ql52s	source uncertainty lost	ūḍu is connected by an unqualified rank-1 reflex edge	DEDR p. 258 explicitly prints ? ūḍu in 2988	Preserve the question as a qualification on the proposed cognacy edge and expose the original article context	High confidence lost qualification; a question mark does not by itself prescribe a particular numerical rank
d2988	f_ps6e7q5wfbu2c	competing reconstruction	Starling/Merriam PDr *ḍol- fall is the selected reconstruction	Starling Dravidian record 299 actually has this form; K61 p. 54 explores uẓ- derivatives; DEDR separates 2698 roll from 2988 fall	Display alternatives and review reconstruction depth, cognate membership, and initial retroflexion; do not silently replace with a fitted uẓ- stem	Substantive unresolved analysis, not a clerical typo; the doubtful ūḍu cannot settle the issue
d651		root derivative and compound scope	*uram-kkal grinding stone/pestle is the selected head above ural/oral/rōlu	Krishnamurti 2003 p. 8 lists mortar *ur-al/-aḷ separately from the grinding-stone compound	Represent mortar derivatives and compound separately under any independently defensible root comparison	High confidence mismatch of morphological scope; exact deeper root and suffix vowels must still be evaluated
d4559		compound selected as whole-group ancestor	*ap-pōẓ that-time/then is selected above the larger time/day group	DEDR includes several poẓ-/pōẓ- formations and a demonstrative compound; its first member is not present in all descendants	Separate the demonstrative compound from the temporal root and its derivatives	High confidence scope problem; does not determine a uniform root-length reconstruction
d5087		semantic qualification control	Archaic Telugu mṛ̆ēka is included but explicitly glossed meaning unknown	DEDR's wording does not identify this archaic form as goat	Preserve the qualification and exclude it from any certain goat-metathesis derivation	The qualification is already present; this is an analysis safeguard, not a newly found extraction error
d1861	f_26ar3mxq4e2x2	derived cluster projected to ancestor	Merriam PSTDr *gru-cc- beside Tamil kuṟṟu and Telugu gruccu	PSTDr means Proto-South Total Dravidian in installed metadata; the item is a new Merriam reconstruction, not an independent ancient attestation	Reassess a cluster-bearing protoform against the alveolar correspondence and short derivative; distinguish root reconstruction from metathesized Telugu outcome	Scholarly review candidate; current display head is explicitly an unstarred DEDR fallback, not this protoform
