K80_Item	Entry_ID	Language_ID	Input_Support_Tier	K80_Reports_Lowering	Reviewed_Evidence_Available	Evidence_Forms	Evidence_IDs	Sources	Interpretation	Scope
1	d1959	Telugu	unknown	0	0				Konda ker supports order but supplies no -a.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
1	d1959	Gondi	unknown	0	0				Konda ker supports order but supplies no -a.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
1	d1959	Konda	unknown	0	1	ker- (-t-)	f_ngqx45wmcs4lu	dedr	Konda ker supports order but supplies no -a.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
1	d1959	Kui	unknown	1	1	grāpa (grāt-);grēpa (grēt-)	f_5rdnsosggoq5g;f_6luudnxakscry	dedr	Konda ker supports order but supplies no -a.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
1	d1959	Kuwi	unknown	0	1	grecali (gret-)	f_ufnz7mex2uc7q	dedr;F-Kuwi	Konda ker supports order but supplies no -a.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
1	d1959	Pengo	unknown	0	1	gre- (-t-)	f_jvtm6s2odyhwu	dedr	Konda ker supports order but supplies no -a.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
1	d1959	Manda	unknown	0	1	grepa	f_hiimwbtayvnp4	dedr	Konda ker supports order but supplies no -a.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
2	d513	Telugu	root-low-only	0	1	ela;eḍanīru;lēma;lē̃;lē̃ga;lē̃ka;lē̃ta;nelãta;nelãtuka	f_d5kcw6hrz2qbi;f_ejrg7mghib4h6;f_h55dqkqddalhw;f_iidp2lwtlxkrw;f_td5tw434rhrw4;f_tthkyznga3ouu;f_vfhmtesu22rzc;f_xanpmdfasmauw;f_yukt2ixlwlxqy	dedr;dedr;burrow-emeneau1972den1[p. 400, entry 436]	Low young formations independent; eastern human cognacy partly reassigned using the rule.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
2	d513	Gondi	root-low-only	0	1	layor;leyor;leyōṇḍu;raiyōl ( raiyōṛ);ḍiyyā;ḍiyyōr	f_4xrs7vfz3i2im;f_e6qkgtul43m5k;f_p6krsvjodw4nc;f_q3ju4fimnq77c;f_rkcyvzxdzws3u;f_tzc436vfkqogm	dedr;dedr;L-Gondi;dedr;M-Gondi;dedr;Tr-Gondi	Low young formations independent; eastern human cognacy partly reassigned using the rule.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
2	d513	Konda	root-low-only	0	1	lēta;lēŋa	f_4t2liwibfr4zy;f_gfmhouvqqotxo	dedr	Low young formations independent; eastern human cognacy partly reassigned using the rule.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
