class_id	record_id	analysis_token_id	family_id	language	form	gloss
short-a-without-h	f_faznsewj7ozfc	f_faznsewj7ozfc	11392	Phal	báaṣ	rain
short-a-without-h	f_y5nhy3rinzx7u	f_y5nhy3rinzx7u	2892	Phal	kram	work; deed, behaviour
short-a-without-h	f_7zlrrmweiu3e2	f_7zlrrmweiu3e2	10442	Phal	yab	irrigation canal
short-a-without-h	f_4sq7n3gp7dnms	f_4sq7n3gp7dnms		Phal	ḍag	markhor (a species of wild goat)
short-a-without-h	f_hnlptlynhabde	f_hnlptlynhabde	13139	Phal	sat	seven
short-a-without-h	f_2q4h7ob4pjmbo	f_2q4h7ob4pjmbo	2462	Phal	a	one; one (person), someone
short-a-without-h	f_6rtlzdmwstkgq	f_6rtlzdmwstkgq	7907	Phal	par	last year
short-a-without-h	f_lbmo2ellmbrdi	f_lbmo2ellmbrdi	242	Phal	aǰ	today
short-a-without-h	f_w36mmh5td7wuu	f_w36mmh5td7wuu	13254	Phal	sar	lake, pond, puddle
short-a-without-h	f_a2qflwi6dbs3o	f_a2qflwi6dbs3o	941	Phal	aṣṭ	eight
short-a-without-h	f_ngygjwbkf7xwa	f_ngygjwbkf7xwa	10539	Phal	ráat	blood
short-a-without-h	f_pjztpmtrf77ds	f_pjztpmtrf77ds	13627	Phal	káan	shoulder
short-a-without-h	f_eriylidlq3u62	f_eriylidlq3u62	8711	Phal	práal	light
short-a-without-h	f_lke2sojllsqo6	f_lke2sojllsqo6	4762	Phal	čáar	fresh grass (esp. as fodder)
short-a-without-h	f_ngs5aomfmojuu	f_ngs5aomfmojuu		Phal	ḍáag	markhor (a species of wild goat)
short-a-without-h	f_lmnlacvhvk234	f_lmnlacvhvk234	10539	Phal	rat	blood
short-a-without-h	f_t5a7mftwa63jy	f_t5a7mftwa63jy	5303	Phal	ǰar	fever
short-a-without-h	f_xlnes4fwtrbqi	f_xlnes4fwtrbqi		Phal	ak	a, an; a certain
short-a-without-h	f_n3bocqps2kva2	f_n3bocqps2kva2		Phal	ḍáab	plateau, plain area on top of a hill
short-a-without-h	f_qoqc6cg66i3ji	f_qoqc6cg66i3ji		Phal	rang	colour; paint; complexion
short-a-without-h	f_2uvsw4rsxfv6k	f_2uvsw4rsxfv6k	6724	Phal	dand	hill side, peak, ridge
short-a-without-h	f_ehdsduazeeeua	f_ehdsduazeeeua	6651	Phal	dar	door
short-a-without-h	f_ndm7sgvqas5h2	f_ndm7sgvqas5h2	2462	Phal	áak	one; one (person), someone
short-a-without-h	f_rsldl4hnjzwoo	f_rsldl4hnjzwoo	941	Phal	áaṣṭ	eight
short-a-without-h	f_6aypqwxcxxodq	f_6aypqwxcxxodq	12326	Phal	šan	roof
short-a-without-h	f_nzfrt6zf2ixns	f_nzfrt6zf2ixns		Phal	ḍab	plateau, plain area on top of a hill
short-a-without-h	f_s2kssaz5iw5ge	f_s2kssaz5iw5ge	10412	Phal	yáandr	mill
short-a-without-h	f_e5ptsrrsr5ncy	f_e5ptsrrsr5ncy	2462	Phal	áa	one; one (person), someone
short-a-without-h	f_ma7oj2akp5mry	f_ma7oj2akp5mry	6651	Phal	dáar	door
short-a-without-h	f_ds75yrlrwc2pm	f_ds75yrlrwc2pm	6227	Phal	daš	ten
short-a-without-h	f_riwftdprddvuk	f_riwftdprddvuk	2830	Phal	káaṇ	ear
short-a-without-h	f_37y7iic4geeuy	f_37y7iic4geeuy	6724	Phal	dáand	hill side, peak, ridge
short-a-without-h	f_ujvlyk74hm24w	f_ujvlyk74hm24w	7031	Phal	náas	nose
short-a-without-h	f_a6lnhdjqs3q4k	f_a6lnhdjqs3q4k	7655	Phal	páanǰ	five
short-a-without-h	f_3cwqiqkayoa7s	f_3cwqiqkayoa7s	10412	Phal	yandr	mill
short-a-without-h	f_wn272w7tdocgm	f_wn272w7tdocgm	11348	Phal	baṭ	stone, rock
short-a-without-h	f_5rrns4glngxoq	f_5rrns4glngxoq	2462	Phal	ak	one; one (person), someone
short-a-without-h	f_stjehsosoczzo	f_stjehsosoczzo	13254	Phal	sáar	lake, pond, puddle
short-a-without-h	f_ol4gcmoqbmzts	f_ol4gcmoqbmzts		Phal	áak	a, an; a certain
short-a-without-h	f_zhr2kiplmdubm	f_zhr2kiplmdubm	12326	Phal	šáan	roof
short-a-without-h	f_y2n5hwwg4och4	f_y2n5hwwg4och4	7031	Phal	nas	nose
short-a-without-h	f_sd3by4vn576ps	f_sd3by4vn576ps	11392	Phal	baṣ	rain
short-a-without-h	f_llss66zccqc7a	f_llss66zccqc7a	242	Phal	aáǰ	today
short-a-without-h	f_bkvropwimluxu	f_bkvropwimluxu	13139	Phal	sáat	seven
short-a-without-h	f_7hyftv5pgyvaa	f_7hyftv5pgyvaa	2892	Phal	kráam	work; deed, behaviour
short-a-without-h	f_muzmibohogi2y	f_muzmibohogi2y	4762	Phal	čar	fresh grass (esp. as fodder)
short-a-without-h	f_43vsb4wscgn3s	f_43vsb4wscgn3s	5311	Phal	ǰáar	fever
short-a-without-h	f_ykrvpvohvxtgc	f_ykrvpvohvxtgc	10442	Phal	yáab	irrigation canal
short-a-without-h	f_pled5thcxg4se	f_pled5thcxg4se	7907	Phal	páar	last year
short-a-without-h	f_6z6jcpfcem3y2	f_6z6jcpfcem3y2	8711	Phal	pral	light
short-a-without-h	f_tvk2nswtqcdac	f_tvk2nswtqcdac	5311	Phal	ǰar	fever
short-a-without-h	f_jzo3xvxyczxoa	f_jzo3xvxyczxoa	2830	Phal	kaṇ	ear
short-a-without-h	f_zwahgkgiydy3e	f_zwahgkgiydy3e		Phal	ráang	colour; paint; complexion
short-a-without-h	f_vvaoocqomdriy	f_vvaoocqomdriy	11348	Phal	báaṭ	stone, rock
short-a-without-h	f_zbq6o45kmzoyk	f_zbq6o45kmzoyk	6227	Phal	dáaš	ten
short-a-without-h	f_3uoc2u2w2dxrm	f_3uoc2u2w2dxrm	13627	Phal	kan	shoulder
short-a-without-h	f_ac6wipepaczv2	f_ac6wipepaczv2	5303	Phal	ǰáar	fever
short-a-without-h	f_4ulipxwirqgb2	f_4ulipxwirqgb2	7655	Phal	panǰ	five
short-a-with-h	f_oevcjtgw3t5bo	f_oevcjtgw3t5bo	14024	Phal	haát	hand
short-a-with-h	f_lefvdsipu3sgu	f_lefvdsipu3sgu	3662	Phal	c̣har	waterfall
short-a-with-h	f_gylv2zfgesifi	f_gylv2zfgesifi	13952	Phal	haáḍ	bone
