Child_ID	Parent_ID	Kind	Rank	Pos	Source	Note
10069	9882	derived	1			
1008	f_ig5yrzugfxo4w	derived	1			
10088a	10092	derived	1			
1009	1008	derived	1			
10092	d4827	borrowed	1			
10093	10092	component	1	1		
10094	10092	derived	1			
10095	10092	derived	1			
10140a	d4885	borrowed	1			
10144	d4888	borrowed	1			
10145	10144	component	1	1		
10146	d4893	borrowed	1			
10146-2	10146	derived	1			
10146-2	10146	reflex	1			
10146-3	10146	derived	1			
10146-3	10146	reflex	1			
10147	10146	derived	1			
10148	10146	component	1	1		
10150	d4932	borrowed	1			
10152	d4959	borrowed	1			
10152	10244	reflex	2			review:auto-alternate
10153	10152	component	1	1		
10153a	10152	component	1	1		
10154	10152	component	1	1		
10161	4661	component	1	2		
10201	10203	derived	1			
10202	10203	derived	1			
10204	10203	component	1	1		
10209	d4982	borrowed	1			
10210	d4973	borrowed	1			
10210	10214	reflex	2			review:auto-alternate
10214	d4973	borrowed	1			
10214	10210	reflex	2			review:auto-alternate
10302	f_32h3qlbymi2kw	derived	1			
10302	f_gzath4bxi4fkc	reflex	1		lubotsky2011iail[s.v. meghá-];rastorgueva2000esija[p. 140—142];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/Hmaygʰás, revision 92152056]	
10303	10302	component	1	1		
10304	10302	derived	1			
10313	d5072	borrowed	1			
10334a	3232	component	1	2		
1035	3827	derived	1			
10365	10152	derived	1			
10413	11212	component	1	2		
10484	4883	component	1	2		
10553	3264	component	1	2		
1075	4879	derived	1			
11212	d5220	borrowed	1			
11217	11212	derived	1			
11218	11212	derived	1			
11341	10092	component	1	2		
11429	d5316	borrowed	1			
11503	d5301	borrowed	1			
11503-2	11503	derived	1			
11503-2	11503	reflex	1			
11503-3	11503	derived	1			
11503-3	11503	reflex	1			
11503-4	11503	derived	1			
11503-4	11503	reflex	1			
11503-5	11503	derived	1			
11503-5	11503	reflex	1			
11503-6	11503	derived	1			
11503-6	11503	reflex	1			
11584	d5370	borrowed	1			
11584-2	11584	derived	1			
11584-2	11584	reflex	1			
11627	12115	component	1	2		
12045	12046	component	1	1		
12045	1699	component	1	7		
12046	d5515	borrowed	1			
12046	12045	reflex	2			review:auto-alternate
12058	8399	component	1	2		
12059	9907	component	1	2		
12114	12115	component	1	1		
12115	d5479	borrowed	1			
12115-2	12115	derived	1			
12115-2	12115	reflex	1			
12115-3	12115	derived	1			
12115-3	12115	reflex	1			
12116	12115	component	1	1		
12117	12115	component	1	1		
12118	12115	derived	1			
12242	3392	component	1	2		
12356	d2426	borrowed	1			
12356-2	12356	derived	1			
12356-2	12356	reflex	1			
12489	12115	component	1	2		
12535	12115	component	1	2		
12781	3504	component	1	2		
12908b	12115	component	1	2		
13291	12115	component	1	2		
13373	3232	derived	1			
13392	d2599	borrowed	1			
13413	3227	component	1	2		
13417	d2535	borrowed	1			
13533	12115	derived	1			
13549	13551	derived	1			
13550	13551	component	1	1		
13551	13444	component	1	1		
13551	13561	component	1	2		
13551-2	13551	derived	1			
13551-2	13551	reflex	1			
13551-3	13551	component	1	1		
13574	f_suu2ng4gzhtp6	reflex	1			
13574-2	13574	derived	1			
13574-2	13574	reflex	1			
13574-2	f_lgdichakv74qk	reflex	2		martinez2014avestan[p. 52];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/súHar, revision 92152207]	
13574-3	13574	derived	1			
13574-3	13574	reflex	1			
13574-4	13574	derived	1			
13574-4	13574	reflex	1			
13574-5	13574	derived	1			
13574-5	13574	reflex	1			
139	9011	component	1	3		
14081	3227	component	1	2		
14151	3392	derived	1			
14152	f_i4675s6aweypo	reflex	1			
14152	f_avmaspw2rxkdc	reflex	2		lubotsky2011iail[s.v. hŕ̥d, p. 230];wiktionary-piir[Reconstruction:Proto-Indo-Iranian/ȷ́ʰŕ̥dayam, revision 92152321]	
14153	14152	derived	1			
14165	d903	borrowed	1			
14165-2	14165	derived	1			
14165-2	14165	reflex	1			
14174	d1039	borrowed	1			
14175	d959	borrowed	1			
14302	d690	borrowed	1			
1585	3232	component	1	2		
16	d23	borrowed	1			
1695	d1039	borrowed	1			
1699	d664	borrowed	1			
1705	2645	derived	1			
1717	2960	derived	1			
175	187	derived	1			
179	d83	borrowed	1			
182	179	derived	1			
187	d83	borrowed	1			
188	d83	borrowed	1			
188	187	reflex	2			review:auto-alternate
189	d83	borrowed	1			
189	187	reflex	2			review:auto-alternate
190	188	component	1	2		
191	d72	borrowed	1			
191-2	191	derived	1			
191-2	191	reflex	1			
191-3	191	derived	1			
191-3	191	reflex	1			
191-4	191	derived	1			
191-4	191	reflex	1			
222	d142	borrowed	1			
222	221	reflex	2			review:auto-alternate
222-2	222	derived	1			
222-2	222	reflex	1			
2340a	3083	component	1	2		
2360	d672	borrowed	1			
2360	10223	reflex	2			review:auto-alternate
2360-2	2360	derived	1			
2360-2	2360	reflex	1			
2360-3	2360	derived	1			
2360-3	2360	reflex	1			
2360-4	2360	derived	1			
2360-4	2360	reflex	1			
2512	d5152	borrowed	1			
2522	d907	borrowed	1			
2544	2547	component	1	1		
2547	d587	borrowed	1			
2595	d2125	borrowed	1			
2609	3465	derived	1			
2620	2621	derived	1			
2621	d1104	borrowed	1			
2621	3827	reflex	2			
2621	3854	reflex	3			
2621	2688	reflex	4			
2630	3769	derived	1			
2634	2639	component	1	1		
2635	2639	component	1	1		
2636	2639	component	1	1		
2639	d1109	borrowed	1			
2640	2639	component	1	1		
2645	d1123	borrowed	1			
2647	2645	component	1	1		
2648	2813	component	1	1		
2650	d1148	borrowed	1			
2650	2651	reflex	2			review:auto-alternate
2651	2650	derived	1			
2653	2710	derived	1			
2654	2710	derived	1			
2657	2650	derived	1			
2684	d1374	borrowed	1			
2684	f_ldulfq7ptzf3i	reflex	2			review:auto-alternate
2688	2621	derived	1			
2710	d1116	borrowed	1			
2710	2653	reflex	2			
2710	2654	reflex	3			
2712	3462	derived	1			
2723	d1171	borrowed	1			
