id	status	domain	input	output	conditioning	ordering	central_evidence	unresolved_limit
I0	Starting condition, not a sound change	Conservative Shinaic formations	Inherited lexical accent	Lexical accent distinctions retained	Compare equivalent nominal or verbal formations	Precedes branch-specific restructuring	mā́sa/māṃsá; vā́la/bālá; fixed and mobile paradigms	Does not imply that modern contours retain Vedic phonetic realization or that every Vedic accent is the ancestral one
M0	Morphological mechanism, not a sound change	Extended Shina and Palula stems	Older stem plus derivational/gender material	Accent on final root syllable before the gender ending	A specified formation must be established; not every -u/-o is the same suffix	Can precede accent-sensitive vowel changes; surviving root syllables depend on consonant history	kriṣíṇu, deec̣híṇu, paṇáaru, šidáalu; shorter Shina cognates	Basu2025 proposal; exact suffixes and mora placement still require reconstruction
A1	Supported restricted reconstruction	Palula mobile nouns; related Shina classes	Final accented vowel in a fuller form	Final vowel lost; accent on last surviving vowel mora	Endings deleted in some paradigm cells and retained in others	Before later Palula closed-syllable changes	deés/deesá; ghoóṣṭ/ghooṣṭá; putr/putrá	Fixed village and dialectal day/house/tongue classes need additional history; Strand son/big readings and loan-origin proposal independently challenge a single pooled account
C1	Supported segmental precondition	Palula; main Shina with additional changes	Preconsonantal r following a vowel	Leftward r metathesis or assimilation	Specified consonant clusters, not every r	Before testing the resulting syllable structure in vowel rules	kárman→kráam/kom/krom; márman→bráam	Metathesis alone does not explain m→b or the Shina vowel; branch outcomes differ
C2	Supported segmental correspondence	Palula, Kalkoti, Sawi and main Shina	Initial consonant+r clusters	Retention, cluster merger, lateral fricative, or retroflex outcome by branch	Kalkoti kr/tr→tr and gr/dr/br→dr; Sawi tr→ɬ; specified Shina brother/long families	Creates the segmental inputs to later vowel and accent histories	Western2009 pp34–37; Shina2008 pp236–240	Do not extrapolate every listed result to every Cr cluster; later loans can reintroduce sounds
C3	Supported segmental change	Palula	nt	nd	Postnasal dental stop	Can precede word-final reduction; not itself an accent shift	dáand, basaánd, yáandr	Other nasal clusters have separate assimilation/deletion histories
C4	Supported restricted reconstruction	Shina hot family	pt	Geminate tt, then dialect-specific tt/t or vowel-length compensation	The particular cluster and vowel environment must be controlled	Formation-specific stem accent must be established separately	Astori tátto, Kohistani táto, Guresi tátu, Gilgiti taáto	Gilgiti late lengthening is not shown for every cluster; short leaf/bitter and seven prevent an unrestricted rule; Kohistani/Astori baát also opposes general final shortening
C5	Supported restricted reconstruction	Palula and Shina aspiration histories	Aspiration associated with a later consonant or syllable	Aspiration realized in an earlier onset	Source-dependent; accent and avoidance of final aspiration are implicated	Must precede any lengthening or tone rule conditioned by that earlier aspiration	gōṣṭhá→ghoóṣṭ; Sawi beeṭhu versus Palula bhéṭu; Puri paradigms	No exceptionless placement rule reconstructed; some Palula aspiration is secondary
C6	Supported restricted reconstruction	Palula name family	m; later word-final w	m→w; then w lost/fused after raising	Name and corresponding inflected forms; not every m	m→w precedes *náaw→*nóow→nóo	B náaw; A nóo/nóowa	Kalkoti/Sawi m can reflect retention or fortition in other words; no unrestricted family-wide m→w rule
C7	Supported contraction mechanism	Northern/eastern Shina varieties, with lexical/local exceptions	VhV	Long vowel after h loss and coalescence	Internal vowel sequence, often with the later vowel prominent	Contraction follows h loss; retains effects of input prominence	laˈhoku/loóko; liˈhilo/loólo	Gupis and Diamer exceptions; survey is preliminary phonetic evidence; not every contraction gives late accent
