id	domain	claim_or_comparison	primary_source	locator	verification	supporting_evidence	limitation_or_opposition
PAL-01	Palula	Lexical first-mora/second-mora accent differs from aspiration	https://doi.org/10.17169/langsci.b82.85	2016 pp69–75	Original PDF text and relevant page images	Aspiration occurs before accented/unaccented vowels and with both mora accents	Modern phonetic realization does not establish unchanged Vedic pitch contours
PAL-02	Palula	deés/deesá; ghoóṣṭ/ghooṣṭá; putr/putrá	https://doi.org/10.17169/langsci.b82.85	2016 pp112–114	Original PDF text and page images	Final-accent apocope derives a late surviving stem accent and mobile inflection	Immediate Middle Indo-Aryan formations are reconstructed; fixed díiš is an explicit counterexample
PAL-03	Palula	B kram/kráama versus A kráam/kráama	https://doi.org/10.5617/ao.5341	2009 pp23–24 Tables13–14	Original PDF text and page images	Earlier open-syllable lengthening plus later A closed-syllable lengthening fits the paradigm	Common inheritance versus parallel branch shifts is not uniquely decided
PAL-04	Palula	báaṭ versus khaár/basaánd; haát/háata	https://doi.org/10.5617/ao.5341	2009 p21 and note17	Original PDF text and page image	Later A short-a lengthening gives late accent after aspiration or a pretonic syllable	kháaṇ and dhráac̣ require quantity/aspiration histories; imperatives have a separate regularity
PAL-05	Palula	Old early long aa/ee/oo versus newly lengthened a	https://doi.org/10.5617/ao.5341	2009 pp20–25,38–42	Original PDF text and tables	Nonmerging old/new vowels support a chain shift and relative chronology	Serial rule order is not a proof of discrete historical stages; a push chain is possible
PAL-06	Biori	Closed óo→úu, while late oó remains	https://doi.org/10.5617/ao.5341	2009 p22	Original PDF text and page image	trúu versus phoó establishes accent sensitivity in the comparison	Earlier histories of individual long vowels remain mixed
PAL-07	Biori	dan/dáanda; náang/núunga; šáang/šúunga	https://doi.org/10.17169/langsci.b82.85	2016 pp67–69,80	Original page images checked	Lengthening/raising appears before an internal nasal cluster; /jaːn.dra/ shows a comparable syllable boundary	A literal rule over modern open syllables is insufficient; earlier syllabification or analogy remains unresolved
PAL-08	Biori	baazáar/baazúura	https://doi.org/10.17169/langsci.b82.85	2016 p80 Table3.15	Original page image checked	A recognizable loan participates in the vowel alternation	Participation does not date its individual alternation to the original chain shift
PAL-09	Palula	Nominal and verbal i-umlaut	https://doi.org/10.17169/langsci.b82.85	2016 pp80–83	Original PDF text and page images	táatu/téeti; gháanu/ghéeni; paṇáaru/paṇéeri; kitaáb/kiteebí; gilaás/gileesí	Productive loan alternations and analogy prevent treating every fronted vowel as one prehistoric event
PAL-10	Palula	Imperative á→áa, áa→óo, ée→íi	https://doi.org/10.17169/langsci.b82.85	2016 p226	Original PDF text and page image	Grammar independently describes the stem-vowel pattern seen in 34 explicitly listed aa imperatives	Possible historical leveling is an inference, not a demonstrated universal phonetic rule
PAL-11	Puri Palula	bhruú/brahú; gháw/gehí	https://doi.org/10.5617/ao.5341	2009 p9,p35 note32	Original page image checked	Paradigmatic aspiration placement correlates with accent structure	Puri is a distinct small sample; it cannot be replaced with Ashret dictionary accents
PAL-12	Western Shinaic	Aspiration displacement versus loss	https://doi.org/10.5617/ao.5341	2009 pp34–37	Original PDF text and tables	Sawi beeṭhu beside Palula bhéṭu; gōṣṭhá beside Palula ghoóṣṭ	Some Palula aspiration is secondary; its date must precede a proposed tone trigger
PAL-13	Western Shinaic	r clusters; nasal clusters; m/w; diphthongs	https://doi.org/10.5617/ao.5341	2009 pp21–25,34–42	Original PDF text and tables	Palula kr-, Kalkoti tr-; Sawi tr→ɬ; Palula nt→nd; name m→w; father-in-law au outcomes	Not one uniform accent shift; retained vowels and syllables must be reconstructed separately
PAL-14	Historical Palula description	Circumflex vowels noticed, lexical tone not identified	https://mahraka.com/pdf/Notes%20on%20Phalura.pdf	1941 pp11,13–15	Original p11 page image; pp13–15 text	Morgenstierne describes weight tendencies and many dialectal vowel changes	Does not prove a toneless historical stage or date tonogenesis to the interval between publications
SH-01	Kohistani Shina	móos month/moós flesh/mos agent I	https://books.google.com/books?id=mZzD86umtbAC&pg=PA25	2008 pp25–28	Locally available original grammar, page images	Lexical length/mora-accent contrast; mā́sa versus māṃsá gives a historical motivation	Acoustic contours vary; root quantity and modern phonetic realization remain separate issues
SH-02	Shina varieties	Gilgiti taáto, Kohistani táto, Guresi tátu, Astori tátto	https://www.wisdomlib.org/uploads/journals/acta-orie/vol-69-2008/7372-6759-23258.pdf	2008 pp244–245 note17,p276	Original page images	Cluster reduction can produce secondary late length; Astori gemination preserves structural evidence	A common root-accented *tátt- formation is a proposed analysis; hot alone cannot prove the whole rule
SH-03	Kohistani Shina	beéto and upaviṣṭa; khyeé/khyáao and pyeé/pyáao	https://books.google.com/books?id=mZzD86umtbAC&pg=PA176	2008 p176 note38	Original grammar page image	Specific ṣ-loss/compensation account; explicit analogy of eat to drink	Short cíṭo bitter and páṭho leaf oppose uniform compensation for all lost clusters
SH-04	Kohistani Shina	caár/caré; kaál/kalí; góoṣ/góoẓi; núum/núumi	https://books.google.com/books?id=mZzD86umtbAC&pg=PA49	2008 pp42–50	Original grammar page images	Late-final versus early stem accent predicts many suffix alternations	Short don/dódi tooth versus don/doní flock requires lexical class information
SH-05	Kohistani Shina versus Palula	ǰip/ǰíba versus ǰip/ǰipí tongue	https://books.google.com/books?id=mZzD86umtbAC&pg=PA49	2008 pp47–50; Palula dictionary tongue entry	Original grammar and existing dictionary record	Direct fixed/mobile divergence within a cognate family	Neither universal retention nor a family-wide fixed class explains both unchanged
SH-06	Kohistani Shina	cáram/carám; carílos/caráas	https://books.google.com/books?id=mZzD86umtbAC&pg=PA135	2008 p135	Original page image checked	Accent distinguishes intransitive/transitive formations	Different verbal formations cannot be scored as direct copies of one Sanskrit root accent
SH-07	Gilgiti Shina	Conflicting house accents in two tables	https://www.wisdomlib.org/uploads/journals/acta-orie/vol-69-2008/7372-6759-23258.pdf	2008 pp237,263,265	Original tables checked; independent Degener/Buddruss source records	Degener and Buddruss independently support goóṭ	Kohistani/Guresi fixed góoṣ remains a real counterexample after correcting the Gilgiti conflict
SH-08	Shina varieties	Day: early Gilgiti/Guresi versus late Kohistani/Palula	https://www.wisdomlib.org/uploads/journals/acta-orie/vol-69-2008/7372-6759-23258.pdf	2008 Table2; Degener2008 glossary p260	Printed comparison and independent dictionary record	Independent Gilgiti dées supports early accent	Source consonant differences déez/dées do not remove the accentual divergence
SH-09	Guresi and Tileli	ẓuúk/ẓukí; ḍeér/ḍereé; don/dóni; mũyál/mũyále; kúṭu/kuṭé	https://journal.fi/store/article/download/52389/16239	2010 pp197–200	Original PDF text and page images	Both advancing and fixed classes occur, with exceptions to automatic prediction	The authors reject a consistent automatic rule on this sample; mũyál spelling should retain source nasalization
SH-10	Shina regional survey	h-retention beside contraction in light and red	https://github.com/lexibank/backstromnorthernpakistan	Radloff1992 pp146–148,207–209 in Languages of Northern Areas	Locally available original survey, relevant page images	laˈhoku/loóko and liˈhilo/loólo support medial h loss and coalescence	Survey has geographical exceptions and preliminary phonetic notation, not uniform phonemic analyses
SH-11	Gurezi	phaál/pháal minimal contrast	https://real.mtak.hu/35708/1/062.2016.69.1.6.pdf	Ahmed2016 pp103–104	Original page images checked	Same aspirated onset with distinct contours	One onset effect cannot replace a lexical accent contrast
SH-12	Gilgiti	Voiceless aspiration raises vowel-onset F0	https://www.mdpi.com/2226-471X/6/3/139	Hussain2021 experiment	Full primary article read	Controlled nonsense syllables, five speakers	Immediate pitch perturbation is not a test of the historical origin of lexical accent
SH-13	Kohistani Shina analysis	Contrastive foot structure	https://ojs.ub.uni-konstanz.de/jsal/index.php/fasal/article/view/252/144	Köhnlein2022 pp2–6	Full primary paper read	Accent advancement can be modeled through foot structure and pitch alignment	The proposed pitch alignment is tentative; formal representation does not decide every historical derivation
