record_id	family_id	form	gloss	source	input	prediction	observed_from_right	observed_mora	status	exclusion
f_ojvqhk5b6rhdo	47	ac̣héemo	evil, malicious	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_q67ynpv7gvpow	722	aápo	little, slight	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_75am3jmtjhvkm	905	ašaáto	weak	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_lb76pjzmnq2pm	1929	uyáno	hungry	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_brhzdpsx6grlk	1962	hagúro	heavy	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_ochwcqbyjmkq4	3451	kino	black	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus		unmarked	unscorable	not-one-acute
f_m2twc3dmadmxi	3451	kíno	black	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_esdb7wpul7uyw	3533	kóolo	crooked	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_cgia6xwrygi52	3602	kúro	mighty; strong	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_4uexzdsgnavzg	3832	khábo	left	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_ehvlrorhsnmo4	3895	khúṭo	short	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_wnmnquvpmw44y	3941	khúro	lame	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_hh5x5cslm3ejw	4850	čúrko	sour	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_zbmx64np3na7w	4889	čúno	small	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_4n3ojcdeoy5da	5145	ǰáro	old	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_oppdc234uwqru	5244	ǰiino	alive; healthy	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus		unmarked	unscorable	not-one-acute
f_7xzrim4tncrds	5244	ǰoóno	alive; living	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_p3m6qkli4ayhk	5679	taáto	warm	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_6wl4kujjpngx2	5839	tíino	sharp, fast, active, clever	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_rlu5uzlf3my2i	5938	c̣íṭo	bitter	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_4ycjw6cdeb7d2	5983	toómo	own	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_zz3c6hhlkbqwa	6119	dac̣híno	right(-hand)	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_2alfis35dlgmm	6368	ẓígo	long	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_4hg43qu6wffve	6368	ẓigo	long	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus		unmarked	unscorable	not-one-acute
f_yvcqczxn47k64	6651	dariino	located outside, foreign	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus		unmarked	unscorable	not-one-acute
f_cvpx43xzfyvpe	6926	náno	naked	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_xl3kmfsnqx522	6983	naáwo	new	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_56lcmyw3gkudo	7266	niráno	hungry, hungry person	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_ysfgf2sowocqi	7563	níilo	blue, green	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_qvjwriuno2ijg	7563	niílo	blue	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_5svsl2qm3nptg	7621	páko	ripe, perfect, strong; firm, hard	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_zvmu3eieotcls	7638	paṣílo	woolen	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_zep57ed3ptpho	7989	puyoóno	rich	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_srd7xbbp4h3qo	8156	phičílo	beautiful, pretty	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_7xc5vdqk2ywvo	8283	puróono	old	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_klhmiporttwf6	8330	púuro	whole, all; fulfilled	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_svloyl3ng4nsa	9568	búto	whole; all	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_kk6nzod5mpbvo	10151	múto	other	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_utshnozod57fw	10278	múu~o	dead; dead person	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_bxbo6r4diopba	10299	míṣṭo	good	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_rbp53fukb3sya	10514	ǰuwáno	lice-ridden	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_vk4gbyyhcc6v4	10896	loóko	fast	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_vvrae4vr2soca	11054	léṛo	bastard; born out of wedlock	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_riom4zpctpxje	11056	líic̣o	wretched; poor	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_r3u7jvmxk7o5o	11225	báṛo	big	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_xvyjzmztgbjb2	12056	biiro	male	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus		unmarked	unscorable	not-one-acute
f_l34kzhx6brex6	12196	báato	open	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_rohkcynhsbly6	12487	šidálo	cold	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_zzfintjsdl77e	12548	šúko	dry	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_k77jcznkbn4zu	12774	šéeo	white	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved
f_zzmlzkqi52edc	12774	šéeyo	white	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_a5apbgwled6z2	13355	sáa~ro	clever, strong; clever one	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_xbjqhfbvaxdds	13519	soóno	golden	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_5xcz75q64rnfk	13548	súu~c̣o	straight, right; truth	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_jik6ftmpvansy	13924	ispáao	sweet; tasty	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved
f_icspxecheusga	13924	ispáawo	sweet; tasty	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_icrp52ucre4go	13990	halíẓo	yellow	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_6neyqix5cshlg	13990	haliẓo	yellow	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus		unmarked	unscorable	not-one-acute
f_czm6kmw3mcpyu	2613	khačeélo	stingy; miser	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_nt7yvuegn4dzo	2613	kháčo	bad	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_njytmydn2hxgc		abaáto	sluggish, lazy	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_jyfklcrrp5xck		aǰiíno	located above; following (year, day)	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_nq2snqzzpvp4u		aǰóono	foreign, stranger	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_zav4yn4r7ekh4		ariíno	inner, own	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_azd3ekpr2htve		atúulo	weak	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_g2q4wwqnhcwna		barádo	(!) pregnant	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_yksbutvuxheg4		básko	more, superabundant	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_kudamwuoo36sm		bódo	much, many	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_rk4klfqo2vrqu		bubuúlo	lukewarm	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_m22rxlfp2rxsu		búṭo	whole, all	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_os754xrsqryue		čáa~lo	open (of the hand), wide, broad	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_rad6q24xpqvhy		čáa~ṭo	mute, weak; mute person; fool	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_gh3x3otn2xny2		čimaáro	iron, made of iron	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_hjbylbhyn2wj2		c̣óko	weak, brittle	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_jganqvz5aon34		dawáno	crazy, mad	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_riswpbts4ihiu		ekaálo	only, sole	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_vz7yfu2v3ziqq		ekčhíro	one-year-old (billy goat)	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_eqvt7fvcyg7zc		galalíto	wounded	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_fihurqt7xqbya		garúuwo	goitrous, person with a goiter	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_o7mzywdyvmsli		go~yálo	from the cowshed, also as a personal name	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_nab7j676cfyfo		gúčo	free from; somehow, without reason, to no purpose	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_f67vhqjdaemms		guṭúmo	deep	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_owbsqvlvxua2y		héṭo	free	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_wonoxjz6fwlqe		karóowo	crooked	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_gyzeastg5fb3y		kóolo ka~óolo	dishonest; crooked person	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus		multiple-accents	unscorable	multiword-or-alternatives;not-one-acute
f_xevsmvbpuyey6		kusagáṭo	malicious	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
