input_class	language	all_families	eligible_families	outcome_family_counts	note
input-accent-undetermined	Sh	648	537	"{""E@-1"": 45, ""E@-2"": 39, ""F"": 3, ""F@-1"": 1, ""F@-2"": 8, ""L@-1"": 31, ""L@-2"": 23, ""LR@-1"": 5, ""R@-1"": 7, ""R@-2"": 8, ""S@-1"": 21, ""S@-2"": 43, ""marked-contour-needs-reading@-1"": 1, ""marked-contour-needs-reading@-2"": 1, ""multiple-stress"": 1, ""short-monosyllable"": 29, ""stress-marked@-1"": 45, ""stress-marked@-2"": 66, ""stress-marked@-3"": 3, ""syllable-marked@-1"": 63, ""syllable-marked@-2"": 58, ""syllable-marked@-3"": 2, ""unmarked"": 422}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
input-accent-undetermined	Phal	388	375	"{""E@-1"": 82, ""E@-2"": 95, ""L@-1"": 41, ""L@-2"": 1, ""S@-1"": 46, ""S@-2"": 56, ""multiple-accents"": 2, ""short-monosyllable"": 29, ""syllable-marked@-1"": 71, ""syllable-marked@-2"": 57, ""syllable-marked@-3"": 4, ""unmarked"": 204}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
input-accent-undetermined	Sv	122	105	"{""syllable-marked@-1"": 25, ""syllable-marked@-2"": 6, ""syllable-marked@-3"": 1, ""unmarked"": 78}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
input-accent-undetermined	Kalk	73	63	"{""0-explicit"": 1, ""H1@-1"": 2, ""H2@-1"": 11, ""Hshort@-2"": 2, ""Low"": 3, ""Low+H2@-1"": 1, ""P-high-level"": 3, ""P-high-rising"": 2, ""P-high-rising@-1"": 1, ""P-low-level"": 3, ""P-low-rising"": 2, ""P-low-rising@-1"": 2, ""multiple-H"": 1, ""stress-marked@-2"": 1, ""unmarked"": 46}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
input-accent-undetermined	Kund	43	43	"{""H-marked"": 3, ""Low"": 1, ""R@-1"": 2, ""S"": 1, ""unmarked"": 38}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
input-accent-undetermined	bro	32	27	"{""stress-marked@-1"": 4, ""stress-marked@-2"": 13, ""unmarked"": 14}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
input-accent-undetermined	Ush	54	44	"{""stress-marked@-1"": 7, ""stress-marked@-2"": 24, ""unmarked"": 16}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-barytone	Sh	73	69	"{""E@-1"": 24, ""E@-2"": 11, ""F"": 4, ""F@-2"": 3, ""L@-1"": 7, ""L@-2"": 1, ""LR@-1"": 1, ""R@-1"": 1, ""S@-1"": 1, ""S@-2"": 3, ""marked-contour-needs-reading"": 1, ""short-monosyllable"": 1, ""stress-marked@-1"": 6, ""stress-marked@-2"": 9, ""syllable-marked@-1"": 4, ""syllable-marked@-2"": 3, ""unmarked"": 61}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-barytone	Phal	47	41	"{""E@-1"": 24, ""E@-2"": 10, ""L@-1"": 5, ""S@-1"": 4, ""short-monosyllable"": 2, ""syllable-marked@-1"": 2, ""syllable-marked@-2"": 4, ""unmarked"": 26}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-barytone	Sv	26	22	"{""syllable-marked@-1"": 1, ""unmarked"": 21}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
