ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status	Research_Group	DEDR_ID	Accepted_Root_ID	Immediate_Parent_ID	Immediate_Kind	Borrowed_In_Path	Clade	Is_Dravidian	Candidate_Flags	Database_Language_ID	Research_Correction	Record_Origin	Linked_Database_IDs	Annotation_Entry_ID	Annotation_Family_ID	Individually_Cited_Evidence	Observed_Token_Outcome	Language_Review_Status
d63	PDr	*aṭ-a-nk-	; to be compressed, hidden; to control, hide							dedr[entry 63, DED(S, N) 56(a)];merriam2026dravidiandb[record 5959, DEDR 63];krishnamurti			entry	d63	d63	d63			0	Old Dravidian	1	short-vowel-apical	PDr		database	d63	d63	d63	0	not-individually-adjudicated	not-reviewed
f_2gpkhqaw7rsag	PDr	*aṭ-a-nkk	to control, hide			*aṭ-a-nkk-	0:	PSD		krishnamurti				d63	d63	d63	d63	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_2gpkhqaw7rsag	d63	d63	0	not-individually-adjudicated	not-reviewed
f_2lop65gm7nwpw	Kui	āṛpa (āṛt-)	to hide , conceal			āṛpa (āṛt-)	0:		tr	dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1	long-vowel-apical-control	Kui		database	f_2lop65gm7nwpw	d63	d63	1	R	M
f_3a5ap5byyhe7w	Tulu	aḍēyuni	to be concealed, hide			aḍēyuni	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Tulu		database	f_3a5ap5byyhe7w	d63	d63	0	not-individually-adjudicated	A
f_3ffda2nan4gsa	Kota	aṛk- (aṛky-)	to cause to stop			aṛk- (aṛky-)	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_3ffda2nan4gsa	d63	d63	1	R	R
f_3nb2k363wcmzw	Kota	aṛkm	“act of making submit; burial” II: 16			aṛkm				wolf-kota[p. 3, entry 15]	Wolf's direct reference to DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_3nb2k363wcmzw	d63	d63	0	not-individually-adjudicated	R
f_47xwn7hiff6do	Toda	oḍkm ( oḍkt-)	submission, burial			oḍkm ( oḍkt-)	0:		obl	dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_47xwn7hiff6do	d63	d63	0	not-individually-adjudicated	R
f_4b2n5ptvxwd5w	Telugu	dā̃cu	to hide, conceal			dā̃cu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_4b2n5ptvxwd5w	d63	d63	1	D	M
f_4mqek456c3bew	Toda	oḍkm	submission, burial (obl. oḍkt-)			oḍkm			noun	bhaskararao-toda2025[p. 146, entry 2];emeneau-toda1984[p. 23, 71]	Bhaskararao and Kobayashi cite DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_4mqek456c3bew	d63	d63	0	not-individually-adjudicated	R
f_4tqutz2cwl7ww	Kannada	tāguḍi	an ambush, lurking or hiding place			tāguḍi	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1		Kannada		database	f_4tqutz2cwl7ww	d63	d63	1	A	A
f_4vqdnztpjafzg	Malayalam	aṭaŋŋuka	to be pressed down, enclosed, contained, submit, yield, be allayed, calmed			aṭaṅṅuka	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_4vqdnztpjafzg	d63	d63	1	R	R
f_53hrdrnfdlmcs	Toda	oṛky-	to subdue, pile; to give sleeping accommodation in a crowded place			oṛky-			verb tr variant	bhaskararao-toda2025[p. 149, entry 16];emeneau-toda1984[p. 28];bhaskararao-toda-notes[p. 101]	Printed S2 or alternate stem of oṛk-			d63	d63	d63	f_lyswcbvpvwqai	variant	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_53hrdrnfdlmcs	d63	d63	0	not-individually-adjudicated	R
f_54sjr57ks4fa6	Kolami	ḍāp- (ḍāpt-)	to hide			ḍāp- (ḍāpt-)	0:		tr	dedr				d63	d63	d63	d63	reflex	0	C. Dravidian	1		Kolami		database	f_54sjr57ks4fa6	d63	d63	1	B	B
f_567msy7ksjr5i	Badaga	adakicu	to control, make to control (CAUS of adaku			adakicu			verb tr uncertain alternate	hockings-pilotraichoor1992[p. 12, col. 1]	Hockings and Pilot-Raichoor cite DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	nonapical-control	Badaga		database	f_567msy7ksjr5i	d63	d63	0	not-individually-adjudicated	R
f_62culillyu73y	Kota	aṛyng-	to calm down, submit (after a struggle)			aṛyng-			variant	wolf-kota[p. 3, entry 18]	Variant or conjugational stem of aṛng-			d63	d63	d63	f_j72jgi37gnp26	variant	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_62culillyu73y	d63	d63	0	not-individually-adjudicated	R
f_66vm44y7urzsy	Naikri	ḍʰāŋ	to hide , be hidden			ḍhāŋ-	0:		intr	dedr				d63	d63	d63	d63	reflex	0	C. Dravidian	1		Naikri		database	f_66vm44y7urzsy	d63	d63	1	B	B
f_6gw7lfnm27ew6	Telugu	dā̃pana	hiding, concealment			dā̃pana	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_6gw7lfnm27ew6	d63	d63	0	not-individually-adjudicated	M
f_6rdekkcsrmxj4	Telugu	ḍāgu	to lie hidden			ḍāgu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_6rdekkcsrmxj4	d63	d63	1	D	M
f_7dpiziz3womlk	Telugu	aḍãgu	to yield, submit, be humbled			aḍãgu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster	Telugu		database	f_7dpiziz3womlk	d63	d63	1	R	M
f_7fzyfj4w65dr6	Telugu	dā̃paramu	stealing			dā̃paramu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_7fzyfj4w65dr6	d63	d63	0	not-individually-adjudicated	M
f_7gcqandki3nsw	Kannada	aḍaku	to press, press into narrower compass, pack, subdue, control			aḍaku	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_7gcqandki3nsw	d63	d63	1	R	A
f_7j7ltl7utyfio	Naikri	ḍʰāŋgip	to cover, hide			ḍhāŋgip-	0:		caus	dedr				d63	d63	d63	d63	reflex	0	C. Dravidian	1		Naikri		database	f_7j7ltl7utyfio	d63	d63	0	not-individually-adjudicated	B
f_7o66ax6q6lxo6	PDr	*aḍái	to submit; to hide; to yield, submit, be humbled; to hide; to lie in wait for; to lie hidden, hide oneself; to knead; to press			aḍái				merriam2026dravidiandb[record 66, DEDR 63];starostin2006dravidian	Upstream reconstruction attribution: Starostin, 2006–2013.			d63	d63	d63	d63	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_7o66ax6q6lxo6	d63	d63	0	not-individually-adjudicated	not-reviewed
f_ba2xhgycj3vys	Telugu	aḍacu	to suppress, humble, subject			aḍacu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1	short-vowel-apical	Telugu		database	f_ba2xhgycj3vys	d63	d63	1	R	M
f_bambfikmg7hwe	Konda	ḍāp	to hide, save (money)			ḍāp-	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Konda		database	f_bambfikmg7hwe	d63	d63	1	D	D
f_bcdhh7xhrrbuq	Kolami	ḍāŋgip- (ḍāŋgipt-)	to hide			ḍāŋgip- (ḍāŋgipt-)	0:		tr	dedr				d63	d63	d63	d63	reflex	0	C. Dravidian	1		Kolami		database	f_bcdhh7xhrrbuq	d63	d63	0	not-individually-adjudicated	B
f_bpzbaxoyirfqu	Badaga	adaku	1. to control, verify, check, put in order; 2. to press, humble, subdue (Bühler ms. 75)			adaku			verb tr uncertain alternate	hockings-pilotraichoor1992[p. 12, col. 1]	Hockings and Pilot-Raichoor cite DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	nonapical-control	Badaga		database	f_bpzbaxoyirfqu	d63	d63	1	R	R
f_bwrhcqjpo67r2	PDr	**aṭVkkV				**aṭVkkV-	0:			pfeiffer2018				d63	d63	d63	d63	variant	0	Old Dravidian	1	short-vowel-apical;postapical-cluster	PDr		database	f_bwrhcqjpo67r2	d63	d63	0	not-individually-adjudicated	not-reviewed
f_bzfbx5dsqhuq2	Malto	aṛge	to press down, close an opening by pressing a heavy object against			aṛge	0:			dedr				d63	d63	d63	d63	reflex	0	N. Dravidian	1	short-vowel-apical;postapical-cluster	Malto		database	f_bzfbx5dsqhuq2	d63	d63	1	R	R
f_c6s3bh7smuxme	Kannada	aḍagu	to hide, be concealed, disappear, cease, be quenched, be appeased, be humbled, crouch, be contained in			aḍagu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_c6s3bh7smuxme	d63	d63	1	R	A
f_ccljx3athxqva	Telugu	ḍācu	to hide, conceal			ḍācu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_ccljx3athxqva	d63	d63	1	D	M
f_cipw7btkvxtua	Badaga	adiku	1. to control, verify, check, put in order; 2. to press, humble, subdue (Bühler ms. 75)			adiku			verb tr uncertain alternate	hockings-pilotraichoor1992[p. 12, col. 1]	Printed alternate of adaku			d63	d63	d63	f_bpzbaxoyirfqu	variant	0	S. Dravidian I	1	nonapical-control	Badaga		database	f_cipw7btkvxtua	d63	d63	0	not-individually-adjudicated	R
f_cnf7aaddgtdng	Kannada	aḍaka	pressing into narrow compass, contracting, shrinking, hiding oneself, hiding place, being comprehended or contained in, abridgement			aḍaka	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_cnf7aaddgtdng	d63	d63	0	not-individually-adjudicated	A
f_d6wrgjc6wub22	Tamil	aṭakkam	submission, patience, repose, etc			aṭakkam	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_d6wrgjc6wub22	d63	d63	0	not-individually-adjudicated	R
f_da674egcpk4vc	Toda	oḍg-	(2) to be quiet; to be obedient, listen to others; to adjust oneself in a crowded place (as in a bus or sleeping place)			oḍg-			verb intr	bhaskararao-toda2025[p. 145, entry 25];bhaskararao-toda-notes[p. 100]	Bhaskararao and Kobayashi cite DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_da674egcpk4vc	d63	d63	0	not-individually-adjudicated	R
