Form_ID	Candidate_Entry_ID	Assessment	Explanation	Confidence	Follow_Up	Counting_Policy	Language_ID	Source_Form	Source_Gloss	Source	Dialect_and_Tags	Current_Research_Group	Already_In_Reviewed_Evidence
f_2sb4plhwfmflk	d4449	strong additional cognate candidate	Kurux pēn louse in Bhokraha and Siddhapur closely matches already-linked Kurux pē̃n and cross-family *pēn. Nasalization variation is not metathesis. Two wordlist records corroborate one family.	high lexical comparison	Check source nasalization conventions and dialect history; attach as evidence only after editorial review.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Kurux	pēn	louse	shackelford-swenson-chaudhary-maggard2022kurux[p. 48]	dialect:Kurux:kurux_bhokraha:Bhokraha	f_2sb4plhwfmflk	0
f_e6xqnxx4weh7k	d4449	strong additional cognate candidate	Kurux pēn louse in Bhokraha and Siddhapur closely matches already-linked Kurux pē̃n and cross-family *pēn. Nasalization variation is not metathesis. Two wordlist records corroborate one family.	high lexical comparison	Check source nasalization conventions and dialect history; attach as evidence only after editorial review.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Kurux	pēn	louse	shackelford-swenson-chaudhary-maggard2022kurux[p. 48]	dialect:Kurux:kurux_siddhapur:Siddhapur	f_e6xqnxx4weh7k	0
f_52itbqspbtivm	d4449	plausible additional cognate candidate	Kannada Kurumba henu louse is compatible with southern *pēn through initial p>h and source quantity conventions. Language/lect label and absence of macron must be preserved.	medium-high	Check whether source omits quantity and confirm the Kannada Kurumba lect identity.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Kannada	henu	louse, head	blairetal2012kurumba[Appendix C, printed p. 284, item 152, list NSK, Chitradurga Kurubas]	dialect:Kannada:sil-kurumba-1985-chitradurga:NSK%2C%20Chitradurga%20Kurubas	f_52itbqspbtivm	0
f_gsga3uyc7tchg	d4449	uncertain candidate	Belavarthy Kannada Kurumba śēnū louse agrees in vowel/nasal and meaning but initial ś is not the expected p/h reflex. Transcription, borrowing and distinct ancestry compete.	low	Inspect original transcription and elicitation list; do not invent p>ś to make a cognate.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Kannada	śēnū	louse, head	blairetal2012kurumba[Appendix C, printed p. 240, item 152, list SNSK, Belavarthy Kurumba]	dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba	f_gsga3uyc7tchg	0
f_lspz7e3hrzwgg	d845;d919	competing morphological analyses	Brahui elode/elozde day after tomorrow could involve the independently attested ēlō other plus a day element, rather than the southern elli tomorrow root. The source pair does not uniquely choose cognacy or metathesis.	medium for local comparison; low for deeper root	Compare Brahui dē/day compounds and original vowels before choosing845 versus919.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	elode	adv. day after tomorrow; day after	ali-kobayashi2024[p. 699]	adv	f_lspz7e3hrzwgg	0
f_s3tkle2p6xd62	d845;d919	competing morphological analyses	Brahui elode/elozde day after tomorrow could involve the independently attested ēlō other plus a day element, rather than the southern elli tomorrow root. The source pair does not uniquely choose cognacy or metathesis.	medium for local comparison; low for deeper root	Compare Brahui dē/day compounds and original vowels before choosing845 versus919.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	elozde	adv. day after tomorrow	ali-kobayashi2024[p. 699]	adv	f_s3tkle2p6xd62	0
f_fjreikzlk3avu		negative control for proposed tomorrow comparison	Brahui pagga tomorrow and palme day after tomorrow are distinct formations. Shared temporal meaning alone does not justify attaching them to elli/ēlō or deriving a liquid shift.	high for exclusion from unsupported elli derivation	A separate inherited or contact etymology requires a broader temporal vocabulary analysis.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	pagga	adv. tomorrow	ali-kobayashi2024[p. 717]	adv	f_fjreikzlk3avu	0
f_ipbqa6jmx4wvw		negative control for proposed tomorrow comparison	Brahui pagga tomorrow and palme day after tomorrow are distinct formations. Shared temporal meaning alone does not justify attaching them to elli/ēlō or deriving a liquid shift.	high for exclusion from unsupported elli derivation	A separate inherited or contact etymology requires a broader temporal vocabulary analysis.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	palme	adv. day after tomorrow	ali-kobayashi2024[p. 717]	adv	f_ipbqa6jmx4wvw	0
f_dmmdwidbkiseu	d4411	plausible swell/grow connection	Brahui pir-ing/piris/piriff-ing swell form a local derivational family compatible with per grow. Initial p-i-r retains order; causative/derived forms are not separate etyma.	medium	Check Brahui source semantics and regular e/i correspondence; distinguish native derivation from Iranian borrowing.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	pir-ing	vi. to swell	ali-kobayashi2024[p. 719]	verb intr	f_dmmdwidbkiseu	0
f_v55bks6xvr6b4	d4411	plausible swell/grow connection	Brahui pir-ing/piris/piriff-ing swell form a local derivational family compatible with per grow. Initial p-i-r retains order; causative/derived forms are not separate etyma.	medium	Check Brahui source semantics and regular e/i correspondence; distinguish native derivation from Iranian borrowing.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	piris	swell.PST.3SG (pir-ing)	ali-kobayashi2024[p. 719]	verb pret 3sg	f_v55bks6xvr6b4	0
f_lch56fryqr57y	d4411	plausible swell/grow connection	Brahui pir-ing/piris/piriff-ing swell form a local derivational family compatible with per grow. Initial p-i-r retains order; causative/derived forms are not separate etyma.	medium	Check Brahui source semantics and regular e/i correspondence; distinguish native derivation from Iranian borrowing.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	piriff-ing	vt. to make swell; hurt feeling	ali-kobayashi2024[p. 719]	verb tr	f_lch56fryqr57y	0
f_fy2qpmytfrgvm	d4176	candidate distinct from twist4177	Brahui pirɣ-ing break must be compared semantically with break4176, not automatically with homophonous pirɣẖing twist4177. Root-final velar and aspiration conventions need source comparison.	medium-low	Inspect both Brahui dictionary entries and determine whether break/twist is established polysemy or separate ancestry.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	pirɣ-ing	vt. to break	ali-kobayashi2024[p. 719]	verb tr	f_fy2qpmytfrgvm	0
f_nptqcsdiogtwk	d3195	reject automatic link from shape alone	Brahui dranj-ing hang resembles dranzing sift but the meaning and consonant distinction are material. Sift’s independently full tāring does not establish the earlier order of hang.	high for withholding unsupported link	Find a semantic bridge and full-form cognate of hang before proposing common origin.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Brahui	dranj-ing	vt. to hang	ali-kobayashi2024[p. 698]	verb tr	f_nptqcsdiogtwk	0
f_rgr7c5ipqwmgm	d4885	strong additional cognate candidate	Unlinked Gondi mīna fish matches linked mīn and other long-nasal fish reflexes; final vowel adaptation may involve source or contact variation, not nasal metathesis.	high lexical comparison	Check dialect/source and possible Indo-Aryan mīna contact; no extra root vote.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Gondi	mīna	fish	rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 2725, site gka, concept fish]; beine1994gondi[site gka, item fish]	dialect:Gondi:beine_gka:Nagpur%20%28gka%29	f_rgr7c5ipqwmgm	0
f_3olcvsfaco7cq	d4876	plausible star cognate candidate	Badaga/Kannada Kurumba mīnu star fits the independently long star formation of shine4876. Do not silently assign star to fish4885 merely from homophony.	medium-high	Check source gloss and distinguish star/fish polysemy; possible common origin enters sensitivity only.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Badaga	mīnu	Star	grierson-lsi1928[p. 96-97, form BADAGA-48_star-1, concept 48_star]	dialect:Badaga:LSI-BADAGA:Bad%CC%A3aga%20%28LSI%201928%29	f_3olcvsfaco7cq	0
f_soi7nqnjikpxo	d4876	plausible star cognate candidate	Badaga/Kannada Kurumba mīnu star fits the independently long star formation of shine4876. Do not silently assign star to fish4885 merely from homophony.	medium-high	Check source gloss and distinguish star/fish polysemy; possible common origin enters sensitivity only.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Kannada	mīnu	star	blairetal2012kurumba[Appendix C, printed p. 234, item 22, list SNSK, Belavarthy Kurumba]	dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba	f_soi7nqnjikpxo	0
f_npt7dammyw4cq	d4885	strong additional cognate candidate	Kannada Kurumba mīnu fish matches the long-nasal fish family. Two list attestations are corroboration, not independent roots.	high lexical comparison	Preserve local lect/source labels and verify whether forms are inherited or borrowed from neighboring Kannada.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Kannada	mīnu	fish	blairetal2012kurumba[Appendix C, printed p. 242, item 210, list SNSK, Pudukkottai Kurumba]	dialect:Kannada:sil-kurumba-1976-pudukkottai:SNSK%2C%20Pudukkottai%20Kurumba	f_npt7dammyw4cq	0
f_sbh7xzcyudnke	d4885	strong additional cognate candidate	Kannada Kurumba mīnu fish matches the long-nasal fish family. Two list attestations are corroboration, not independent roots.	high lexical comparison	Preserve local lect/source labels and verify whether forms are inherited or borrowed from neighboring Kannada.	No additional independent root; excluded from primary language numerators pending accepted cognacy/source review.	Kannada	mīnu	fish	blairetal2012kurumba[Appendix C, printed p. 242, item 210, list SNSK, Belavarthy Kurumba]	dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba	f_sbh7xzcyudnke	0
