Form_ID	Entry_ID	Issue	Disposition	Evidence
f_cu4amtk2eqzri	d1818	Long porridge reconstruction attached to hollow/pit	Exclude from pit/tube input classification; actual short and long formations require their own comparisons	DEDR 1818 pit/tube reflexes; unrelated K03 porridge gloss
f_6fgvgegslhanw	d2018	Badaga plant kliūgidu linked to friend/kindred despite distinct Kannada kriyā comparison	Do not count plant cluster as inherited friend-root displacement; classify linkage/cognacy unresolved	Badaga record gloss explicitly plant with Kannada kriyā + Badaga gidu, unlike DEDR 2018
f_bciwzeefupo34;f_eul3jbf66u7yu;f_fy5meitvwzth4	d4866	English gloss words parsed as Tamil forms; gulp appended to muẓuŋku	Exclude consume/devour and malformed appended-gloss record; retain independently parsed miẓuŋku and original source	DEDR 4866 lexical versus English-gloss distinction
f_bizfzqn6oj7je	d698	Seventh-century date duplicated from preceding Old Telugu oḷana onto lōna	Use undated source-only lōna and preserve raw record; ḷōna is explicitly ninth–tenth century	DEDR 698 p.68 directly checked; oḷana, not lōna, bears seventh-century parenthesis
d710;f_yl4fmzonetbjm	d710	Shark reconstruction linked to happen/be fit	Exclude *coṯ-ac from root reconstruction and class assignment	DEDR 710 p.70 directly checked: uṟu happen and related formations
f_fv4ejpqhhooyg;f_u4qjadj52fldi	d672	Kuruba pestle alke and heading fragment parsed as Malayalam	Exclude from Malayalam comparison; Kuruba language identifier unresolved	DEDR 672 source formatting: Kurub. (LSB 1.11) alke
f_d6ykhtysg47w6;f_emynt4gsbupp6	d695	Kui and Konda headings embedded in forms assigned Gondi	Use source-supplemented Kui ḍupka and Konda ūṛs; original records retained	DEDR 695 p.68 directly checked; explicit headings
f_g3wyicp32jhyy;f_s2dq2rcs75kce	d697	Editorial reconstruction/derivation fragment parsed as Naikri lexical forms	Only anḍ is the lexical Naikri root; isolated ḍ and *uṇṭu are not extra attestations	DEDR 697 p.68 explanatory prose after Kolami/Naikri existential verbs
f_7ckhe7mh2bva6;f_4qy6lhalkznu4;f_5cyt6cflh7wcy;f_hwlk36u6at5v6	d588	Keikadi hot word and bibliographic fragments parsed as Tamil	Exclude from inherited Tamil evidence; udku is explicitly a Telugu loan in Keikadi, language ID unresolved	DEDR 588 source note quotes Hislop Keikadi, Part II p.19
f_ffsdxfom7jcou	d560	Latin Careya arborea parsed as Malayalam lexeme	Exclude as linguistic reflex	DEDR 560 p.55 directly checked
f_26xgxodqegvw6	d592	Latin Varanus bengalensis parsed as Tamil lexeme	Exclude as linguistic reflex; zoological identification preserved in source gloss	DEDR 592 lexical and species-name formatting
d516;f_wcv5bqdv5qvyo	d516	Elephant *yĀn-ay reconstruction linked to descend/bow	Exclude elephant head from reconstruction and input class	DEDR 516 reflexes and source note concern descend; K03 elephant gloss is unrelated
f_kjlaopfa4uvp6	d513	Cardamom *ēl-V- reconstruction linked to young/tender	Exclude cardamom reconstruction from young-root input	DEDR 513 young/tender comparisons; different meaning and quantity
f_iubhckfx6topy	d504	Tamil iẓu editorial comparison parsed as a Toda lexeme	Exclude as Toda attestation; genuine Toda īṣf has an explicit alternative cognacy	Record gloss introduces Tamil semantic comparison; Toda 2025 lexical record preserves alternative d542
f_u7ruqk5tqpl4w;f_yc2tp47frrclo	d533	Prawn *eṯ-V-y reconstructions attached to fly entry	Exclude from fly input; compare actual prawn d517 separately	Original DEDR 533 p.53 directly read: fly/bee only
f_tf2s2eoodjkrc	d533	Latin Bombinatrix glabra parsed as Telugu word	Exclude botanical/zoological gloss from lexical evidence	Original DEDR 533 p.53 directly read
d572;f_kp7gdn4a62ysy	d572	Pestle *ula-kk-V reconstruction linked to ring entry	Exclude pestle head; reconstruct regional uŋgar ring from its own reflexes	DEDR 572 ring reflexes; unrelated reconstruction gloss
d494;f_4xfrxhjo7nlfe;f_hjypgimb7svrw;f_jas6dsum73sxq;f_moa2z4kzcizos;f_p76mfufes4dx6;f_sbm4ovmwfoplq;f_wm66slpexmrwg	d494	Descend-root *iẓi paradigms attached to house *il	Exclude these reconstructions from house input; review descent separately in d502	DEDR 494 is house; K03 and DEDR 502 distinguish iẓi descend from il house
f_kxmv6dundkbmu	d477	Cassia botanical genus parsed as Telugu lexeme	Exclude genus gloss; rēla-ceṭṭu and historical ṛēla are the actual words	DEDR 477 p.46 directly inspected
f_qa5sgdixq6bwk	d443	Konda heading prefixed to ṛey and whole string assigned Kolami	Use source-only Konda ṛey observation, retain malformed database record	DEDR 443 p.43 explicitly switches from Kol. (Kin.) iṛ- to Koṇḍa ṛey, (BB also) ṛī-
d306;f_h7k225qhqedsc	d306	Unrelated jackal reconstruction attached to fear etymon	Exclude nari- reconstruction from input inference; retain records and choose independent fear-root comparison	DEDR 306 p.29 has aḷukku fear; neither nari nor jackal occurs in its source entry
f_ewhqm7bgvncvc;f_d2ml5hgtgcgcg	d242	Botanical Latin parsed as lexical forms	Exclude as lexical evidence; the Tulu gloss additionally contains an unparsed real variant alataṇḍɛ	Original DEDR p.23 distinguishes species names from pulse lexemes
f_qxbh5uhmxmj5u;f_usbuypsdcge2k	d256	Botanical name and explicitly contrasted pulli parsed as root-family reflexes	Neither is an independent reflex of alli waterlily	Original DEDR p.24 gives Nymphaea lotus as Latin gloss and pulli in an as-opposed-to clause
