biori	ashret	gloss	biori_family	ashret_family	biori_quality	ashret_quality	biori_quantity	ashret_quantity	biori_accent	biori_accent_position	ashret_accent	ashret_accent_position	record_ids	biori_description	ashret_description	tested_nucleus	biori_test_vowel	ashret_test_vowel	tested_syllable_domain	expected_raised_quality	input_class	predicted_quality	status	special_analysis	analysis
angáar	angóor	fire	125	125	aa	ao	SL	SL	E	2	E	2	"[""f_erczhnnmreb6u"", ""f_fgved6gdr3irg""]"	Inflection: a-decl (Obl): -a; Variant restriction: Biori	Inflection: a-decl (Obl): -a	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
áače	áača	to enter; come inside; move into	227	227	ae	aa	LS	LS	E	1	E	1	"[""f_rk6bs57usnuzk"", ""f_xz7qv5qepoavu""]"	Inflection: T (Prs): ačáanu, (Pfv): ačíitu, (Cv): ačí, (Imp): áač; Morphemic form: ač-, ač-íit-; Variant restriction: Biori	Inflection: T (Prs): ačáanu, (Pfv): ačíitu, (Cv): ačí, (Imp): áač; Morphemic form: ač-, ač-íit-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
páale	páala	to hide	447	447	ae	aa	LS	LS	E	1	E	1	"[""f_5ky7zpjg4zdhg"", ""f_pwtbfhxa3jbza""]"	Inflection: T (Prs): paláanu, (Pfv): palíitu, (Cv): palí, (Imp): páal; Morphemic form: pal-, pal-íit-; Variant restriction: Biori	Inflection: T (Prs): paláanu, (Pfv): palíitu, (Cv): palí, (Imp): páal; Morphemic form: pal-, pal-íit-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
ooḍháal	ooḍhóol	flood	773	773	oa	oo	LL	LL	E	2	E	2	"[""f_sapfnjfhlr6ou"", ""f_u5kifbxvu27ek""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
aṣṭáaš	aṣṭóoš	eighteen	946	946	aa	ao	SL	SL	E	2	E	2	"[""f_o6sre3bcleh5u"", ""f_cc4kwqzog2vbs""]"	Morphemic form: aṣṭáaš; Variant restriction: Biori	Morphemic form: aṣṭáaš	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
asée	asíi	our (1pl gen)	986	986	ae	ai	SL	SL	E	2	E	2	"[""f_ljoj3qd2ngi5s"", ""f_bpqozzkkmrudg""]"	Variant restriction: Biori		2	e	i	other	i	other-syllable-domain		outside-closed-syllable-test	genitive-ending-raising	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. Final early -ée corresponds to -íi in a genitive form. Five pronominal forms instantiate one shared grammatical ending; do not count them as five independent sound changes.
utráape	utráapa	to run	1782	1782	uae	uaa	SLS	SLS	E	2	E	2	"[""f_neuyeztcsvqv6"", ""f_2pjxkswo3r4hs""]"	Inflection: L:cons (Prs): utrapáanu, (Pfv): utrapílu, (Cv): utrapí, (Imp): utráap; Morphemic form: utráp-; Variant restriction: Biori	Inflection: L:cons (Prs): utrapáanu, (Pfv): utrapílu, (Cv): utrapí, (Imp): utráap; Morphemic form: utráp-	2	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
akáaš	akóoš	eleven	2485	2485	aa	ao	SL	SL	E	2	E	2	"[""f_564q6wqzzap4c"", ""f_ry3n7zva57zx2""]"	Morphemic form: akáaš; Variant restriction: Biori	Morphemic form: akáaš	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
káambe	káamba	to shiver	2767	2767	ae	aa	LS	LS	E	1	E	1	"[""f_4c6n2ugvz6isq"", ""f_hbmjjzqlw2ss6""]"	Inflection: L:cons (Prs): kambáanu, (Pfv): kambílu, (Cv): kambí, (Imp): káamb; Morphemic form: kámb-; Variant restriction: Biori	Inflection: L:cons (Prs): kambáanu, (Pfv): kambílu, (Cv): kambí, (Imp): káamb; Morphemic form: kámb-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
káak	kóok	crow	2993	2993	a	o	L	L	E	1	E	1	"[""f_cysfblokv5aly"", ""f_vqyhefphhardq""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: káak; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: káak	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
