Row	Language_ID	Entry_ID	Form	Gloss	Note	Source	Audit
5	PDr	d55	*añc-	to fear	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
6	PDr	d55	*añc-al	fear	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
7	PDr	d55	*añc-c(-am)	fear	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
8	PDr	d63	*aṭ-a-nk-	to be compressed, hidden	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
9	PDr	d63	*aṭ-a-nkk-	to control, hide	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
12	PDr	d72	*aṭ-V	foot, bottom, base	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
13	PDr	d72	*aṭ-Vk	foot, bottom, base	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
14	PDr	d72	*aṭ-Vk	foot, bottom, base	CD	krishnamurti	historical-level-or-distribution-note: requires source review
21	PDr	d1	*a-tu	3neu sg	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
28	PDr	d1	*a-nṯu	that day, then	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
33	PDr	d174	*amp-ali	porridge	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
36	PDr	d1	*a-mpV	there	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
42	PDr	d205	*ar-Vṇṭṭi	banana, plantain	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
43	PDr	d236	*al-	to be not	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
48	PDr	d1	*av-aḷ	3f sg	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
73	PDr	d359	*ānt-ay	owl	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
77	PDr	d368	*ār-āy	to investigate	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
78	PDr	d368	*ār-āy-cci	research	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
87	PDr	d480	*ir-	to be	SDI; copular verb	krishnamurti	historical-level-or-distribution-note: requires source review
88	PDr	d480	*ir-u-vu	a place to be	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
90	PDr	d546	*ir-Vl	liver	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
91	PDr	d546	*ir-Vv	liver	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
110	PDr	d549	*īẓam	toddy	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
111	PDr	d549	*īẓa-vanṯ-	toddy-tapper	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
112	PDr	d561	*ukir	finger nail, toe-nail	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
113	PDr	d561	*gōr	finger nail, toe-nail	SDII, CD, Br	krishnamurti	historical-level-or-distribution-note: requires source review
114	PDr	d561	*kōr	finger nail, toe-nail	SDII, CD, Br	krishnamurti	historical-level-or-distribution-note: requires source review
115	PDr	d561	*or-kk-	finger nail, toe-nail	ND	krishnamurti	historical-level-or-distribution-note: requires source review
129	PDr	d692	*uẓ-uv-	tiger	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
144	PDr	d865	*eṯ-V-	red	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
146	PDr	d780	*enk-	to remain, be left over	palatalisation in SD I + Konda as *eñc-	krishnamurti	historical-level-or-distribution-note: requires source review
151	PDr	d497	*el-ay	leaf	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
179	PDr	d990	*okk-	one	CD + Tel.	krishnamurti	historical-level-or-distribution-note: requires source review
180	PDr	d946	*oṭ-ay	to break	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
181	PDr	d585	*oṭ-al	body	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
