group	family	note
0		Five unglossed citations: sarsari, ṣaaṭ, tase, torati, šahedi. No semantic support for a historical assignment; especially do not identify ṣaaṭ with strength by shape alone.
1	2462	jak one corresponds to regional yak/ak/ek; initial y/j development and numeral category support the identification.
2	2485	jakɑːʃ eleven is the one-plus-ten compound, not an independently inherited root accent.
3	13139	Numeral saat seven, already linked; the citation does not mark its mora.
4		bat after is plausibly regional baad/bad, but final consonant and source context need checking; no inherited assignment.
5		pa/patuno temporal after are a grammatical alternation; compare back/postposition pat-, but the precise formation is not established.
6		sami all could be a regional sam- totality word; do not assign an etymon on meaning alone.
7		aw and is a regional contact conjunction, likely Pashto; no inherited accent test.
8	8201	piloo ant and plural pilee share the pil- stem; contracted formation relative to pipīla/pilīla.
9	8201	pilee is the plural of piloo ant; final ee belongs to the nominal paradigm.
10		mana apple has no secure match among the supplied Shinaic apple families; leave etymology open.
11		taqriban approximately is the Arabic-origin regional adverb, a contact item.
12		terčapera around is a regional adverb/compound; superficial resemblance to turn roots is insufficient.
13	8100	pare away is a case/adverbial formation of the across/farther-side para family; suffix and direction must be kept separate from noun accent.
14		azirgala is a place-name citation; no inherited lexical accent assignment.
15		laganema/laganama baking board appears to contain regional lagan vessel plus another element, but formation and borrowing route remain unresolved.
16		čambaan-o bark is a verbal citation here; do not compare it to bark of a tree merely because the English gloss matches.
17		yang battle is regional jang, an Iranian contact item.
18		hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.
19	2445	inʈ͡ʂ bear matches the inherited r̥kṣa set; inčeṛi forms add a feminine/derivational ending, so they do not directly test the bare masculine accent.
20	6250	daṛi beard matches the regional dāṁṣṭra family; feminine ending and reduced cluster are independent segmental evidence.
21	12540	šubaaṇ-u beautiful matches older Sauji šobaṇo and the śubhvan family; the printed hyphen separates gender morphology.
22	9552	bilo became belongs to the bil- perfective, distinguished from baan- imperfective.
23		ṣači because of is a postposition; no secure lexical reconstruction from these comparanda.
24		Mixed baan- imperfective and bil- perfective become are assigned separately by stem below.
25	9416	baan-al-ee become/go has both verbal extension and tense/agreement morphology; root-family link only, not a direct reflex of the Sanskrit finite citation.
26	9416	baanu becomes is the imperfective becoming stem.
27	7732	patkeṇo/patkeṇi behind contain back pat- plus extended adjectival/postpositional morphology; suffix accent is unknown.
28	9804	menǰi between matches madhya and the regional middle postposition; the nasal is retained as an observed segmental difference.
29	4424	gaan-/gan- big agrees with older Sauji and Palula ghāṇu/ghan-; compare gender and number endings separately.
30	3451	kašaṇ-i black matches the kr̥ṣṇa family through the known Sauji expanded consonant sequence and feminine ending.
31	10539	raːt blood belongs to rakta, not the homophonous night set.
32	13952	haːɖ/haːɖu bone belong together; the final u and bare stem are distinct citation shapes.
33		kitaab book is the Arabic-origin contact noun.
34		kitaaba books is the local plural of the contact noun kitaab; useful morphology, not inherited OIA accent.
35		čeduaṇ-ee borrower has agentive morphology, but the verbal base is not established here.
