jambu_id	headword	gloss	turner	morphemic_form	literal_modern_short_a_alternation	aspirated_onset	pretonic_syllable	prediction_if_late_lengthening	observed	matches_prediction	source_marks_loan	etymology	inflection
f_kk2b3ltdy3vs4	aabaád	dwelling			False	False	True	late	late	True	True	Origin: Urdu (Persian): aabaad	Inflection: i-decl (Obl, pl): -í
f_sl3evmk4wf46u	aám	ordinary, common			False	False	False	early	late	False	True	Origin: Urdu (Arabic): aam	
f_7zdpfqqkdtv2i	aaraám	rest; ease			False	False	True	late	late	True	True	Origin: Urdu (Persian): aaraam	Inflection: i-decl (Obl): aareemí
f_hirgir26qu25m	aarzaán	cheap			False	False	True	late	late	True	True	Origin: Pashto (Persian): ar-zaan	
f_i2nvumifisr56	aaṣaáṛ	apricot	1474	aaṣáṛ	True	False	True	late	late	True	False	āṣāḍhīya- '*pertaining to the month Āṣāḍha' (T: 1474)	Inflection: i-decl (Obl, pl): aaṣaṛí; Morphemic form: aaṣáṛ
f_j7erdy53crjvo	aawaáz	sound			False	False	True	late	late	True	True	Origin: Urdu (Persian): aawaaz	Inflection: i-decl (Obl, pl): aaweezí
f_xx2z6xtslqags	aayaát	verse (in the Qur'an)			False	False	True	late	late	True	True	Origin: Urdu (Persian/Arabic): aayat	Inflection: i-decl (Obl, pl): aayeetí
f_nz5i6tqqmgokc	arabistaán	Arabia			False	False	True	late	late	True	True	Origin: Persian: arabistaan	Inflection: i-decl (Obl): arabisteení
f_ul2wfsa5q2txy	aulaád	offspring, descendants			False	False	True	late	late	True	True	Origin: Urdu (Arabic): aulaad	Inflection: i-decl (Obl): auleedí; Usage: Usually with plural reference
f_cj4cd5rxyzpb6	azaáb	punishment (especially divine)			False	False	True	late	late	True	True	Origin: Urdu (Arabic): azaab	Inflection: i-decl (Obl): azeebí
f_cr6siw6xhsxug	baáɣ	garden			False	False	False	early	late	False	True	Origin: Urdu (Persian): baaɣ	Inflection: i-decl (Obl, pl): beeɣí
f_moit2arih7gky	baastaár	bedding			False	False	True	late	late	True	True	Origin: Urdu (Persian): bistar	Inflection: i-decl (Obl, pl): -í
f_faznsewj7ozfc	báaṣ	rain	11392	baṣ	True	False	False	early	early	True	False	varṣá- 'rain' (T: 11392)	Inflection: a-decl (Obl): baṣá; Morphemic form: baṣ
f_mtvkqvmfjly4w	baát	word; talk; issue, matter; speech, language	11564		False	False	False	early	late	False	False	vārttā- 'livelihood, business; tidings' (T: 11564)	Inflection: i-decl (Obl, pl): beetí
f_vvaoocqomdriy	báaṭ	stone, rock	11348	baṭ	True	False	False	early	early	True	False	*varta- 'round stone' (T: 11348)	Inflection: a-decl (Obl, pl): baṭá; Morphemic form: baṭ
f_l6qmicfapcklw	babaáy	apple	9387	babá-i	False	False	True	late	late	True	False	*bhabbā- 'apple' (T: 9387)	Inflection: i-decl (Obl, pl): babayí; Morphemic form: babá-i
f_bv73bfpp53bhk	badmaáš	rascal; criminal			False	False	True	late	late	True	True	Origin: Urdu: bad-maˈaaš	Inflection: aan-decl (Pl): -aán, (Obl, pl): -á
f_7vjtbcra7ugcu	bakaraál	shepherd; goatherd	9154		False	False	True	late	late	True	False	*barkarapāla- 'goatherd' (T: 9154)	Inflection: a/aan-decl (Obl): -á, (Pl): -aán, -á
f_wvwawvthigbrc	balikhaáṭ	roof end (covering)		balikháṭ	True	True	True	late	late	True	False		Inflection: Irr (Pl): balikheeṭí, (Obl, pl): balikhaṭá; Morphemic form: balikháṭ
f_bftntasugazbc	bardaáš	endurance; patience			False	False	True	late	late	True	True	Origin: Urdu (Persian): bar-daašt	Inflection: i-decl (Obl): bardeeší; Usage: Primarily used as a non-verb element in complex predicates
f_pcg5bw5co4q3g	basaánd	spring; can also refer more specifically to the first part of spring (a 40-day period) when days are warmer and plants begin to grow and flowers blossom (appr. 1 Apr-10 May)	11439	basánd	True	False	True	late	late	True	False	vasantá- 'spring season (masc)' (T: 11439)	Inflection: a-decl (Obl, pl): basandá; Morphemic form: basánd
f_l4yb3btzfu7am	batshaár	calf that can plough but is not yet full-grown (2-4 years old)	11241		False	True	True	late	late	True	False	vatsatará- 'young bull or goat before weaning or copulation (m)' (T: 11241)	Inflection: a-decl (Obl, pl): batshará
f_jut2anhv3n2ti	baṭašáan	top of a flat stone			False	False	True	late	early	False	False		Inflection: a-decl (Obl, pl): -a
f_gzfywzymjsego	baṭoošaáṇṭ	sling-shot	12622		False	False	True	late	late	True	False	*śōṭṭha- 'stick' (T: 12622)	Inflection: i-decl (Obl, pl): baṭoošaṇṭí
f_f236htapldwci	bhakulaár	fatness			False	False	True	late	late	True	False		Inflection: i-decl (Obl): bhakuleerí
f_ovxm75fszpol4	bhantsaáp	rat; large rodent			False	False	True	late	late	True	False		Inflection: a-decl (Obl, pl): bhantsapá
f_p4cft52ezh5sy	biaabaán	wilderness			False	False	True	late	late	True	True	Origin: Urdu (Persian): biyaabaan	Inflection: i-decl (Obl): biaabeení
f_mlg3gj3bscl5c	biaáǰ	supplies (new)			False	False	True	late	late	True	False		Inflection: i-decl (Obl): bieeǰí
f_e5bausjld6bts	bigaár	serfdom			False	False	True	late	late	True	True	Origin: Urdu (Persian): bigaar, begaar	Inflection: i-decl (Obl): bigeerí
f_lc3xzia2krdfa	bráam	joint	9893		False	False	False	early	early	True	False	márman- 'vulnerable spot, vital organ; secret; limb, joint (neut)' (T: 9893)	Inflection: a-decl (Obl, pl): -a
f_4w7x2ryjwl6vg	čáam	leather, skin (from cow or bull)			False	False	False	early	early	True	False		Inflection: a-decl (Obl): -a
f_lke2sojllsqo6	čáar	fresh grass (esp. as fodder)	4762		False	False	False	early	early	True	False	*cāri- 'grass' (T: 4762)	Inflection: i-decl (Obl, pl): čarí
f_jxvajvhw5c7ay	čaáx	fat, strong, healthy			False	False	False	early	late	False	True	Origin: Pashto: čaaɣ	
f_wtrlz3erutpo6	čarbhaáng	dawn			False	True	True	late	late	True	False		Inflection: i-decl (Obl, pl): čarbheengí
f_4ozgxscc55cge	čaukaáṭ	door frame			False	False	True	late	late	True	True	Origin: Pashto (Urdu): čaukhaṭ	Inflection: i-decl (Obl, pl): čaukeeṭí
f_426vehshe7i5m	čhaál	kid (young goat)	4963		False	True	False	late	late	True	False	chagalá- 'goat (masc)' (T: 4963)	Inflection: a-decl (Obl, pl): -á
f_c657rmmjvtwji	čhaál	regulating device in water mill			False	True	False	late	late	True	False		Inflection: a-decl (Obl, pl): -á
f_ntfg7qzdxwroq	čhaáṭ	shot, blow			False	True	False	late	late	True	False		Inflection: i-decl (Obl, pl): čhaṭí
f_v4hp7k5na7n2i	čilaás	Chilas (town in Indus Valley, the place of origin of the forefather of most Ashretis)			False	False	True	late	late	True	False		Inflection: a-decl (Obl): -á
f_v72oq5oe2lou4	c̣haár	waterfall	3662	c̣har-	True	True	False	late	late	True	False	kṣará- 'melting away; cloud (masc); water (neut)' (T: 3662)	Inflection: i-decl (Obl, pl): c̣harí; Morphemic form: c̣har-
