source_id	locality	concept	form	source_value	source_comment	has_explicit_pitch_diacritic	caution
Gupis-Backstrom-1992-210f-2-1	Gupis	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Punial-Backstrom-1992-210f-2-1	Punial	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
HunzaNasirabad-Backstrom-1992-210f-2-1	HunzaNasirabad	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarThol-Backstrom-1992-210f-2-1	NagarThol	head	ṣ̌ɪ̱ṣ̌	ṣ̌ɪ̱ṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarChalt-Backstrom-1992-210f-2-1	NagarChalt	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gilgit-Backstrom-1992-210f-2-1	Gilgit	head	ṣ̌ɪ̱ṣ̌	ṣ̌ɪ̱ṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Haramosh-Backstrom-1992-210f-2-1	Haramosh	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bagrot-Backstrom-1992-210f-2-1	Bagrot	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bunji-Backstrom-1992-210f-2-1	Bunji	head	ṣ̌ɪ̱ṣ̌	ṣ̌ɪ̱ṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Rondu-Backstrom-1992-210f-2-1	Rondu	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gahorabad-Backstrom-1992-210f-2-1	Gahorabad	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
DashkinAstor-Backstrom-1992-210f-2-1	DashkinAstor	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Astor-Backstrom-1992-210f-2-1	Astor	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
KachuraJel-Backstrom-1992-210f-2-1	KachuraJel	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Satpara-Backstrom-1992-210f-2-1	Satpara	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gultari-Backstrom-1992-210f-2-1	Gultari	head	ṣ̌iṣ̌	ṣ̌iṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kharmang-Backstrom-1992-210f-2-1	Kharmang	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Dras-Backstrom-1992-210f-2-1	Dras	head	ṣ̌iṣ̌	ṣ̌iṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasKhinar-Backstrom-1992-210f-2-1	ChilasKhinar	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasJelil-Backstrom-1992-210f-2-1	ChilasJelil	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Darel-Backstrom-1992-210f-2-1	Darel	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Tangir-Backstrom-1992-210f-2-1	Tangir	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Sazin-Backstrom-1992-210f-2-1	Sazin	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Harban-Backstrom-1992-210f-2-1	Harban	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Jalkot-Backstrom-1992-210f-2-1	Jalkot	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Palas-Backstrom-1992-210f-2-1	Palas	head	šɪš	šɪš		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kolai-Backstrom-1992-210f-2-1	Kolai	head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gupis-Backstrom-1992-210f-5-1	Gupis	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Punial-Backstrom-1992-210f-5-1	Punial	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
HunzaNasirabad-Backstrom-1992-210f-5-1	HunzaNasirabad	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarThol-Backstrom-1992-210f-5-1	NagarThol	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarChalt-Backstrom-1992-210f-5-1	NagarChalt	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gilgit-Backstrom-1992-210f-5-1	Gilgit	eye	ɑˈč̣ʰi̱	ɑˈč̣ʰi̱ / ɑˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gilgit-Backstrom-1992-210f-5-2	Gilgit	eye	ɑˈṣ̌i	ɑˈč̣ʰi̱ / ɑˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Haramosh-Backstrom-1992-210f-5-1	Haramosh	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bagrot-Backstrom-1992-210f-5-1	Bagrot	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bunji-Backstrom-1992-210f-5-1	Bunji	eye	ɑ̱ˈṣ̌i	ɑ̱ˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Rondu-Backstrom-1992-210f-5-1	Rondu	eye	ʌˈč̣i	ʌˈč̣i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gahorabad-Backstrom-1992-210f-5-1	Gahorabad	eye	ʌč̣i	ʌč̣i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
DashkinAstor-Backstrom-1992-210f-5-1	DashkinAstor	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Astor-Backstrom-1992-210f-5-1	Astor	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
KachuraJel-Backstrom-1992-210f-5-1	KachuraJel	eye	ʌˈč̣i	ʌˈč̣i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Satpara-Backstrom-1992-210f-5-1	Satpara	eye	ʌˈč̣i	ʌˈč̣i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gultari-Backstrom-1992-210f-5-1	Gultari	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kharmang-Backstrom-1992-210f-5-1	Kharmang	eye	ɑ̱ˈčʰi	ɑ̱ˈčʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Dras-Backstrom-1992-210f-5-1	Dras	eye	ɑˈčʰe	ɑˈčʰe		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasKhinar-Backstrom-1992-210f-5-1	ChilasKhinar	eye	ʌˈč̣i	ʌˈč̣i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasJelil-Backstrom-1992-210f-5-1	ChilasJelil	eye	ʌˈṣ̌i	ʌˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Darel-Backstrom-1992-210f-5-1	Darel	eye	ʌˈṣ̌i	ʌˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Tangir-Backstrom-1992-210f-5-1	Tangir	eye	ɑˈč̣ʰi	ɑˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Sazin-Backstrom-1992-210f-5-1	Sazin	eye	ʌˈč̣ʰi	ʌˈč̣ʰi		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Harban-Backstrom-1992-210f-5-1	Harban	eye	ʌˈṣ̌i	ʌˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Jalkot-Backstrom-1992-210f-5-1	Jalkot	eye	ɑˈč̣i	ɑˈč̣i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Palas-Backstrom-1992-210f-5-1	Palas	eye	ɑč̣i	ɑč̣i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kolai-Backstrom-1992-210f-5-1	Kolai	eye	ɑˈč̣i̱	ɑˈč̣i̱ / ɑˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kolai-Backstrom-1992-210f-5-2	Kolai	eye	ɑˈṣ̌i	ɑˈč̣i̱ / ɑˈṣ̌i		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gupis-Backstrom-1992-210f-6-1	Gupis	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Punial-Backstrom-1992-210f-6-1	Punial	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
HunzaNasirabad-Backstrom-1992-210f-6-1	HunzaNasirabad	ear	ko̱n	ko̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarThol-Backstrom-1992-210f-6-1	NagarThol	ear	ko̱n	ko̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarChalt-Backstrom-1992-210f-6-1	NagarChalt	ear	ko̱n	ko̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gilgit-Backstrom-1992-210f-6-1	Gilgit	ear	ko̱n	ko̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Haramosh-Backstrom-1992-210f-6-1	Haramosh	ear	kʌ̱n	kʌ̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bagrot-Backstrom-1992-210f-6-1	Bagrot	ear	kʌn	kʌn		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bunji-Backstrom-1992-210f-6-1	Bunji	ear	kʌṇ	kʌṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Rondu-Backstrom-1992-210f-6-1	Rondu	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gahorabad-Backstrom-1992-210f-6-1	Gahorabad	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
DashkinAstor-Backstrom-1992-210f-6-1	DashkinAstor	ear	ko̱ṇ	ko̱ṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Astor-Backstrom-1992-210f-6-1	Astor	ear	ko̱ṇ	ko̱ṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
KachuraJel-Backstrom-1992-210f-6-1	KachuraJel	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Satpara-Backstrom-1992-210f-6-1	Satpara	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gultari-Backstrom-1992-210f-6-1	Gultari	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kharmang-Backstrom-1992-210f-6-1	Kharmang	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Dras-Backstrom-1992-210f-6-1	Dras	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasKhinar-Backstrom-1992-210f-6-1	ChilasKhinar	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasJelil-Backstrom-1992-210f-6-1	ChilasJelil	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Darel-Backstrom-1992-210f-6-1	Darel	ear	kon	kon		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Tangir-Backstrom-1992-210f-6-1	Tangir	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Sazin-Backstrom-1992-210f-6-1	Sazin	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Harban-Backstrom-1992-210f-6-1	Harban	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Jalkot-Backstrom-1992-210f-6-1	Jalkot	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Palas-Backstrom-1992-210f-6-1	Palas	ear	ko̱ṇ	ko̱ṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kolai-Backstrom-1992-210f-6-1	Kolai	ear	koṇ	koṇ		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gupis-Backstrom-1992-210f-9-1	Gupis	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Punial-Backstrom-1992-210f-9-1	Punial	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
HunzaNasirabad-Backstrom-1992-210f-9-1	HunzaNasirabad	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarThol-Backstrom-1992-210f-9-1	NagarThol	tooth	don	don		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
NagarChalt-Backstrom-1992-210f-9-1	NagarChalt	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gilgit-Backstrom-1992-210f-9-1	Gilgit	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Haramosh-Backstrom-1992-210f-9-1	Haramosh	tooth	don	don		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bagrot-Backstrom-1992-210f-9-1	Bagrot	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Bunji-Backstrom-1992-210f-9-1	Bunji	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Rondu-Backstrom-1992-210f-9-1	Rondu	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gahorabad-Backstrom-1992-210f-9-1	Gahorabad	tooth	dun	dun		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
DashkinAstor-Backstrom-1992-210f-9-1	DashkinAstor	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Astor-Backstrom-1992-210f-9-1	Astor	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
KachuraJel-Backstrom-1992-210f-9-1	KachuraJel	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Satpara-Backstrom-1992-210f-9-1	Satpara	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gultari-Backstrom-1992-210f-9-1	Gultari	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kharmang-Backstrom-1992-210f-9-1	Kharmang	tooth	don	don		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Dras-Backstrom-1992-210f-9-1	Dras	tooth	don	don		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasKhinar-Backstrom-1992-210f-9-1	ChilasKhinar	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
ChilasJelil-Backstrom-1992-210f-9-1	ChilasJelil	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Darel-Backstrom-1992-210f-9-1	Darel	tooth	don	don		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Tangir-Backstrom-1992-210f-9-1	Tangir	tooth	don	don		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Sazin-Backstrom-1992-210f-9-1	Sazin	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Harban-Backstrom-1992-210f-9-1	Harban	tooth	don	don		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Jalkot-Backstrom-1992-210f-9-1	Jalkot	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Palas-Backstrom-1992-210f-9-1	Palas	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Kolai-Backstrom-1992-210f-9-1	Kolai	tooth	do̱n	do̱n		False	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Gupis-Backstrom-1992-210f-10-1	Gupis	tongue	ǰip	ǰip		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
Punial-Backstrom-1992-210f-10-1	Punial	tongue	ǰɪ̱p	ǰɪ̱p		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
HunzaNasirabad-Backstrom-1992-210f-10-1	HunzaNasirabad	tongue	ǰɪp	ǰɪp		True	Field transcription, not a uniform phonemic analysis; unmarked pitch is not proven absence of lexical tone
