Language_ID	Disposition	Family_ID	Record_IDs
Kui	duplicate-compound	d1628	f_563uyklearbyy
Kui	editorial-input-fragment	d325	f_n533xrqrsxqsa
Kui	english-or-metadata-match	d2908	f_5d6iutnr7yz44;f_aegukbebzu2sq;f_yytdvo45dbx54
Kui	english-or-metadata-match	d2046	f_arcejhidriz2w
Kui	english-or-metadata-match	d4833	f_b2hjwxrptnka6
Kui	english-or-metadata-match	d1994	f_bbjlshrg6bkx6
Kui	english-or-metadata-match	d5141	f_czs3pdlrlsej4
Kui	english-or-metadata-match	d3246	f_gmpcz42sj4bps
Kui	english-or-metadata-match	d3499	f_hes2ed54z3pj6
Kui	english-or-metadata-match	d4250	f_icbkubpzwktmm
Kui	english-or-metadata-match	d1967	f_k2ug7y2wn3adk
Kui	english-or-metadata-match	d1826	f_nu2ennfwvx5fi
Kui	english-or-metadata-match	d5481	f_qe72b6bw7tqao
Kui	english-or-metadata-match	d3801	f_wig5kxdh2mnhw
Kui	english-or-metadata-match	d1109	f_wnbiaa7nvfq72
Kui	english-or-metadata-match	d1249	f_xcw2bpz5djocy
Kui	english-or-metadata-match	d513	f_ykrwxz4m6gqzq
Kui	english-or-metadata-match	d5162	f_zg3bpnatld6o4
Kui	input-unresolved	d2335	f_7o3txxgzmu6cy
Kui	input-unresolved	d502	f_k4p5qwidbxz7i
Kui	input-unresolved	d4975	f_rwufvsvfhvi4i
Kui	input-unresolved	d5450	f_vmp4e73iujxls
Kui	input-unresolved	d333	f_z75xuqcsjazlw
Kui	nominal-plural-control	d2018	f_baluuupon4fbk
Kui	nominal-plural-control	d2364	f_efkuicf2me4va
Kui	nominal-plural-control	d2881	f_h6llshcx7cdda
Kui	nominal-plural-control	d178	f_jpuhwhr57dp4e
Kui	nominal-plural-control	d2115	f_u57za7jztiky4
Kui	nominal-plural-control	d1273	f_xvjg3ehonj4ae
Kui	source-supported-verbal-input	d325	f_2shiah6khbeyq
Kui	source-supported-verbal-input	d228	f_2vphnxjlhsbli
Kui	source-supported-verbal-input	d4760	f_37pzhlkx3bqaq
Kui	source-supported-verbal-input	d1868	f_3lhbndvrgufww
Kui	source-supported-verbal-input	d5200	f_3o5nmdtypifz2
Kui	source-supported-verbal-input	d2955	f_3y4ju3dgej3a6
Kui	source-supported-verbal-input	d2363	f_5dz4bkfwnjsf4
Kui	source-supported-verbal-input	d5180	f_7mmbwmoolt3gs
Kui	source-supported-verbal-input	d3339	f_7rze6k5rcztvq
Kui	source-supported-verbal-input	d4975	f_7wr5b6lzlmmms
Kui	source-supported-verbal-input	d3714	f_a6wowa7sc5wkq
Kui	source-supported-verbal-input	d5519	f_bzzp2cg5za254
Kui	source-supported-verbal-input	d3439	f_c7zutuml3qcuw
Kui	source-supported-verbal-input	d3962	f_d46mmvltgn4ao
Kui	source-supported-verbal-input	d4423	f_db4jy7jyupb46
Kui	source-supported-verbal-input	d2260	f_dmvxrc66ml2gc
Kui	source-supported-verbal-input	d1080	f_ds72snylx7xny
Kui	source-supported-verbal-input	d1851	f_e5qvybvkyc5c4;f_idpodt7nvllg4
Kui	source-supported-verbal-input	d931	f_ej6yqr6zxl3iy
Kui	source-supported-verbal-input	d2654	f_ejxzdnny5tjf6
Kui	source-supported-verbal-input	d4152	f_eqez2oit4olfu;f_htpsvjf6iscgg
Kui	source-supported-verbal-input	d3665	f_evjbstf4h4l2a
Kui	source-supported-verbal-input	d3514	f_exaq32y35n4sq
Kui	source-supported-verbal-input	d859	f_fagiavp6euxmy
Kui	source-supported-verbal-input	d240	f_ffthrj4v74uj4
Kui	source-supported-verbal-input	d520	f_fj4accsqwye66
Kui	source-supported-verbal-input	d2800	f_forp7syckxzsa
Kui	source-supported-verbal-input	d5334	f_ftfwofn4hon26
Kui	source-supported-verbal-input	d3482	f_g4fwvnxfj45iw
Kui	source-supported-verbal-input	d1817	f_gvalmquq3u7hu
Kui	source-supported-verbal-input	d2557	f_hctegq7pigchg
Kui	source-supported-verbal-input	d3808	f_hfquv2hdpumui
Kui	source-supported-verbal-input	d710	f_hkbi2vxi6hfw4
Kui	source-supported-verbal-input	d4235	f_i4oxp3x7orv7k
Kui	source-supported-verbal-input	d2180	f_ltg46ziaghap6
Kui	source-supported-verbal-input	d5432	f_m7xll75wz7coy
Kui	source-supported-verbal-input	d3783	f_mkjsnqeyhyxs6
Kui	source-supported-verbal-input	d4008	f_mokpx7pejfih4
Kui	source-supported-verbal-input	d3430	f_nejhxq2rpazpw
Kui	source-supported-verbal-input	d4470	f_nkzumj4yvchew
Kui	source-supported-verbal-input	d4891	f_ns7d6ejltzbu6
Kui	source-supported-verbal-input	d3451	f_nwtr7qwnhvbia
Kui	source-supported-verbal-input	d4761	f_odg4kc4xbuvsu
Kui	source-supported-verbal-input	d874	f_olnyja7rvv3gy
Kui	source-supported-verbal-input	d757	f_pjozm4xuvtthk
Kui	source-supported-verbal-input	d5002	f_qhot7vlbdc3mu
Kui	source-supported-verbal-input	d3359	f_qu7uboe3kue5i
Kui	source-supported-verbal-input	d5411	f_qwsgre2k35ii2
Kui	source-supported-verbal-input	d2585	f_sd7olgoxg7rjw
Kui	source-supported-verbal-input	d4414	f_sw2cr3tc2oi7w
Kui	source-supported-verbal-input	d5522	f_t2kjdhlradz3m
Kui	source-supported-verbal-input	d2136	f_t7ubeua3g2o3y
Kui	source-supported-verbal-input	d715	f_tjcebrjvs5vmg
Kui	source-supported-verbal-input	d3376	f_ty4mtcfbwoiuq;f_wtcdjnx4wmtsq
Kui	source-supported-verbal-input	d4870	f_uiwvufb4jbbli
Kui	source-supported-verbal-input	d706	f_vwqpdtyxba5aw
Kui	source-supported-verbal-input	d5363	f_x5ut4227rr6v2
Kui	source-supported-verbal-input	d1628	f_yb2hf7hg3kv2y
Kui	source-supported-verbal-input	d1980	f_zec6tdhg4tmzu
Kui	source-supported-verbal-input	d4194	f_zkmyxy3xxs4hm
Kui	source-supported-verbal-input	d1349	f_zzapu56xn4mei
