Rows 116 Telugu D families covered 65 not covered []
{'Language_ID': 'Brahui', 'Input_Tier': 'cluster', 'Prediction': 'short-from-consonantal-input', 'N_Formation_Rows': 1, 'N_Families': 1, 'N_D_Bearing': 0, 'N_R_Bearing': 1, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 1, 'N_Strict_Quantity_Denominator': 0, 'Match_Only_Over_Tested': '0/0', 'Match_Only_Proportion': ''}
{'Language_ID': 'Brahui', 'Input_Tier': 'full', 'Prediction': 'long-if-displaced', 'N_Formation_Rows': 1, 'N_Families': 1, 'N_D_Bearing': 1, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 1, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 0, 'N_Strict_Quantity_Denominator': 1, 'Match_Only_Over_Tested': '0/1', 'Match_Only_Proportion': 0.0}
{'Language_ID': 'Kui', 'Input_Tier': 'conditional', 'Prediction': 'long-if-displaced', 'N_Formation_Rows': 1, 'N_Families': 1, 'N_D_Bearing': 1, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 1, 'N_Strict_Quantity_Denominator': 0, 'Match_Only_Over_Tested': '0/0', 'Match_Only_Proportion': ''}
{'Language_ID': 'Kui', 'Input_Tier': 'full', 'Prediction': 'long-if-displaced', 'N_Formation_Rows': 5, 'N_Families': 5, 'N_D_Bearing': 5, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 5, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 0, 'N_Strict_Quantity_Denominator': 5, 'Match_Only_Over_Tested': '5/5', 'Match_Only_Proportion': 1.0}
{'Language_ID': 'Kuwi', 'Input_Tier': 'full', 'Prediction': 'short-if-displaced', 'N_Formation_Rows': 1, 'N_Families': 1, 'N_D_Bearing': 1, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 1, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 0, 'N_Strict_Quantity_Denominator': 1, 'Match_Only_Over_Tested': '0/1', 'Match_Only_Proportion': 0.0}
{'Language_ID': 'Telugu', 'Input_Tier': 'cluster', 'Prediction': 'short-from-consonantal-input', 'N_Formation_Rows': 9, 'N_Families': 8, 'N_D_Bearing': 8, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 8, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 0, 'N_Strict_Quantity_Denominator': 8, 'Match_Only_Over_Tested': '8/8', 'Match_Only_Proportion': 1.0}
{'Language_ID': 'Telugu', 'Input_Tier': 'conditional', 'Prediction': 'input-underdetermined', 'N_Formation_Rows': 11, 'N_Families': 11, 'N_D_Bearing': 11, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 11, 'N_Strict_Quantity_Denominator': 0, 'Match_Only_Over_Tested': '0/0', 'Match_Only_Proportion': ''}
{'Language_ID': 'Telugu', 'Input_Tier': 'conditional', 'Prediction': 'long-if-displaced', 'N_Formation_Rows': 11, 'N_Families': 11, 'N_D_Bearing': 10, 'N_R_Bearing': 1, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 11, 'N_Strict_Quantity_Denominator': 0, 'Match_Only_Over_Tested': '0/0', 'Match_Only_Proportion': ''}
{'Language_ID': 'Telugu', 'Input_Tier': 'conditional', 'Prediction': 'outside-short-singleton-rule', 'N_Formation_Rows': 1, 'N_Families': 1, 'N_D_Bearing': 1, 'N_R_Bearing': 1, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 1, 'N_Strict_Quantity_Denominator': 0, 'Match_Only_Over_Tested': '0/0', 'Match_Only_Proportion': ''}
{'Language_ID': 'Telugu', 'Input_Tier': 'conditional', 'Prediction': 'short-from-consonantal-input', 'N_Formation_Rows': 2, 'N_Families': 2, 'N_D_Bearing': 2, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 2, 'N_Strict_Quantity_Denominator': 0, 'Match_Only_Over_Tested': '0/0', 'Match_Only_Proportion': ''}
{'Language_ID': 'Telugu', 'Input_Tier': 'conditional', 'Prediction': 'short-if-displaced', 'N_Formation_Rows': 2, 'N_Families': 2, 'N_D_Bearing': 2, 'N_R_Bearing': 0, 'N_Quantity_Match_Only': 0, 'N_Quantity_Counterexample_Only': 0, 'N_Mixed_Match_Counterexample': 0, 'N_Not_Strictly_Testable': 2, 'N_Strict_Quantity_Denominator': 0, 'Match_Only_Over_Tested': '0/0', 'Match_Only_Proportion': ''}
