Chart	View	Row	Category	Family_ID	Evidence_or_Formation_IDs
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d202	f_jd42hn34rdaqo;f_zffwdujrcnywi
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d203	f_b2pn5szvoauzs
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d205	f_aim5glsdnd7n4;f_ctfbycbo5e6wk;f_e3gu7e3lt2ojs;f_oo47a4ebasnoi;f_xnbjhvmp7rq4g;f_zrncehoq3ccry
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d207	f_g6mbx5fnxqe56;f_zippck6rke3ji
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d211	f_ounrkuuuhnfna
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d215	f_mnkiicl5xdil2
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d216	f_5he7r7r5u2c32;f_5jwedg7xyol4g;f_mzjmub34nhmgs;f_vtyt57salixes
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d221	f_k42ari4dplz4u;f_rbqgsqh7nbbqa
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d222	f_eimkraajdo4rm;f_m6xkqnndzb5m2;f_nck5r44wrl5bg;f_q7htcdoqkywcc;f_ze3lunarmdjv6
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d227	f_6hd2mzztm7g6o
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d228	f_47wnjhnjmwyqo;f_do36zuzuzryi6;f_ikh2tqzs4tg6y;f_lhso2updqhzy4;f_pr4rscqrwp6k4;f_qq3musa4z2c7e;f_s56rotjltglxa;f_triaacpz2cb2i;f_whejawkvz75pe
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d229	f_73yfjkyby7tk2;f_bzeztn2fkuamo
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d233	f_aipxzonbdeepe;f_d6n5skxzoxnwo;f_q37nkoudu64fo;f_thikmme7shfja
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d236	f_i3sn2s6otvqky;f_pkzhidszmyoc2;f_tzvbcf4d4gmao;f_wuhwort4y3t66;f_zd67ixayppfdq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d237	f_srco7di4udbtc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d240	f_6bupjipoxgkiu;f_aifvh7czpucsy;f_eldm6ywbhzgko;f_sse3m4kxlu7c4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d242	f_6racbsa5jon6w;f_ffpjrrr7b4wwe;f_zjlxdinbbc3te
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d244	f_ndj7gjk2kfyao
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d245	f_3qwn6rwowgwae;f_wmpykisj3m4qq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d246	f_2sa7xjo752koi;f_qdgen54dznmho;f_s373euxrqbmxc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d247	f_5niqcsf7gzfq2;f_sbkthip6qkwii
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d248	f_2oitw6ttasg5y;f_dz2l2rsf3tuvi
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d249	f_ajjvw4ccisbg4;f_h7obdiyyaaaj4;f_jg6lbbbk6lzmi;f_vmhccfwtxyya2
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d276	f_7jaokaugejrou;f_dww534xzkj26s
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d277	f_aso7ha3awldec;f_ds2mybleaipgs;f_ds7sq7ekdyp7i;f_fcnfhvkrxks6u;f_ivbm3kubj7mya;f_oozpsd4qfi22o;f_wd4nh5cchenke;f_wij6kqgv52vqm;f_xonjybl36sozy
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d281	f_jbngbhkxzanwm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d282	f_7kyymuhrncbie;f_n2ipbyqebxtyk
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d285	f_g32ol2quawr7k;f_nyzufh5fwfkos;f_vj7gc6l4tt362
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d291+d295	f_agyxrtwnsdocc;f_bmf4uxhm446og;f_id6ukobamzgt2;f_jusqtybwjtw5k;f_z6qwxumua56to
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d296	f_2mgbteusy362g;f_fwrfyx5d3kvve
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d298	f_resgov5ytuk3q
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d299	f_qd5vl7xy2vw2m
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d301	f_ngcio5lcxvtdu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d303	f_42bzpyvayvkdo
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d304	f_3iqklkzdp46wc;f_aptj3sxgp6drk;f_kszpp2kyi42km;f_wd5lbd6dy6orw
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d305	f_cjuu32h5ztefq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d306	f_feawxsgy75cua;f_t4slhjrimif5k;f_y57wv5vyiprdo
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d307	f_kh3i5mgobe3im;f_leszidqrkkwly;research:d307-telugu-lampu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d308	f_ovrxifgbq5t7k
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d310	f_4ww3nqabku62o;f_hri3ob2thljgm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d313	f_3q26mrpxhoy2k;f_dpqlnyhkegp6a
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d314	f_b7mf5fcjxlcwa;f_bnaxfylgq56du;f_fgyufawpfdf66;f_lkvhi27n32ggq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d315	f_6gnqqgrwv26vo;f_fsjwlrfbiqn2c;f_kxuymaimdddhu;f_p74esoepvym4i;f_uf342pwxoe4fw
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d316	f_bonpzuaaxwdms;f_g5xpluqci7rq4;f_nvxussc36a2wi;f_t5zbu6kd4ehgg
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d317	f_u5oj2s4pjduja
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d318	f_wrbb2nyiczj76
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d319	f_2isaz6z4unlea;f_2ttu4tbf2ucwy;f_chciddvnftg4s;f_d52ftrvndmrew;f_xzhmynveclcu2
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d321	f_37vuatl2jy4l6;f_cbgze364tf5ow;f_ek6ihenhscv7g
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d432	f_5uda6jsb57pwg;f_v2xwjtlitqr4a;f_zmrupuvjouvj4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d434+d448	f_abj5idrlhvxtu;f_awwr4bmgcl3zc;f_c43xnp3vku2bc;f_gzzupibkrgkyu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d435	f_3axfn37zfnr5e;f_4piywrf66vw3q;f_btmtnzyp5575y;f_i2ci6yitaqepk;f_jsbg2qgcat4da;f_khluubkf6bcus;f_udsrfrz4hnhzc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d437	f_mmvjzablirjpa
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d439	f_a2bnpj2a5d3ry;f_k4lwwel2wx6pq;f_p5onjlsy62yyo
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d442	f_7mpklc7awl3aq;f_k3dlf6fwe4z34
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d443	f_76oq4njxyvr2e;f_ntoe672qyz6ps
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d444	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d446	f_6rgocgeffuw4g;f_c6wvfdmsmc6ze;f_cj5adjgs24nu6;f_e72musabr74sc;f_fibux3kzl6fim;f_wqwne2wo6wscu;f_yjnachn5etcwc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d447	f_raskkai6p26cw
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d449	f_buuj23gzuhmjs;f_mmtxxcdbtyt44;f_r5ex3utotkmm6
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d451	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d452	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d453	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d472	f_7mxhybbcyt32g
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d475	research:d475-Telugu-rēnu;research:d475-Telugu-rē̃gu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d476	f_arjfgvftibq24;f_fo74326od6fi6;f_hoazkkmlc7fz2;f_yiz3qsplvy26q
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d477	f_5bmsqzjrwmyqi;f_klgo6bo3fin4g
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d480	f_2tykowphgfk6g;f_4mgn5osldllj4;f_bcpt6uoumxh2y;f_oakdhpphktf4g;f_pcmx5ezbq3ods;f_qhrugzwzluq72;f_u36aljrxwhfy2
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d481	f_jczm7oitr7vbi;f_t5ccroasxf6r2
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d483	f_4f77msb5syfdg;f_4yp7s4oztw2yi;f_qi35okjcloqro;f_xzzvzn2awccbk
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d484	f_egaijmfbmzpma
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d485	f_4vjrv6v5g5xfe
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d486	f_atvx6hytg7f2k
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d489	f_3drgs7echl77u;f_4b6avkqoilwle;f_egh7fg2evdo6u;f_wngp4n7ascy2q
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d490	f_lzfmtmyxydwz4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d495	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d502	f_26lwvxu43ig4k;f_7fmuwslbag7n4;f_dgfr7xfpeadze;f_dwgcjswhqoozu;f_l3p7f5axkekz2;f_md6u4xreivsrc;f_mpyejvd67v4ti;f_tdj2gm3oxspxu;f_xvsd56qh3osek;f_zr3kmbroc4kgg
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d507	f_vd2trzdv2whqq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d508	f_eo2qdb2ne2mw6;f_l4gd6s6rihmea;f_mkqgs7per3mpi
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d512	f_kyuvorz7vzpcq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d513	f_d5kcw6hrz2qbi;f_ejrg7mghib4h6;f_h55dqkqddalhw;f_iidp2lwtlxkrw;f_td5tw434rhrw4;f_tthkyznga3ouu;f_vfhmtesu22rzc;f_xanpmdfasmauw;f_yukt2ixlwlxqy
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d516	f_2ev7zelqpwhym;f_e5od7okyckgem;f_uy6bi7fk3wgza;f_x56ndqpatzxga;f_xmjor7la2kyae
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d517	f_egseskzv55o6u;f_t4jkutlbao6tm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d520	f_alq2jr3tzgyny
