input_class	family_id	palula	glosses	kalkoti_forms	observed	status	sources	exclusions	adjudication
Palula-E-without-short-final-vowel	941	áaṣṭ	"[""eight""]"	"[""eeṣ"", ""iṣ""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Biori aṣṭ and short Shina aṣ show loss of the old accented ending with a short surviving stem; Ashret áaṣṭ then fits later unaspirated closed-a lengthening with early accent. Its early contour therefore does not refute inherited final accent. Kalkoti eeṣ requires an independent vowel/umlaut or numeral-paradigm history; its unmarked citation cannot supply tone.
Palula-E-without-short-final-vowel	2462	áak	"[""a, one"", ""one""]"	"[""ä"", ""äk""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
Palula-E-without-short-final-vowel	2462	áa	"[""a, one"", ""one""]"	"[""ä"", ""äk""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
Palula-E-without-short-final-vowel	2830	káaṇ	"[""ear""]"	"[""kaan""]"	"[""zero-High-or-default""]"	consistent	"[""kalkoti""]"	[]	Palula káaṇ versus Biori kaṇ fits late Ashret closed-a lengthening after rṇ simplification. Short Gilgit kon has nasal-environment backing, and Kalkoti/Kundal kān confirm broader segmental correspondences without reliable tone in these records. A reported mobile Gilgit ear paradigm contrasts with Palula fixed accent despite shared old barytonesis, so the inflectional evidence must override the misleading agreement of short citation forms.
Palula-E-without-short-final-vowel	2892	kráam	"[""work""]"	"[""traam""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Biori kram beside inflected kráama, and Ashret kráam, separate an older open-syllable lengthening layer from later Ashret closed-syllable lengthening. Metathesis moves r into the onset before this comparison. Shina kom/krom and Kalkoti traam share the work sense but have independent r-cluster and nasal-vowel developments. A single citation-form mora table must be supplemented by the Biori paradigm, which is the most diagnostic evidence.
Palula-E-without-short-final-vowel	4368	ghróom	"[""village""]"	"[""draam"", ""draám""]"	"[""final-High-or-rising""]"	residual	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Village ghróom/draám is a genuine counterexample to the simple Palula E→Kalkoti no-High mapping. Hultman Table6p12 explicitly prints draám beside ghróom. A former extra ending, analogical reaccentuation or contact could explain it, but none is independently demonstrated. Palula ghr also fails to predict Low here; do not hide that second issue.
Palula-E-without-short-final-vowel	4655	čúur	"[""four""]"	"[""čoor""]"	"[""zero-High-or-default""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula čúur/Biori čáar and Shina cáar/čáar preserve early accent on a long vowel descending from the old accented vā. Loss of the initial syllable and cluster simplification mean modern initial accent is not retention of old first-syllable accent. Kalkoti čoor and Sauji čōr agree segmentally but their older spellings are not tone evidence. The old short-vowel accusative is a separate input possibility.
Palula-E-without-short-final-vowel	5994	tróo	"[""three""]"	"[""traa"", ""troo"", ""trä""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula tróo/Biori trúu and Shina c̣ée have early prominence after contraction, but their different vowel qualities reflect different monophthongization and raising histories. The old entry has independently distinct masculine, neuter and genitive stems; the exact modern source cannot be assumed from the first headword. Kalkoti traa and Kundal trā are unmarked.
Palula-E-without-short-final-vowel	6152	dáand	"[""tooth""]"	"[""daan""]"	"[""zero-High-or-default""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula dáand/Biori dan and the Biori inflected dáanda show old root prominence with different lengthening environments. Short Shina don is fixed in the documented Kohistani don/dódi paradigm, supporting barytone inheritance even when the citation cannot show mora accent. Kalkoti daan is explicitly among the toneless comparisons in Hultman's tone table, making it stronger evidence than an ordinary unmarked glossary item.
Palula-E-without-short-final-vowel	6227	dáaš	"[""ten""]"	"[""deeš"", ""diš""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula dáaš/Biori daš fits later Ashret closed-a lengthening with early accent, while Shina dáai/dái loses the sibilant and forms a vowel/glide sequence. Both preserve initial prominence at the level of the historical root, but their mora counts are not directly equivalent. Kalkoti deeš has an independent front-vowel history requiring comparison with other numerals.
Palula-E-without-short-final-vowel	6648	dúu	"[""two""]"	"[""du"", ""duu""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula and Gilgit dúu have early long prominence; Astori du is short. The broad citation dva conceals accented historical case and gender forms. A development involving dvā́ and raising differs from contraction of duvaú, so modern uu alone cannot identify the antecedent. Kalkoti duu, Kundal duī and Sawi dū add segmental evidence but not uniform mora notation.
Palula-E-without-short-final-vowel	6651	dáar	"[""door""]"	"[""där""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula dáar beside Biori dar supports early accent on newly lengthened a. The reconstructed short input is distinct from independently attested long dvā́ra. Palula darúṛi ‘window’, Shina darú ‘outside’ and adjectival dariino have additional material or grammatical uses; they are not exceptions in one door paradigm. Sawi darḗ may likewise reflect an ending.
Palula-E-without-short-final-vowel	6658	bóoš	"[""twelve""]"	"[""baaš"", ""baáš""]"	"[""final-High-or-rising""]"	residual	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Twelve bóoš/baáš differs in High location. It is an independently identifiable teen compound, and the Kalkoti teen series is reaccented toward the -eéš/-aáš element; report it as compound-series remodeling, not an exceptionless simplex rule.
Palula-E-without-short-final-vowel	6984	núu	"[""nine""]"	"[""nam"", ""num""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula núu and Shina náu/naw retain prominence on the first material of the old numeral after v weakening/coalescence. The western monophthong and Shina unequal-vowel sequence must not be scored as identical mora structures. Kalkoti nam has a separate final-sonorant development and unmarked tone.
Palula-E-without-short-final-vowel	7047	neeṛíi	"[""root""]"	"[""neer""]"	[]	excluded	"[""kalkoti""]"	"[""Palula-polysyllabic-other-formation""]"	Root neer corresponds to Palula neeṛíi with an accented long final vowel, a different derivation from the canal/bamboo simplex. It falls outside the unaccented short-final-vowel apocope class.
Palula-E-without-short-final-vowel	7655	páanǰ	"[""five""]"	"[""paanǰ""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula páanǰ/Biori panǰ fits later closed-a lengthening with early accent; Shina poš/poi has nasal-environment backing and affricate/sibilant reduction. The old root prominence is compatible, but the short main-Shina citation cannot reveal a long-mora class. Kalkoti paanǰ and Kundal pā̃j add segmental coverage without a tone decision in these sources.
Palula-E-without-short-final-vowel	7785	páand	"[""path""]"	"[""paan"", ""paand""]"	"[""zero-High-or-default""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula páand/Biori pan and fixed inflection are compatible with old root prominence followed by later Ashret lengthening. Shina pon is short and reflects nasal-environment backing; Sauji phantē has a retained ending. Since the old headword has short accented a followed by long ā but retains root accent, it is a necessary countercontrol to unrestricted attraction to any later long vowel. The irregular paradigm may explain why final ā is not an ordinary lexical long-vowel target.
Palula-E-without-short-final-vowel	9661	bhróo	"[""brother""]"	"[""dra""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula bhróo/Biori bhrúu and Shina ẓáa/j̣áa show early root accent, compatible with old long-root barytonesis despite strong segmental divergence. Published Palula bhroó variants elsewhere require separate recording, and Sauji brāū́ ‘my brother’ is a possessive form rather than a bare lexical duplicate. The linked Kalkoti dra is from Liljegren 2013 and is unmarked in that particular citation; its exact tone needs the primary source context.
Palula-E-without-short-final-vowel	9828	míiš	"[""man""]"	"[""meeš"", ""meéš""]"	"[""final-High-or-rising""]"	residual	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Man míiš/meéš is Hultman’s explicit counterexample. Palula míiš is EARLY (also Strand mʹîš), not miíš. Its competing manuṣya/martya ancestry and remodeled plurals do not independently establish the missing Kalkoti ending. Keep the High source unresolved.
Palula-E-without-short-final-vowel	10539	ráat	"[""blood""]"	"[""raat""]"	"[""zero-High-or-default""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula ráat/Strand rʹât beside Biori rat supports early length from a short stage after cluster reduction. Kalkoti raat is explicitly high-level/default in 2013 and explicitly toneless in Hultman 2023, an important case where zero is positively documented. Kundal and Sauji raːt add segmental evidence; their unmarked tokens do not independently establish zero tone.
Palula-E-without-short-final-vowel	12753	šúur	"[""father-in-law""]"	"[""šoor""]"	[]	unscorable	"[""kalkoti""]"	[]	Gilgit šáyur/Astori šáwur retain first-syllable prominence, while Kohistani/Guresi šéer and Palula šúur/Biori šáar have contracted early-long forms. The common accent locus can survive very different contraction histories, providing an instructive retention class beyond simple CVCa nouns. Unequal-vowel or glide sequences in the fuller Shina forms require manual alignment.
Palula-E-without-short-final-vowel	13139	sáat	"[""seven""]"	"[""saat""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Biori, Shina, Kundal and Sauji sat are short, while Ashret sáat is early-long. This is a strong demonstration that an old short-root oxytone can pass through a short monosyllable and later acquire an early long vowel; its history differs from kālá > kaál with inherited root length. The retained short forms provide independent chronological evidence rather than merely an inferred intermediate.
Palula-E-without-short-final-vowel	13254	sáar	"[""lake""]"	"[""sär""]"	"[""zero-High-or-default""]"	consistent	"[""kalkoti""]"	[]	Palula sáar versus Biori and Gilgit sar preserves initial/root prominence while Ashret alone has a long vowel. The old first vowel was short, and Biori supplies an independent short-stage control. This supports later monosyllabic lengthening with early alignment, complementary to old oxytones such as saptá that reach the same short stage before lengthening.
