Observation_ID	Entry_ID	Form	Reconstructed_Input	Date_Label	Date_Not_Before	Date_Not_After	Date_Status	Place	Source	Source_Locator	URL	Direct_Evidence	Historical_Inference	Uncertainty	Comparative_Case_Evidence_IDs	Link_Scope
S69-9-destroy	d277	ḻaccinavānṟu	*aẓ-i-ntt	first quarter of seventh century	600	625	Sastri scholarly attribution	Potladurti; Inpuḻōli officials	Sastri1969; DHARMA00099	p.285 inscription9 line3; DHARMA line3	https://dharmalekha.info/texts/INSTelugu00099	Date heading and initial underlined-l form visually checked in Sastri PDF312. DHARMA independently reads ḻaccinavānṟu.	Displaced initial apical exists by this source-attributed period; this is earlier than the separately checked Nalajanampāḍu example.	Approximate palaeographic/historical attribution, not an explicit calendar date or date of onset of the rule; original 1933 photograph not newly inspected.	f_25gn6l4p3wcc4;f_3576ij3zrmzmu;f_3jrer7qpze5hy;f_3pzlm2otptthy;f_46r74y5fimnoo;f_5tcnbw3kdi3t2;f_6kvek7fk3duyg;f_6ti3gczkadb2u;f_7bnwo767n4yv6;f_aqkmlq7doeapy;f_aso7ha3awldec;f_cropxsur2pe2e;f_cwqqyju65hzim;f_ds2mybleaipgs;f_ds7sq7ekdyp7i;f_eurt77mlnegxs;f_fcnfhvkrxks6u;f_hdxfkew25iv6q;f_hqtso6fajkysy;f_iatdihof2mqam;f_ivbm3kubj7mya;f_jgrrojlfouohq;f_kfx2dm5gwp46m;f_kn52u7emzdmnm;f_mkj34exhdt4xa;f_mtrdbqrp5ye62;f_nrrwlilkzni24;f_oozpsd4qfi22o;f_owlw6j2uxqope;f_p2a37tfiivx24;f_pqd73havddx3w;f_qooz3ncrvygke;f_qs2urj5owb6fm;f_r2uyzo3msonde;f_rpof6iiwa4pew;f_sxkrvmqgxazzo;f_vuhkzbkkkyaei;f_wd4nh5cchenke;f_wij6kqgv52vqm;f_wuyhftpcw6f6m;f_xem52e4godvse;f_xonjybl36sozy;f_xu2j4zktthn64;f_yh7rap572tgbs;f_z4pu4lzrsjpqa	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
S69-16-destroy	d277	ḻaccina-/ḻacchina-	*aẓ-i-ntt	670–680 CE	670	680	Sastri scholarly attribution	Nalajanampāḍu	Sastri1969; DHARMA00026; Master EI XXVII:203–206	pp.291–292 inscription16 lines18–21; DHARMA lines18,21	https://dharmalekha.info/texts/INSTelugu00026	Date heading and text visually checked; DHARMA apparatus preserves earlier ḍ reading versus current ḻ.	Promoted ḻ precedes later initial ḍ within this family under the accepted reading.	Editorial ḍ/ḻ alternatives are not two attested ancient dialects. Two tokens remain one root and inscription.	f_25gn6l4p3wcc4;f_3576ij3zrmzmu;f_3jrer7qpze5hy;f_3pzlm2otptthy;f_46r74y5fimnoo;f_5tcnbw3kdi3t2;f_6kvek7fk3duyg;f_6ti3gczkadb2u;f_7bnwo767n4yv6;f_aqkmlq7doeapy;f_aso7ha3awldec;f_cropxsur2pe2e;f_cwqqyju65hzim;f_ds2mybleaipgs;f_ds7sq7ekdyp7i;f_eurt77mlnegxs;f_fcnfhvkrxks6u;f_hdxfkew25iv6q;f_hqtso6fajkysy;f_iatdihof2mqam;f_ivbm3kubj7mya;f_jgrrojlfouohq;f_kfx2dm5gwp46m;f_kn52u7emzdmnm;f_mkj34exhdt4xa;f_mtrdbqrp5ye62;f_nrrwlilkzni24;f_oozpsd4qfi22o;f_owlw6j2uxqope;f_p2a37tfiivx24;f_pqd73havddx3w;f_qooz3ncrvygke;f_qs2urj5owb6fm;f_r2uyzo3msonde;f_rpof6iiwa4pew;f_sxkrvmqgxazzo;f_vuhkzbkkkyaei;f_wd4nh5cchenke;f_wij6kqgv52vqm;f_wuyhftpcw6f6m;f_xem52e4godvse;f_xonjybl36sozy;f_xu2j4zktthn64;f_yh7rap572tgbs;f_z4pu4lzrsjpqa	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
S69-38-destroy-D	d277	ḻassi	*aẓ-i-ntt	890 CE	890	890	Sastri source date heading	Bezwada	Sastri1969; EI XV:150–159,366–367	pp.310–311 inscription38 line14	https://archive.org/details/in.ernet.dli.2015.169957	Date heading and line14 visually checked.	Initial ḻ survives in an inflected destroy form at the same period as full forms.	Not proof of identical-form free variation; morphology differs from aḻisina/aḻiputa.	f_25gn6l4p3wcc4;f_3576ij3zrmzmu;f_3jrer7qpze5hy;f_3pzlm2otptthy;f_46r74y5fimnoo;f_5tcnbw3kdi3t2;f_6kvek7fk3duyg;f_6ti3gczkadb2u;f_7bnwo767n4yv6;f_aqkmlq7doeapy;f_aso7ha3awldec;f_cropxsur2pe2e;f_cwqqyju65hzim;f_ds2mybleaipgs;f_ds7sq7ekdyp7i;f_eurt77mlnegxs;f_fcnfhvkrxks6u;f_hdxfkew25iv6q;f_hqtso6fajkysy;f_iatdihof2mqam;f_ivbm3kubj7mya;f_jgrrojlfouohq;f_kfx2dm5gwp46m;f_kn52u7emzdmnm;f_mkj34exhdt4xa;f_mtrdbqrp5ye62;f_nrrwlilkzni24;f_oozpsd4qfi22o;f_owlw6j2uxqope;f_p2a37tfiivx24;f_pqd73havddx3w;f_qooz3ncrvygke;f_qs2urj5owb6fm;f_r2uyzo3msonde;f_rpof6iiwa4pew;f_sxkrvmqgxazzo;f_vuhkzbkkkyaei;f_wd4nh5cchenke;f_wij6kqgv52vqm;f_wuyhftpcw6f6m;f_xem52e4godvse;f_xonjybl36sozy;f_xu2j4zktthn64;f_yh7rap572tgbs;f_z4pu4lzrsjpqa	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
S69-38-destroy-R	d277	aḻisina; aḻiputa	*aẓ-i + tense/voice morphology	890 CE	890	890	Sastri source date heading	Bezwada	Sastri1969; EI XV:150–159,366–367	pp.310–311 inscription38 lines20–21,35	https://archive.org/details/in.ernet.dli.2015.169957	Full aḻ sequence visually checked in the same inscription as ḻassi.	The family has historically coexisting full and displaced formations; no simple replacement of the entire lexical family.	Different morphology leaves analogy, conditioning and lexicalization as competing explanations.	f_25gn6l4p3wcc4;f_3576ij3zrmzmu;f_3jrer7qpze5hy;f_3pzlm2otptthy;f_46r74y5fimnoo;f_5tcnbw3kdi3t2;f_6kvek7fk3duyg;f_6ti3gczkadb2u;f_7bnwo767n4yv6;f_aqkmlq7doeapy;f_aso7ha3awldec;f_cropxsur2pe2e;f_cwqqyju65hzim;f_ds2mybleaipgs;f_ds7sq7ekdyp7i;f_eurt77mlnegxs;f_fcnfhvkrxks6u;f_hdxfkew25iv6q;f_hqtso6fajkysy;f_iatdihof2mqam;f_ivbm3kubj7mya;f_jgrrojlfouohq;f_kfx2dm5gwp46m;f_kn52u7emzdmnm;f_mkj34exhdt4xa;f_mtrdbqrp5ye62;f_nrrwlilkzni24;f_oozpsd4qfi22o;f_owlw6j2uxqope;f_p2a37tfiivx24;f_pqd73havddx3w;f_qooz3ncrvygke;f_qs2urj5owb6fm;f_r2uyzo3msonde;f_rpof6iiwa4pew;f_sxkrvmqgxazzo;f_vuhkzbkkkyaei;f_wd4nh5cchenke;f_wij6kqgv52vqm;f_wuyhftpcw6f6m;f_xem52e4godvse;f_xonjybl36sozy;f_xu2j4zktthn64;f_yh7rap572tgbs;f_z4pu4lzrsjpqa	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
S69-9-locative-disputed	d698	oḷana [older edition] / ēḷan [re-edition]	*uḷ-an versus *ēḷ rule	first quarter of seventh century	600	625	date attributed; lexical reading disputed	Potladurti/Inpuḻōli	Sastri1969; DHARMA00099; Sōmaśēkhara Śarma1933	p.285 n.1; DHARMA apparatus line1 and commentary	https://dharmalekha.info/texts/INSTelugu00099	Sastri rejects oḷana in favor of ēḷan by comparison with reign formulae; DHARMA adopts ēḷaN.	The alleged early locative cannot currently date a full-to-displaced oḷana>lōna sequence.	DEDR does not identify the inscription in its short entry. Another genuine oḷana witness could restore the argument; that source trail remains to be established.	f_2acd7gbhnjeji;f_2auilmzjjh2ra;f_2bdc4shg66e42;f_2boi3ane25j24;f_2bp2mz5goi6hw;f_2z34be5nxr3du;f_3grawm325kb5y;f_3jpa2gwfvioqi;f_4h2kuf5ojtwou;f_4kaeg3rvy3hkq;f_5fah5yobgkzi4;f_5p6lmnf7tulqo;f_6fvufjx3nojgc;f_6ilmxr57hdxcm;f_7ezozibaczzfy;f_7w7qkit2tr3ie;f_a2lw2b4k54t76;f_af27hub3mam2e;f_aulhp4a6slcow;f_ayhicoa4p7a3u;f_aymkfg5kxwxt6;f_b5wxcz5mtcvo2;f_bjokttep4ugls;f_blr5eidwynrds;f_brqugiax2gcck;f_bwoae4wboo3m2;f_d7nt5cu53lgv2;f_dab77ndoiyc24;f_ddbx6vmnqevaw;f_dwo4ruszaecem;f_eb2xalh2uywbw;f_ej4csm5wvecpi;f_evm2y7hrfokp4;f_f4ytbsbzjfg2g;f_fqlub3fqtsjns;f_frf32vbh6wrqi;f_hgivhljxsicus;f_ht5gmk7adngog;f_hxbgatco637ju;f_ihigpda5z4oxw;f_iosxxiegcajis;f_jql2vb4762p4k;f_jymumqejjyxb2;f_jzc4pyvr4e3ug;f_lpgo3xnpfbvne;f_lvspmfaonbyv2;f_mbtrcqwvsgmlg;f_mj4caa423mmbu;f_mmd7mfnehqh5y;f_nds46mrd2xii4;f_nnjdjlsnc5b3q;f_onfc4tgzwneq2;f_ov6adilo5omai;f_oyyt7pub2b5kw;f_oz4ggp4pdrgra;f_ozhdyy22xi2e2;f_p3yhv76xsgb5i;f_pdilycwdj5t2w;f_pdzpvsjar55z2;f_pe3aqev76rtnc;f_pwmrwr6vhdqk6;f_q45kuj6q6t2o4;f_qnh5344wuotdg;f_qzlfzcpiko5um;f_r3gztr3fefj7q;f_rdyqdqg6ppfbw;f_rgijp4qu2zxpg;f_rvehenjyoaf5a;f_sb4b3fvtvxke4;f_tjpx4unomcsdu;f_ub7shur2par2o;f_uettnapv3hraw;f_uo43fuchdwqyg;f_uzwvtzsgnnaue;f_v7rbzp5g5wprc;f_vem2twv6fuoua;f_vvnp54c2jokzo;f_wa7h2zqfd3dxe;f_wogetuaea2qa6;f_wpmbukhc5n55u;f_wv5ssecogoxge;f_wy5y4gnvlribc;f_xokid5xrumxqg;f_y2gci5kw6rn2y;f_y3sylzmdbbfge;f_yaieas427pj2g;f_yi5vty6msmdiy;f_zzzydx5ufatfk;research:d698-telugu-lona	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
DEDR698-lona	d698	ḷōna	*uḷ-an	ninth–tenth century	800	999	dictionary date claim; inscription not localized	unspecified	DEDR1984	entry698 p.68	https://dsal.uchicago.edu/dictionaries/burrow/	DEDR page directly checked; date belongs to ḷōna, while plain lōna is undated.	Provisional historical displacement evidence; do not assign preceding seventh-century parenthesis to modern lōna.	Inscription identity and original reading remain unverified; not a primary dated attestation in this audit.	f_2acd7gbhnjeji;f_2auilmzjjh2ra;f_2bdc4shg66e42;f_2boi3ane25j24;f_2bp2mz5goi6hw;f_2z34be5nxr3du;f_3grawm325kb5y;f_3jpa2gwfvioqi;f_4h2kuf5ojtwou;f_4kaeg3rvy3hkq;f_5fah5yobgkzi4;f_5p6lmnf7tulqo;f_6fvufjx3nojgc;f_6ilmxr57hdxcm;f_7ezozibaczzfy;f_7w7qkit2tr3ie;f_a2lw2b4k54t76;f_af27hub3mam2e;f_aulhp4a6slcow;f_ayhicoa4p7a3u;f_aymkfg5kxwxt6;f_b5wxcz5mtcvo2;f_bjokttep4ugls;f_blr5eidwynrds;f_brqugiax2gcck;f_bwoae4wboo3m2;f_d7nt5cu53lgv2;f_dab77ndoiyc24;f_ddbx6vmnqevaw;f_dwo4ruszaecem;f_eb2xalh2uywbw;f_ej4csm5wvecpi;f_evm2y7hrfokp4;f_f4ytbsbzjfg2g;f_fqlub3fqtsjns;f_frf32vbh6wrqi;f_hgivhljxsicus;f_ht5gmk7adngog;f_hxbgatco637ju;f_ihigpda5z4oxw;f_iosxxiegcajis;f_jql2vb4762p4k;f_jymumqejjyxb2;f_jzc4pyvr4e3ug;f_lpgo3xnpfbvne;f_lvspmfaonbyv2;f_mbtrcqwvsgmlg;f_mj4caa423mmbu;f_mmd7mfnehqh5y;f_nds46mrd2xii4;f_nnjdjlsnc5b3q;f_onfc4tgzwneq2;f_ov6adilo5omai;f_oyyt7pub2b5kw;f_oz4ggp4pdrgra;f_ozhdyy22xi2e2;f_p3yhv76xsgb5i;f_pdilycwdj5t2w;f_pdzpvsjar55z2;f_pe3aqev76rtnc;f_pwmrwr6vhdqk6;f_q45kuj6q6t2o4;f_qnh5344wuotdg;f_qzlfzcpiko5um;f_r3gztr3fefj7q;f_rdyqdqg6ppfbw;f_rgijp4qu2zxpg;f_rvehenjyoaf5a;f_sb4b3fvtvxke4;f_tjpx4unomcsdu;f_ub7shur2par2o;f_uettnapv3hraw;f_uo43fuchdwqyg;f_uzwvtzsgnnaue;f_v7rbzp5g5wprc;f_vem2twv6fuoua;f_vvnp54c2jokzo;f_wa7h2zqfd3dxe;f_wogetuaea2qa6;f_wpmbukhc5n55u;f_wv5ssecogoxge;f_wy5y4gnvlribc;f_xokid5xrumxqg;f_y2gci5kw6rn2y;f_y3sylzmdbbfge;f_yaieas427pj2g;f_yi5vty6msmdiy;f_zzzydx5ufatfk;research:d698-telugu-lona	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
DHARMA40-two	d474	rēṇḍ-agun	*ir-aṇṭ	Vijayāditya-Satyāśraya regnal year2			regnal date in text; calendar not independently fixed here	Niṭūru/Nitturu	DHARMA00040; Ramesh and Ramachandra Murthy1969–1970	edition line3; first edition p.335 item56C	https://dharmalekha.info/texts/INSTelugu00040	Edition writes long ē in rēṇḍ; the adjacent reign formula supplies year2.	Supports investigating an earlier long numeral stage before modern reṇḍu shortening.	Quantity in this transcription still needs independent photograph checking; do not transfer the editor’s quantity inference for nearby ḷēnṟu onto the numeral.	f_2htxvumaoczjw;f_2iagqnw3w5dc6;f_2junmoyl5wchg;f_2otc2n4oki5tc;f_2xk5vt5pjy6ys;f_2yxyo7i2s75mm;f_2zzfvccab3da2;f_35cafdtg2ol7c;f_3kg26h5xo4kpy;f_3miebjiduzjhs;f_3sstqpi3xjjp6;f_3w4rign3e6lc4;f_3wjoqyro7qpio;f_3xd474yyxdmoy;f_4bggqyrrcmu2k;f_4f2bibvi4ywum;f_4jdppn6zotnaq;f_4ujr5t55avg66;f_4xs4whejdseva;f_52sbmxkkfxfkm;f_5egvwoutbvn6g;f_5ocfcgyjh7fve;f_5p5utkdorocba;f_65qhyabhcuwaw;f_6c6a36yd4iybo;f_6esbvixqsbbvk;f_6mmynwulah36y;f_6vkvokeg5nmde;f_6xkazao4hpvso;f_6xorktlncefxg;f_7ructhr44g7do;f_aa5l6x62psmoo;f_aagqw7isbb35q;f_aawymyurxihtk;f_agjkcncjynvmg;f_akoqrejsmneky;f_auyebxidqql5e;f_b2hmstg7xgsti;f_b3l3btxzgyqek;f_b5gghf4cz26gg;f_b5nonjcza5skq;f_bdcgvbqvx3yao;f_bgaj4lyyj2qlw;f_bkhd5wmrnsjt4;f_bkmzkfds72qbk;f_c2fabhodic6yq;f_cesnbtvb4fmwe;f_coxpcpoti3mde;f_cxsysiioirgdm;f_cyhks7lm54mco;f_d3hrlwqjanqya;f_d7m5tmfvjbsyy;f_dgw5tjtzepqrq;f_dkv3msdilo4cm;f_donlk4im7tku4;f_duodxpzbx2yu4;f_el5ulz7maokwq;f_fhiknlparlvea;f_fqoeiv3e7odos;f_gcdoqvcgc25zc;f_gwoac5awufmli;f_h6fzzkpgebnry;f_h7vk5w5b7ziog;f_hhykoabjaubsa;f_hr26alt7u7jpq;f_hwos3ufquhlra;f_i3k7naryq6kzm;f_ieuhfmtmpzwti;f_ievjyuqv3lpo6;f_irnm7xhblfrlg;f_jnrqb3jdai5di;f_joeoyee2uzciw;f_jzp6l3vyzyn7i;f_kbg3yknw34jzo;f_kcs6jti26owjy;f_ks72grk3w7xf2;f_kvt72m7dfclxy;f_kxnnjcq7updo4;f_loqzfkigpxnik;f_lzqfvjg5duzt4;f_m27cihx7zih2g;f_m2z2lsic2ukum;f_m6cqmkid43sga;f_mlhqylm6o3iwi;f_munkzha3escdo;f_mxpdpxhyld2au;f_n2cdyoyequmy6;f_nd65wumcxzsig;f_nlnrly47mdwn4;f_nul3jlftuzzjw;f_nyulryitzqlzw;f_o3zokqfcsexag;f_ocvrw33ejjrv2;f_oe6q3ejfw2o3e;f_oex45gd7afxey;f_ogfwbphwzubb4;f_ooyxjobnfop3o;f_oxwetupj6asce;f_p3l4befd5utdw;f_pd24emkodpekq;f_pd6ynb3gv5lhi;f_pdzvclpjn7zzm;f_pit6gjuejobkk;f_pt2oxbdefvt6q;f_q4fyyjq77iwjq;f_q6wfntobzydj6;f_q7jfllz5n4vxo;f_qgafogajc4lzg;f_qk6m37whvvx2u;f_qkicfxp5fal3y;f_qwhxmonsllthe;f_qznjy2zdzigrk;f_rhi7jq7vdh7sc;f_rpj6imhgfkuxy;f_rppvkw4p7rztq;f_sd3gk5bqoahdg;f_sdgec5kn3rzba;f_sedlgctyzady6;f_shooci3xpjwrs;f_snamixzafxgqq;f_sp6x4vguvmszc;f_sqopuax454jho;f_t4eg3wfs3xg4a;f_t4fv2rxh23hb2;f_t4nykx6ip5ofm;f_t4yunmfy6pzri;f_t5cyidcgxsjt6;f_ta4fmdrsrks32;f_tenzrziwuwb2m;f_tgwe7fbjauakk;f_tv24kkkcjzkto;f_ua2irm5fjngua;f_vaoil3ueyirhs;f_veygqvvhdsx5s;f_vfvgfqslu3kc6;f_vh5vzdgn37xfo;f_vorxc7qp36k2g;f_vrfhh66g5z4xo;f_vucncpuf5siau;f_vvzn3vbr3hb66;f_w35imn2kras7u;f_woifafo7ddlua;f_wp5hwfzv254ki;f_wplj5srpvigsi;f_wpvmkaw3h6cwe;f_wwv6yutn5buko;f_wyg74yjoagwvs;f_x26fnyv4zsyvu;f_x7jng6segu3ae;f_x7l5fgvfgttnk;f_xekoscnpf47dw;f_xnhaqzmt5zqsk;f_xwyobbaskdwhs;f_xzsthsw4u7jr4;f_ydszvn3jbiuqm;f_yf4yrfg6p343i;f_yi4m4t6h6opl6;f_ysydt7kpktbny;f_ytzdpwg4bzk5m;f_yv4ji477sebk4;f_yvndfflbpaf7u;f_z246meby657z2;f_z5ajuco5x43ak;f_zibovlgfi3zdk	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
DHARMA40-young	d513	ḷēnṟurājula / ḷenṟurājula	*i/eḷ-a + human nṟu	Vijayāditya-Satyāśraya regnal year2			regnal date; disputed vowel quantity	Niṭūru/Nitturu	DHARMA00040; Ramesh and Ramachandra Murthy1969–1970	edition line4; apparatus; first edition p.335 item56C	https://dharmalekha.info/texts/INSTelugu00040	Current editor proposes long ē partly from metathesis theory; older edition has short e.	Initial lateral title is relevant to displacement; its long vowel cannot independently validate the contraction rule when the rule motivated the reading.	New image or estampage inspection could independently resolve quantity. Do not treat the two editorial readings as chronological stages.	f_3yljxru5w3mms;f_4fgjamgrfvuss;f_4gqrkfhsf7gas;f_4t2liwibfr4zy;f_4xrs7vfz3i2im;f_5acjxas55yfwu;f_5cfnj2eapbg6e;f_5uslnslta2kdw;f_6u5h5vx3uq25m;f_6xvok7zn5gbls;f_72th6h7flqpme;f_7fovllgpns4t2;f_7kxivks57dpzg;f_a64vayiytb3ak;f_byb3yxzsrgbcc;f_czft6rxhgiyig;f_d5kcw6hrz2qbi;f_d5mcgigawl5qe;f_dn7okddclbzhs;f_e6qkgtul43m5k;f_ejrg7mghib4h6;f_epnkzlas6c34q;f_fiihrkxxiyzvs;f_gfmhouvqqotxo;f_h55dqkqddalhw;f_ht6uh3jcevo3c;f_hvbl6q7rtshlk;f_hw22a5a5ksahe;f_iidp2lwtlxkrw;f_jml4l7pw64toa;f_joc6gagu7atqe;f_kgoxco2l2iede;f_nkx7suqlm5peu;f_oiejzkyy3dxau;f_owd3lz4o65foo;f_p6krsvjodw4nc;f_pn222ytdqcfqa;f_pq5dukxgtm6k6;f_px5k3t4ubepke;f_q3ju4fimnq77c;f_qhvksitcdkqgc;f_rkcyvzxdzws3u;f_sjexsjksaokeg;f_td5tw434rhrw4;f_tpzjp4lc64hq2;f_tthkyznga3ouu;f_tzc436vfkqogm;f_u4hgt3tqsx7ds;f_vcvuykvu23v4s;f_vfhmtesu22rzc;f_w2n33fbygkrww;f_w4njmpl4qkzzu;f_wici5poy4zz5i;f_wv3fs6rbkubcq;f_wzfamlgyqm45q;f_xanpmdfasmauw;f_ykrwxz4m6gqzq;f_yukt2ixlwlxqy;f_z3v2ghe3dalgo;f_zjk4o27l2pyyq	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
DHARMA38-young	d513	chāḷkiḷēṁṟurājuL	*i/eḷ-a + human title	Vinayāditya-Satyāśraya regnal year10			regnal date in text	NiṭūraN in text; findspot to verify	DHARMA00038; Ramesh and Ramachandra Murthy1969–1970	edition lines5–8; first edition p.333 item56A	https://dharmalekha.info/texts/INSTelugu00038	The edition preserves a second initial-lateral title; commentary compares Kannada eḷa-arasar prince.	Supports a morphological young/prince comparison, distinct from a place-name derivation from Lendulūru.	Calendar equation and exact quantity require first-edition/image audit; no new absolute date asserted.	f_3yljxru5w3mms;f_4fgjamgrfvuss;f_4gqrkfhsf7gas;f_4t2liwibfr4zy;f_4xrs7vfz3i2im;f_5acjxas55yfwu;f_5cfnj2eapbg6e;f_5uslnslta2kdw;f_6u5h5vx3uq25m;f_6xvok7zn5gbls;f_72th6h7flqpme;f_7fovllgpns4t2;f_7kxivks57dpzg;f_a64vayiytb3ak;f_byb3yxzsrgbcc;f_czft6rxhgiyig;f_d5kcw6hrz2qbi;f_d5mcgigawl5qe;f_dn7okddclbzhs;f_e6qkgtul43m5k;f_ejrg7mghib4h6;f_epnkzlas6c34q;f_fiihrkxxiyzvs;f_gfmhouvqqotxo;f_h55dqkqddalhw;f_ht6uh3jcevo3c;f_hvbl6q7rtshlk;f_hw22a5a5ksahe;f_iidp2lwtlxkrw;f_jml4l7pw64toa;f_joc6gagu7atqe;f_kgoxco2l2iede;f_nkx7suqlm5peu;f_oiejzkyy3dxau;f_owd3lz4o65foo;f_p6krsvjodw4nc;f_pn222ytdqcfqa;f_pq5dukxgtm6k6;f_px5k3t4ubepke;f_q3ju4fimnq77c;f_qhvksitcdkqgc;f_rkcyvzxdzws3u;f_sjexsjksaokeg;f_td5tw434rhrw4;f_tpzjp4lc64hq2;f_tthkyznga3ouu;f_tzc436vfkqogm;f_u4hgt3tqsx7ds;f_vcvuykvu23v4s;f_vfhmtesu22rzc;f_w2n33fbygkrww;f_w4njmpl4qkzzu;f_wici5poy4zz5i;f_wv3fs6rbkubcq;f_wzfamlgyqm45q;f_xanpmdfasmauw;f_ykrwxz4m6gqzq;f_yukt2ixlwlxqy;f_z3v2ghe3dalgo;f_zjk4o27l2pyyq	IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
S69-20-Durga	loan-Durga	Druggādēvi / druggādēvi	Sanskrit Durgā > adapted *Durgga	c.681 CE	681	681	Sastri approximate date attribution	Lakshmipuram, Kistna district	Sastri1969; DHARMA00101; Prabhākaraśāstri1928	p.294 inscription20 line9; DHARMA line9 and commentary	https://dharmalekha.info/texts/INSTelugu00101	Sastri date heading and Druggādēvi visually checked; DHARMA gives a matching reading in a grant under Maṅgiyuvarāja.	A borrowed Sanskrit name exhibits displacement/cluster restructuring during the early inscriptional period.	Distinct from SII V1217 dated1290 cited elsewhere by Sastri. Geminate gg may preserve quantity or reflect prior repha-related strengthening; exact sequence not proved.		IDs are the comparative etymon panel, not a claim that the historical token itself is already a database record.
