family_id	input	input_basis	input_vowel	cluster	form	source	dialect	observed	record_id	analysis	unresolved	scope
722	álpa	nearest-formation	a	lp	aápo	degener-shina2008	gil	L	f_q67ynpv7gvpow	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.	Gilgit quantity and mora accent should be checked against its paradigm and other sources; the old short a does not itself predict late rather than early compensation.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
919	áśru	nearest-formation	a	śr	aá~ṣo	degener-shina2008	gil	L	f_w77vmlo52mkl2	Gilgit aá~ṣo has a late long initial vowel before an unaccented o despite old initial short accent. Together with ‘few’ and ‘hot’, it suggests a class of long vowels created after old consonant clusters. The preserved old root accent locus and changed within-vowel alignment must be coded separately.	Nasalization and śr reduction may have produced the compensatory mora; a single modern citation cannot establish its exact timing.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
2387	úṣṭra	nearest-formation	u	ṣṭr	úu~ṭ	degener-shina2008	gil	E	f_76xqa7cucj7ps	Gilgit úu~ṭ has early long accent, compatible with old root prominence through ṣṭr simplification. Since old u was short, the long vowel needs compensation or lexical/contact history; it cannot be cited as retention of an old long vowel. Camel vocabulary also circulates across neighboring Indo-Aryan languages, so the source alone does not date the quantity change.	Determine whether nasalization and length entered together and whether the form is inherited or borrowed before using it to define a cluster law.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5075	*jakka	nearest-formation	a	kk	jáako	schmidt	koh	E	f_kgosywjuo6p3a	Gilgit jakúr has final short-root accent, Kohistani jáako is early-long, Astori jaáko late-long, and Guresi jakúu has final early-long prominence. The extra r and differing final vowels demonstrate multiple formations, while the Kohistani/Astori pair differs in mora alignment with similar surface shape. The unaccented expressive root does not independently predict any of these accents.	Read hair mass/unit and case paradigms and test the same-shape Kohistani/Astori contour difference explicitly.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5075	*jakka	nearest-formation	a	kk	jaáko	schmidt	Astor	L	f_fuolxg5ucz2ea	Gilgit jakúr has final short-root accent, Kohistani jáako is early-long, Astori jaáko late-long, and Guresi jakúu has final early-long prominence. The extra r and differing final vowels demonstrate multiple formations, while the Kohistani/Astori pair differs in mora alignment with similar surface shape. The unaccented expressive root does not independently predict any of these accents.	Read hair mass/unit and case paradigms and test the same-shape Kohistani/Astori contour difference explicitly.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5355	*jhalla	nearest-formation	a	ll	jeél	schmidt	gil	L	f_rjhzcn3hasv74	Gilgit/Kohistani/Guresi jeél consistently has late long-vowel prominence, while the reconstructed old bush word has short a and no accent. Cluster reduction, fronting and loss of aspiration must precede or accompany the modern long vowel. The agreement offers a potential newly long late class beyond Gilgit, but requires an independently supported intermediate.	Read paradigms and the front-vowel history and compare Chilas zol separately.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5355	*jhalla	nearest-formation	a	ll	jeél	schmidt	koh	L	f_qndw37rkbceha	Gilgit/Kohistani/Guresi jeél consistently has late long-vowel prominence, while the reconstructed old bush word has short a and no accent. Cluster reduction, fronting and loss of aspiration must precede or accompany the modern long vowel. The agreement offers a potential newly long late class beyond Gilgit, but requires an independently supported intermediate.	Read paradigms and the front-vowel history and compare Chilas zol separately.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5355	*jhalla	nearest-formation	a	ll	jeél	schmidt	gur	L	f_7535oc6i6yep2	Gilgit/Kohistani/Guresi jeél consistently has late long-vowel prominence, while the reconstructed old bush word has short a and no accent. Cluster reduction, fronting and loss of aspiration must precede or accompany the modern long vowel. The agreement offers a potential newly long late class beyond Gilgit, but requires an independently supported intermediate.	Read paradigms and the front-vowel history and compare Chilas zol separately.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5589	*ḍhiḍḍha	nearest-formation	i	ḍḍh	ḍeér	schmidt	Astor	L	f_jddqte4dt6lyk	Palula ḍheér and Shina ḍeér agree in late long-root prominence despite source variation in retroflex notation. Kalkoti ḍä̀är is explicitly Low in both modern tone analyses, plausibly associated with lost voiced aspiration. The old variant family has different quantities and no independently marked accent, so the shared late contour and Kalkoti Low must be analyzed as separate dimensions.	Read the exact old variant selection and noun paradigms and compare aspiration-loss Low without assuming it predicts mora alignment.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5589	*ḍhiḍḍha	nearest-formation	i	ḍḍh	ḍeér	schmidt	gil	L	f_ls3d3uvhxr7mg	Palula ḍheér and Shina ḍeér agree in late long-root prominence despite source variation in retroflex notation. Kalkoti ḍä̀är is explicitly Low in both modern tone analyses, plausibly associated with lost voiced aspiration. The old variant family has different quantities and no independently marked accent, so the shared late contour and Kalkoti Low must be analyzed as separate dimensions.	Read the exact old variant selection and noun paradigms and compare aspiration-loss Low without assuming it predicts mora alignment.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
