family_id	formation	input	analysis	unresolved	status	annotation_history	revision_reason
43	old-number-or-gender-formation	ákṣi; independently attested accented dual akṣī́ is the pertinent alternative	Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	formation-supported	"[""family_annotations.jsonl:1"", ""annotation_revisions_12.jsonl:1""]"	Integrate the primary2013 eye Low classification without erasing the separate unmarked long-final citation.
65	compound-contraction	agniṣṭhá; compare the feminine and -ikā derivatives explicitly included in Turner	Palula aṅgúṭ/angúṭ is accented on the final surviving syllable. This is compatible with right-edge docking after loss of the old final accented vowel, but not a transparent segment-by-segment continuation: the agni- sequence and the vowel u require contraction or remodeling. A compound with a locative/fireplace meaning independently fits the semantics.	Neither u nor the exact immediate fire-place formation is established; a positive accent correspondence cannot settle the etymology.	segmental-history-open	"[""family_annotations.jsonl:2""]"	
100	extended-nominal	aṅká plus an independently identifiable modern u/a nominal formation; an old extension remains reconstructed	Palula áangu/Strand ʹângu is a root-accented u-stem despite old oxytone aṅká. The early long aa is compatible with lengthening of an accented short root vowel in an open syllable after extension. Hook to curved sickle is a plausible semantic specialization. It is not evidence that every old final accent simply retracted unchanged.	The segmental/morphological source of final u must be distinguished from a directly attested Sanskrit -aka derivative.	extension-compatible	"[""family_annotations.jsonl:3""]"	
125	unextended-nominal-with-later-long-vowel	áṅgāra	Palula angóor, Biori angáar and Gilgit hagáar all accent the inherited medial long vowel early. Guresi aṅgáaru shows the same locus with a retained ending. Old initial short á precedes long ā, so a quantity-sensitive transfer to the later long nucleus predicts the shared innovation. Ashret raising ā to oo postdates this transfer; nasal-cluster simplification and h-prothesis vary separately.	Test attraction on all comparable old short-plus-long inputs, including formations in which an apparent later long vowel belongs to a productive suffix.	diagnostic-attraction	"[""family_annotations.jsonl:4""]"	
131	feminine-derivative	aṅgāryā́ / *aṅgāriyā	Palula angeerí continues a final-accented feminine/collective charcoal formation. The final short í and stem ee distinguish it from root-accented angóor ‘fire’. Earlier feminine i/y can explain fronting of the old long a, and the final accent belongs to the derivative rather than to the base's inherited accent.	The relative contributions of i-umlaut, vowel shortening and the exact -yā/-iyā formation are not uniquely determined from the citation.	derivative-accent-compatible	"[""family_annotations.jsonl:5""]"	
135	gender-and-stem-variants	aṅgúli/aṅgúri versus the separate *aṅgūḍi formation	Palula angúṛu and Strand angʹuṛi retain accent on the old medial vowel while differing in gender/sense (thumb versus finger). Gilgit hagúi similarly preserves u prominence through intervocalic consonant loss. Guresi/Astori final íi or nasalized final vowels need the coalescence of ui and feminine endings; they cannot be coded as a simple shared shift to a new suffix. Kundal ɛŋgil is an unmarked compressed cognate candidate already linked in the database.	The distinction between short aṅgúli and reconstructed long *aṅgūḍi must be maintained; printed haguí versus hagúi is a source-level locus difference.	formation-and-contraction	"[""family_annotations.jsonl:6""]"	
137	extended-nominal	aṅguṣṭhá with an attested alternate aṅgúṣṭha accent in Turner	Gilgit agúto/hagúṭo, Guresi oṅúu~tu and Astori aṅúu~to share accent on the final root nucleus before o/u. Kohistani hagúu loses more final material. The old entry itself supplies both final and medial accent, making this weaker evidence for innovation than a single headword suggests. Early long uu versus short u varies with cluster reduction; it must not be pooled as identical quantity.	The origin and date of the u/o formation and dialectal compensation remain to be established. The isolated Sauji record ṭh is a transcription fragment, not a word outcome.	input-variant	"[""family_annotations.jsonl:7""]"	
145	feminine-contraction	feminine ajā́, with possible -akā/-ikā extension, rather than masculine ajá alone	Shina ái ‘she-goat’ belongs to the feminine paradigm. Loss of j and coalescence yield a diphthong with initial prominence; the two written vowel qualities do not encode the early/late contrast of a doubled long monophthong. Brokskat ā is unmarked. This is a feminine contraction problem, not a clean counterexample to the accent of masculine ajá.	The relative role of inherited ajā́ versus extended feminine formations is unresolved; independent Gilgit inflections need to control the glide.	formation-and-contraction	"[""family_annotations.jsonl:8""]"	
192	vowel-final-nominal	áṇu ‘millet’	Strand ʹâṇu preserves initial accent and a final unaccented u. Lengthened initial a with early accent fits the Palula open-syllable short-a lengthening class. The crop identification is uncertain but the lexical botanical meaning remains compatible.	Only an older modern accent authority is present here; do not substitute the unrelated sense ‘minute’ from the homonymous Sanskrit adjective.	retention-compatible	"[""family_annotations.jsonl:9""]"	
227	verbal-paradigm	átyēti / *átiyēti; the modern citation forms are not all the same paradigm cell	Palula áača/áače is an accented verbal citation/imperative formation, while Gilgit ač- is an unaccented dictionary stem and achoiki an infinitive. Initial Palula prominence is compatible with old átyēti after ty coalescence, but an infinitive's suffix accent is an independent morphological outcome. A headword-to-headword retention percentage would mix cells.	Compare finite and imperative cells explicitly before claiming accent retention or a historical shift.	paradigm-required	"[""family_annotations.jsonl:10""]"	
