concept,group,linked,observed,dardic_family,plains_family,dardic_family_share,plains_family_share,other_share
RAW,dardic,12,12,āmá,*kacca,0.7361111111111112,0.027777777777777776,0.23611111111111105
RAW,plains,11,12,āmá,*kacca,0.09090909090909091,0.787878787878788,0.1212121212121211
WOOL,dardic,11,12,pákṣman,ū́rṇā,0.5909090909090909,0.09090909090909091,0.31818181818181823
WOOL,plains,15,15,pákṣman,ū́rṇā,0.02222222222222222,0.8555555555555556,0.12222222222222212
MOUSTACHE,dardic,11,16,*pʰuŋga,*muccʰā,0.7272727272727273,0.0,0.2727272727272727
MOUSTACHE,plains,15,18,*pʰuŋga,*muccʰā,0.0,0.7666666666666667,0.23333333333333328
LONG,dardic,20,22,dīrgʰá,lamba,0.875,0.05,0.07499999999999996
LONG,plains,41,71,dīrgʰá,lamba,0.17073170731707318,0.6991869918699186,0.13008130081300817
WATER,dardic,22,23,udaká,pānī́ya,0.6363636363636364,0.1590909090909091,0.20454545454545459
WATER,plains,44,75,udaká,pānī́ya,0.0,0.8238636363636366,0.17613636363636342
IRON,dardic,13,15,cīmara,lōhá,0.9615384615384616,0.0,0.038461538461538436
IRON,plains,17,36,cīmara,lōhá,0.0,0.5558823529411764,0.4441176470588236
RIVER,dardic,13,22,síndʰu,nadī́,0.46153846153846156,0.23076923076923078,0.3076923076923077
RIVER,plains,31,60,síndʰu,nadī́,0.0,0.8064516129032258,0.19354838709677424
UNRIPE,dardic,11,12,āmá,*kacca,0.7727272727272727,0.09090909090909091,0.13636363636363635
UNRIPE,plains,15,16,āmá,*kacca,0.0,0.7666666666666667,0.23333333333333328
SOUR,dardic,15,16,cukrá,kʰaṭṭa,0.6555555555555554,0.0,0.34444444444444455
SOUR,plains,21,26,cukrá,kʰaṭṭa,0.03571428571428571,0.5595238095238095,0.40476190476190477
