class_id	family_or_unlinked_member	language	forms	outcomes	selected_class_tokens	all_counterpart_tokens	strict_exclusions	interpretation	family_analysis
short-a-without-h	11392	Sh	"[""baríš [year; schmidt; gil]"", ""baríṣ [year; degener-shina2008; gil]"", ""bărĭ́ṣ [year; CDIAL; Sh]"", ""bărĭẓí [year; CDIAL; Sh]"", ""ˈbʌrɪṣ̌ [year; backstrom1992; gil]"", ""ˈbʌ̱rɪṣ̌ [year; backstrom1992; punl]"", ""ˈbʌẓ̌ɪṣ̌ [year; backstrom1992; dr]""]"	"[""S@-1"", ""stress-marked@-2"", ""syllable-marked@-1""]"	[]	"[""f_qkbssav7pahok"", ""f_5laiuvv6ks6rq"", ""f_w4kbnrsfhicaa"", ""f_7p4l3rwqhfj7c"", ""f_wmd3pd5baljx6"", ""f_2lfuzjj4vobym"", ""f_dl5dhtmf2jvfy""]"	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.
short-a-without-h	11392	Phal	"[""baṣ [; CDIAL; Phal]"", ""baṣ [rain; liljegren; biori]"", ""báaṣ [rain; liljegren; Phal]"", ""béeriṣ [summer; liljegren; Phal]"", ""bāṣ [; CDIAL; Phal]"", ""bʹâṣ [rain; strand; Phal]"", ""bʹêriṣ [summer; strand; Phal]"", ""bέriṣ [summer; CDIAL;NOPhal;AO; Phal]"", ""bḗriṣ [summer; CDIAL; Phal]""]"	"[""E@-1"", ""E@-2"", ""short-monosyllable"", ""syllable-marked@-2"", ""unmarked""]"	"[""f_faznsewj7ozfc"", ""f_sd3by4vn576ps""]"	"[""f_hlcniciqbqota"", ""f_k7xdqo2c4lmhs"", ""f_6s4prgkcslwmk"", ""f_lyjyhdsdkgq4i"", ""f_faznsewj7ozfc"", ""f_sd3by4vn576ps"", ""f_hgkqhem2v3plw"", ""f_l3wo5yfhggnrg"", ""f_5rwp7bphhqhcq""]"	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.
short-a-without-h	11392	Sv	"[""baːriʂ [year; knobloch2020sauji; HKAT-sdg]"", ""baṣ [; CDIAL; Sv]""]"	"[""unmarked""]"	[]	"[""f_gg72sowbwk5yq"", ""f_6rj64aja4zqjq""]"	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.
short-a-without-h	11392	Kalk	[]	[]	[]	[]	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.
short-a-without-h	11392	Kund	[]	[]	[]	[]	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.
short-a-without-h	11392	bro	[]	[]	[]	[]	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.
short-a-without-h	11392	Ush	[]	[]	[]	[]	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.
short-a-without-h	2892	Sh	"[""kom [work; CDIAL;schmidt; koh]"", ""kom [work; deed; degener-shina2008; gil]"", ""kom [work; schmidt; gil]"", ""krom [work; schmidt; Astor]"", ""krom [work; schmidt; dr]"", ""krom [work; schmidt; gur]"", ""kro̯m [; CDIAL; gil]"", ""kōm [; CDIAL; pales]""]"	"[""short-monosyllable"", ""unmarked""]"	[]	"[""f_paanevsa762nq"", ""f_mahsirkohufp2"", ""f_c5ym73m6qq4wk"", ""f_ialhfymtrbuju"", ""f_zfpqqjo7e55ui"", ""f_fxc76d6d4weku"", ""f_tso6di4dfavua"", ""f_6pibo6y53wjna""]"	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Biori kram beside inflected kráama, and Ashret kráam, separate an older open-syllable lengthening layer from later Ashret closed-syllable lengthening. Metathesis moves r into the onset before this comparison. Shina kom/krom and Kalkoti traam share the work sense but have independent r-cluster and nasal-vowel developments. A single citation-form mora table must be supplemented by the Biori paradigm, which is the most diagnostic evidence.
short-a-without-h	2892	Phal	"[""kram [; CDIAL; Phal]"", ""kram [work; deed, behaviour; liljegren; biori]"", ""kráam [work; deed, behaviour; liljegren; Phal]"", ""krʹâm [work; strand; Phal]""]"	"[""E@-1"", ""short-monosyllable"", ""unmarked""]"	"[""f_7hyftv5pgyvaa"", ""f_y5nhy3rinzx7u""]"	"[""f_eea2v3gnzkjuu"", ""f_7hyftv5pgyvaa"", ""f_y5nhy3rinzx7u"", ""f_ivvvia6ajzwcm""]"	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Biori kram beside inflected kráama, and Ashret kráam, separate an older open-syllable lengthening layer from later Ashret closed-syllable lengthening. Metathesis moves r into the onset before this comparison. Shina kom/krom and Kalkoti traam share the work sense but have independent r-cluster and nasal-vowel developments. A single citation-form mora table must be supplemented by the Biori paradigm, which is the most diagnostic evidence.
short-a-without-h	2892	Sv	"[""kraam [work; knobloch2020sauji; HKAT-sdg]"", ""kᵊram [; CDIAL; Sv]""]"	"[""unmarked""]"	[]	"[""f_sprnsjet4joha"", ""f_evr55woqhnocs""]"	[]	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.	Biori kram beside inflected kráama, and Ashret kráam, separate an older open-syllable lengthening layer from later Ashret closed-syllable lengthening. Metathesis moves r into the onset before this comparison. Shina kom/krom and Kalkoti traam share the work sense but have independent r-cluster and nasal-vowel developments. A single citation-form mora table must be supplemented by the Biori paradigm, which is the most diagnostic evidence.
