Source	Category	N_Published_Pairs	Denominator_All_Published_Pairs	Proportion
Kujur and Dash2025 pp.118–119	CC-reversal-plausible	2	30	0.066667
Kujur and Dash2025 pp.118–119	CV-reversal-plausible	1	30	0.033333
Kujur and Dash2025 pp.118–119	CV-reversal-plus-vowel-change	1	30	0.033333
Kujur and Dash2025 pp.118–119	aspiration-migration-plausible	1	30	0.033333
Kujur and Dash2025 pp.118–119	compound-restructuring-uncertain	1	30	0.033333
Kujur and Dash2025 pp.118–119	contraction-or-vowel-reordering	1	30	0.033333
Kujur and Dash2025 pp.118–119	initial-CV-reversal-plausible	2	30	0.066667
Kujur and Dash2025 pp.118–119	laryngeal-migration-plausible	2	30	0.066667
Kujur and Dash2025 pp.118–119	morphological-allomorph-selection	1	30	0.033333
Kujur and Dash2025 pp.118–119	morphological-or-lexical-uncertainty	2	30	0.066667
Kujur and Dash2025 pp.118–119	no-order-change	1	30	0.033333
Kujur and Dash2025 pp.118–119	reversal-or-syncope-lengthening	1	30	0.033333
Kujur and Dash2025 pp.118–119	reversal-plus-consonant-change	3	30	0.1
Kujur and Dash2025 pp.118–119	reversal-plus-vowel-change	1	30	0.033333
Kujur and Dash2025 pp.118–119	source-internally-inconsistent	1	30	0.033333
Kujur and Dash2025 pp.118–119	syncope-final-vowel-alternative	9	30	0.3
