item	gloss	nom_singular	nom_plural	obl_singular	obl_plural	input_formation	observed_pattern	source	table	page	db_gloss_candidate_ids	analysis
1	hair	báal	báal	báal	báalan	ordinary-noun	fixed-stem	Rehman and Baart, draft 9 January 2004	10	11	"[""f_4evkbdmwabof4""]"	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
2	path	gɔ́ɔr	gɔ́ɔr	gɔ́ɔr	gɔ́ɔran	ordinary-noun	fixed-stem	Rehman and Baart, draft 9 January 2004	10	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
3	dog	kucúr	kucúr	kucúr	kucúran	ordinary-noun	fixed-stem	Rehman and Baart, draft 9 January 2004	10	11	"[""f_ifnjxur4qgdca""]"	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
4	day	díiz	díiz	díiz	díizin	ordinary-noun	fixed-stem	Rehman and Baart, draft 9 January 2004	10	11	"[""f_c25et4u2qvuqg""]"	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
5	maize	makɛ́y	makɛ́y	makɛ́y	makɛ́yin	ordinary-noun	fixed-stem	Rehman and Baart, draft 9 January 2004	10	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
6	knee	kuṭ	kuṭ	kuṭ	kúṭan	ordinary-noun	fixed-stem	Rehman and Baart, draft 9 January 2004	10	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
7	girl, woman	küṛ	küṛ	küṛ	kǘṛin	ordinary-noun	fixed-stem	Rehman and Baart, draft 9 January 2004	10	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
8	dish	baán	baán	baán	baanán	ordinary-noun	suffix-accented-oblique-plural	Rehman and Baart, draft 9 January 2004	10	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
9	horse	gɔɔ́ṛ	gɔɔ́ṛ	gɔɔ́ṛ	gɔɔṛán	ordinary-noun	suffix-accented-oblique-plural	Rehman and Baart, draft 9 January 2004	10	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments.
10	cupboard	almɛɛrí / almɛɛ́r	almaaríi	almaaríi	almaaríin	feminine-ii-with-truncated-nominative	final-short-i-or-root-R; umlaut	Rehman and Baart, draft 9 January 2004	11	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. Full feminine forms independently demonstrate the lost/shortened accented ii; fronting is a segmental trace of that ending. This is stronger evidence for truncation than the isolated nominative tone.
