source_key	bibliography	raw_records	languages	notation	access_and_review	url
CDIAL	"Ralph Lilley Turner.
*A comparative dictionary of the Indo-Aryan languages*.
Oxford University Press, 1962–1966.
URL: [https://dsal.uchicago.edu/dictionaries/soas/](https://dsal.uchicago.edu/dictionaries/soas/)."	3438	"[""Phal"", ""Sh"", ""Sv"", ""bro""]"	Historical citations with heterogeneous original conventions. A macron plus acute identifies a syllable; it is not automatically a modern first-mora accent. Broad dictionary headword and nearest formation are distinct. Grave/svarita and competing old accents remain meaningful.	Complete cached original entries read for diagnostic and disputed etymologies; first-pass review of every frozen family. This is not a page-by-page rereading of the entire dictionary.	https://dsal.uchicago.edu/dictionaries/soas/
liljegren	"Henrik Liljegren.
Palula dictionary.
*Dictionaria*, pages 1–2700, 2019.
URL: [https://dictionaria.clld.org/contributions/palula](https://dictionaria.clld.org/contributions/palula)."	3322	"[""Phal""]"	First/second doubled-vowel acute is E/L; short accented vowel is S. Retain morphological cells, dialect variants, homonyms and full inflectional strings. Unmarked forms remain unmarked.	Database dictionary records reviewed by family and selected complete morphological/dialect sets; grammar and dictionary documentation used for primary cross-checks. This is not an independent page check of every source record.	https://dictionaria.clld.org/contributions/palula
grierson-lsi1928	"George Abraham Grierson.
Linguistic survey of india. volume 1. part 2. comparative vocabulary: cldf dataset.
2023.
Digital edition of Grierson's 1928 comparative vocabulary; data curation by Patrick Lundberg and Christoph Rzymski.
URL: [https://github.com/lexibank/lsi/tree/v1.0](https://github.com/lexibank/lsi/tree/v1.0), [doi:10.5281/zenodo.8361936](https://doi.org/10.5281/zenodo.8361936)."	778	"[""Sh"", ""bro""]"	Historical comparative-list notation is heterogeneous and unevenly accented. Digital edition date2023 is not the date of Grierson1928 observations.	Frozen digital comparative records included; no comprehensive rescanning of the original volume.	https://github.com/lexibank/lsi/tree/v1.0
liljegren-hindukush	"Henrik Liljegren, Robert Forkel, Nina Knobloch, and Noa Lange.
Hindu kush areal typology.
2026.
URL: [https://github.com/cldf-datasets/liljegrenhindukush/tree/v1.1.0](https://github.com/cldf-datasets/liljegrenhindukush/tree/v1.1.0), [doi:10.5281/zenodo.21406260](https://doi.org/10.5281/zenodo.21406260)."	1705	"[""Kalk"", ""Kund"", ""Phal"", ""Sh"", ""Sv"", ""Ush"", ""bro""]"	Areal dataset supplies segmental/phonation evidence but not a uniform comparable lexical accent annotation. Creaky vowels are not silently relabelled High tone. HKAT dialect tags do not identify the source of a merged record.	Database source records included throughout and selected identical lexemes linked by manually reviewed evidence; no new source ingestion or full source phonological audit.	https://github.com/cldf-datasets/liljegrenhindukush/tree/v1.1.0
strand	"Richard F. Strand.
Nuristân: hidden land of the hindu-kush.
1997–2021.
URL: [http://nuristan.info/](http://nuristan.info/)."	518	"[""Phal""]"	Circumflex denotes length; accent before a long vowel is early, after it late. Underlying forms and inflection classes are separate from surface citation words.	Primary cached lexical HTML checked for diagnostic entries, reference corrections, night/measure distinction and conflicting paradigms; remaining entries retained as database evidence.	https://nuristan.info/IndoAryan/Indus/Atsaret/AtsaretLanguage/Lexicon/phon.html
hultman2023kalkoti	"David Hultman.
Topics in the grammar of Kalkoti.
Independent thesis, Degree of Bachelor, 15 ECTS, Department of Linguistics, Stockholm University, Stockholm, 2023.
Supervisor: Henrik Liljegren. Reviewer: Ljuba Veselinova."	475	"[""Kalk""]"	H1/H2 and syllable-wide Low remain distinct. Unmarked words can have uncertain tone. Only explicit Table9 toneless examples receive 0-explicit.	Tone discussion and Tables9–10, comparative Table6 and numeral Table16 checked; all473 previously unlinked source records reviewed in lexical groups.	https://www.diva-portal.org/smash/get/diva2%3A1772061/FULLTEXT01.pdf
kalkoti	"Henrik Liljegren.
Notes on Kalkoti: a Shina language with strong Kohistani influences.
*Linguistic Discovery*, 11(1):129–160, 2013.
URL: [https://journals.dartmouth.edu/cgi-bin/WebObjects/Journals.woa/1/xmlpage/1/article/423](https://journals.dartmouth.edu/cgi-bin/WebObjects/Journals.woa/1/xmlpage/1/article/423), [doi:10.1349/PS1.1537-0852.A.423](https://doi.org/10.1349/PS1.1537-0852.A.423)."	277	"[""Kalk"", ""Phal""]"	2013 Low analysis and phonetic contours are preserved separately from 2023 H1/H2 analysis. Table12 contour observations are explicit overrides, not deductions from an unmarked string.	Complete relevant phonology and Tables12–13 read; source/dialect-tag mismatch corrected. Published sample is selected phonetic evidence, not an unbiased lexicon-wide tone sample.	https://journals.dartmouth.edu/journals/xmlpage/1/article/423?htmlOnce=yes
kund	"Khawaja A. Rehman and Joan L. G. Baart.
A first look at the language of kundal shahi in azad kashmir.
*SIL Electronic Working Papers*, 2005.
URL: [http://www.sil.org/silewp/abstract.asp?ref=2005-008](http://www.sil.org/silewp/abstract.asp?ref=2005-008)."	161	"[""Kund""]"	Legacy circumflex/caron are provisionally read as falling/rising; explicit primary readings supersede compressed database notation. Accent mobility is a paradigm property, not a wordlist vowel mark.	Primary source actually read is the 9 January 2004 prepublication draft, including 21 paradigms. The final 2005 publication was not independently retrieved; do not cite draft pagination as final-publication pagination.	http://www.sil.org/silewp/abstract.asp?ref=2005-008
buddruss-shina1996	"Georg Buddruss.
Shina-Rätsel.
In Dieter B. Kapp, editor, *Nānāvidhaikatā: Festschrift für Hermann Berger*, pages 29–54.
Harrassowitz, Wiesbaden, 1996."	311	"[""Sh""]"	Gilgit mora-accent notation is retained independently of Degener. Conflicting forms are not harmonized by majority vote.	Database and checked-in transcription/audit evidence inspected; original printed pages were not independently available.	
degener-shina2008	"Almuth Degener.
*Shina-Texte aus Gilgit (Nord-Pakistan): Sprichwörter und Materialien zum Volksglauben, gesammelt von Mohammad Amin Zia*.
Beiträge zur Indologie.
Harrassowitz, Wiesbaden, 2008.
ISBN 9783447056489."	1577	"[""Sh""]"	Gilgit doubled-vowel acute gives E/L; short acute gives syllable location. Verb stems and cited perfectives cannot be treated as identical grammatical cells.	Checked-in diplomatic transcription and database entries inspected. A printed facsimile was not available for independent scan verification; source versus transcription errors remain distinguishable only where internal evidence permits.	
