record_id	family_id	citation	gloss	inflected	inflection_cells	dialect	citation_outcome	citation_accent_from_right	inflected_outcome	inflected_accent_from_right	prediction	status	description	adjudication	analysis
f_y4k6pkpg463jm	1577	izraáṇ	rainbow	izreeṇí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): izreeṇí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_idnbwdlalthls	1577	niildhráal	rainbow	izreeṇí	Obl	dialect:Phal:biori:Biori	E	1	S	1	citation-final-root-L; inflected-final-short-i-accent	excluded-unmatched-paradigm	Inflection: i-decl (Obl): izreeṇí; Variant restriction: Biori	unmatched-synonym-and-inflection	Biori niildhráal rainbow and izreeṇí are segmentally different stems. The dictionary attaches the izraáṇ inflection to its lexical variant; the actual inflection of niildhráal is not supplied. Its early accent remains a fact, but this row cannot test the aa/ee paradigm rule. A blue nīl- compound is only a lead until the remaining component is independently identified.
f_5iz34b66lch6i	10702	raát	night (as a measure of time); 24-hour period	reetí	Pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Pl): reetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_mtvkqvmfjly4w	11564	baát	word; talk; issue, matter; speech, language	beetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): beetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_7zdpfqqkdtv2i		aaraám	rest; ease	aareemí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): aareemí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_j7erdy53crjvo		aawaáz	sound	aaweezí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): aaweezí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_3ducnndirswaq		haawaáz	sound	aaweezí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): aaweezí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_xx2z6xtslqags		aayaát	verse (in the Qur'an)	aayeetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): aayeetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_nz5i6tqqmgokc		arabistaán	Arabia	arabisteení	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): arabisteení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_cj4cd5rxyzpb6		azaáb	punishment (especially divine)	azeebí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): azeebí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
