turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	assessment_codes	historical_assessment	verification_scope
43	ákṣi	1	2	eye	ac̣híi [eye]	ac̣híi	ac̣híi	ac̣híi	ac̣híi			gil:45; koh:46; gur:47; Astor:48	M	Compare attested accented dual akṣī́, not only singular ákṣi. Shared final íi also requires gender/number history.	First-pass comparison; see family-notes.md for independently page-checked central examples
125	áṅgāra	1	3	fire	angóor [fire]	agáar; hagáar		aṅgáaru				gil:294; gil:295; gur:296	X	Shared accent on the old long medial vowel. Weight attraction is plausible; cannot call this direct retention of áṅgāra.	First-pass comparison; see family-notes.md for independently page-checked central examples
135	aṅgúli	2	3	finger	angúṛu [thumb; big toe]	haguí	hagwí	a~wíi~	aṅwíi~			gil:54; koh:55; gur:56; Astor:57	M	Final long feminine formations and glide/coalescence histories differ. Palula thumb is a different gender/formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
137	aṅguṣṭhá-,	3	3	thumb		agúto	hagúu	oṅúu~tu	aṅúu~to			gil:135; koh:136; gur:137; Astor:138	M	Root-final accent survives before gender vowel; separate ṣṭ reduction from loss of the internal syllable in Kohistani.	First-pass comparison; see family-notes.md for independently page-checked central examples
145	ajá	2	2	goat (f.)		ái	ái	ái	ái			gil:713; koh:714; gur:715; Astor:716	M	Female goat requires feminine ajā́ or an extended feminine, not masculine ajá alone; contraction in ái needs analysis.	First-pass comparison; see family-notes.md for independently page-checked central examples
242	adyá,	2	2	today	aáǰ [today]	aš	aš	aš	aš			gil:560; koh:561; gur:562; Astor:563	U;X	Short Shina aš cannot reveal mora position. Palula aáǰ is a residual for simple nonaspirated closed-a lengthening.	First-pass comparison; see family-notes.md for independently page-checked central examples
549	abhrá	2	2	cloud; rain	áabru [cloud]	áj̣o	áẓo	áj̣u	áẓo			gil:393; gil:408; koh:394; koh:409; gur:395; gur:410; Astor:396; Astor:411	M	Shared root accent in extended cloud forms requires resetting relative to abhrá; Palula also has svarabhakti.	First-pass comparison; see family-notes.md for independently page-checked central examples
722	álpa	1	2	few			ápa	ápo	ápo			koh:1020; gur:1021; Astor:1022	R	Initial accent compatible with álpa after cluster simplification and gender-suffix remodeling.	First-pass comparison; see family-notes.md for independently page-checked central examples
941	aṣṭā́,	2	2	eight	áaṣṭ [eight]	a~ṣ	a~ṣ	a~ṣṭ	a~ṣ			gil:1007; koh:1008; gur:1009; Astor:1010	U;A	Most Shina short forms uninformative. Palula early áa can arise by later closed-a lengthening after apocope has transferred final accent to a short vowel; no special numeral retraction is required by this citation form.	First-pass comparison; see family-notes.md for independently page-checked central examples
1111	āṇḍá	2	2	egg	haṇoó [egg]	haṇeé	haṇó	haṇoó~				gil:688; koh:689; gur:690	M;D	Final gender-suffix accents differ in length and mora position. Do not infer one shared contour from the OIA headword.	First-pass comparison; see family-notes.md for independently page-checked central examples
1288	ā́yāti	1	3	to come				oónu				gur:873	M	Modern infinitive versus OIA finite verb; inherently accented infinitive ending prevents direct comparison.	First-pass comparison; see family-notes.md for independently page-checked central examples
1869	útsa	1	2	spring (of water)	uts [spring (of water)]	uts	utsh	uts	uts			gil:630; koh:631; gur:632; Astor:633	U	Short monosyllables; inflection required to determine fixed versus mobile class.	First-pass comparison; see family-notes.md for independently page-checked central examples
