Language_ID	Input_Tier	Prediction	Family_ID	Formation_IDs	Category	Has_D	Has_R	Outcome_Evidence_IDs
Brahui	cluster	short-from-consonantal-input	d4177	d4177:twist-retained	not-strictly-testable	0	1	f_fgxsueng7rutg
Brahui	full	long-if-displaced	d3244	d3244:wither	counterexample	1	0	f_lacxape5msoyc
Kui	conditional	long-if-displaced	d4183	d4183:squeeze	not-strictly-testable	1	0	f_h5rhyfxd32nm6;f_uknkycqrgueqm
Kui	full	long-if-displaced	d688	d688:plough-vowel	match	1	0	f_jkpxmqf6ienz4
Kui	full	long-if-displaced	d661	d661:melt	match	1	0	f_7avte6ytzxdts
Kui	full	long-if-displaced	d718	d718:thunder	match	1	0	f_e7n6y4spwtqak;f_jzwgoukdxkguy
Kui	full	long-if-displaced	d4418	d4418:bone	match	1	0	f_frz2s5l6eipwo
Kui	full	long-if-displaced	d4177	d4177:twist	match	1	0	f_q7qwvhhd5i4ry
Kuwi	full	short-if-displaced	d837	d837:white-ant	counterexample	1	0	f_3vzleflwca2w2;f_o2mzph3bmvw5a;f_ux3sv55vvi6ki;f_visq2q55djqas
Telugu	cluster	outside-short-singleton-rule	d3174	d3174:drink	not-strictly-testable	1	0	f_vw55c6dqihjty
Telugu	cluster	short-from-consonantal-input	d502	d502:descend-velar	match	1	0	f_dwgcjswhqoozu;f_mpyejvd67v4ti
Telugu	cluster	short-from-consonantal-input	d665	d665:rub-dental	match	1	0	f_tjibk3ef3bpdi
Telugu	cluster	short-from-consonantal-input	d686+d689	d689:comb	match	1	0	f_3bcttth6tqdk2
Telugu	cluster	short-from-consonantal-input	d688	d688:plough-nasal;d688:plough-velar	match	1	0	f_tm7iqnx5wiskm;f_zsdykfen5jepc
Telugu	cluster	short-from-consonantal-input	d1787	d1787:blind-cluster	match	1	0	f_ndolyy4ysamdc;f_pmbylqwhanjmy
Telugu	cluster	short-from-consonantal-input	d4993	d4993:sink-cluster	match	1	0	f_d2g74plrs2woe
Telugu	cluster	short-from-consonantal-input	d1619	d1619:below	match	1	0	f_oses7f2zth6mw;f_vgz6cxcqnfieo
Telugu	cluster	short-from-consonantal-input	d4005	d4005:rib	match	1	0	f_3dxd3t2xuho4m
Telugu	cluster	short-from-consonantal-input	d1291	d1291:ring-velar	match	1	0	f_pofjweny2dmxm
Telugu	cluster	short-from-consonantal-input	d1767	d1767:bend-cluster	match	1	0	f_eqqola7bngbzy
