class_id	definition	source_table	interpretation
short-a-without-h	Biori short-a comparative input, partitioned by h/aspiration; consult closed-syllable and lexeme sensitivity.	palula-short-a-pairs.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
short-a-with-h	Biori short-a comparative input, partitioned by h/aspiration; consult closed-syllable and lexeme sensitivity.	palula-short-a-pairs.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Gilgit-short-o-adjectives	Source-tagged Gilgit adjectives ending in short o.	gilgit-o-adjectives.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Palula-short-u-adjectives	Source POS-tagged Palula adjectives ending in short u, including accented ú.	palula-tagged-u-adjectives.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Palula-aa-ee-i-nouns	Source i-declension full comparable aa/ee+i paradigms; no accent used for selection.	palula-umlaut-i-nouns.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Palula-other-i-nouns	Full i-declension paradigms outside the aa/ee+i selection, with one additional final-i nucleus.	palula-i-decl-extension.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Palula-umlaut-u-adjectives	Independently tagged umlaut masculine-u/feminine-i class, including unknown accent readings.	palula-u-adjectives.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Palula-grammatical-u-adjectives	Full regular/umlaut gender-inflecting short-u class, including participles, residuals and unscorable citations.	palula-u-adjectives.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
raising-Biori-early-a-long-final-closed	Biori input accent, vowel quality and final closed syllable, before observing Ashret quality; both sides of the reviewed pair are shown.	vowel-raising-reviewed.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
raising-Biori-early-e-long-final-closed	Biori input accent, vowel quality and final closed syllable, before observing Ashret quality; both sides of the reviewed pair are shown.	vowel-raising-reviewed.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
raising-Biori-late-a-long-final-closed	Biori input accent, vowel quality and final closed syllable, before observing Ashret quality; both sides of the reviewed pair are shown.	vowel-raising-reviewed.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Kalkoti-comparison-Palula-E-without-short-final-vowel	Palula comparative structure selected independently of the Kalkoti outcome; model-excluded pairings omitted, unknown and residual outcomes retained.	kalkoti-palula-adjudicated.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Kalkoti-comparison-Palula-L-without-short-final-vowel	Palula comparative structure selected independently of the Kalkoti outcome; model-excluded pairings omitted, unknown and residual outcomes retained.	kalkoti-palula-adjudicated.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	Palula comparative structure selected independently of the Kalkoti outcome; model-excluded pairings omitted, unknown and residual outcomes retained.	kalkoti-palula-adjudicated.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Dras-plural--e	Dras plural citations selected by their final segments; counterparts elsewhere are lexical relatives, not claims of identical plural morphology.	dras-suffix-accent-review.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Dras-plural--eh/-eɦ	Dras plural citations selected by their final segments; counterparts elsewhere are lexical relatives, not claims of identical plural morphology.	dras-suffix-accent-review.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Dras-plural--i	Dras plural citations selected by their final segments; counterparts elsewhere are lexical relatives, not claims of identical plural morphology.	dras-suffix-accent-review.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
Dras-plural-other	Dras plural citations selected by their final segments; counterparts elsewhere are lexical relatives, not claims of identical plural morphology.	dras-suffix-accent-review.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
short-root-cluster-a	The frozen exploratory cluster screen partitioned by old root vowel. Source/formation caveats in the original table remain; no universal compensatory mechanism is asserted.	short-root-cluster-screen.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
short-root-cluster-i	The frozen exploratory cluster screen partitioned by old root vowel. Source/formation caveats in the original table remain; no universal compensatory mechanism is asserted.	short-root-cluster-screen.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
short-root-cluster-r	The frozen exploratory cluster screen partitioned by old root vowel. Source/formation caveats in the original table remain; no universal compensatory mechanism is asserted.	short-root-cluster-screen.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
short-root-cluster-u	The frozen exploratory cluster screen partitioned by old root vowel. Source/formation caveats in the original table remain; no universal compensatory mechanism is asserted.	short-root-cluster-screen.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
retained-ending-core-properties	The frozen core-property family/sense inventory with a retained short final vowel; all marked, unmarked and excluded source readings remain in the source table.	property-location-screen.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
ten-compounds	Numerals selected by meaning and independently identified ten versus twenty formations; whole-compound identity varies across languages.	numeral-series-records.tsv	Counterpart ranges are all records in the same research family, including different formations and senses. Only records explicitly selected by the source table are direct class members; no automatic transfer of the grammatical class to another language.
