id	language_id	form	gloss	native	phonemic	original	cognateset	description	tags	source	etymology	redirect	status	language_name	dialect_tags	source_keys	ancestor_id	family_id	ancestor_form	ancestor_original	ancestor_form_field	ancestor_gloss	ancestor_language	family_form	ancestry_path	link_status	research_family_id	research_ancestor_id	research_gloss	research_relation	strict_exclusion	individual_review	research_link_evidence	research_link_confidence	record_decisions	additional_record_annotations	primary_table_readings	notation	modern_nuclei	modern_accent_count	modern_accent_position	modern_accent_from_right	modern_accent_quantity	modern_outcome	modern_single_word	stress_position	stress_from_right	contour_position	contour_from_right	contour_quantity	modern_vowel_sequence	modern_quantity_pattern	modern_vowel_bases	reading_issues	comparison_only	reading_form	explicit_low	modern_final_segment	modern_final_vowel	source_observations	lexical_comparison_key	formation_decisions	analysis_token_id	research_original	primary_reading_unresolved	split_evidence	branch_analysis	split_locator	primary_reading_forms	phonetic_contour	tone_status	research_link_locator	etymological_assessment	unlinked_review_locator	unlinked_review_status	primary_alignment	low_status
f_7g7iscoydxvvm	Phal	aʦ̣ʰā́ru	pine			ac̣hā́ru	2:			CDIAL				Palula		CDIAL	30	30	*akṣadāruka	*akṣadāruka	Original	a partic. tree	Indo-Aryan	*akṣadāruka	"[{""Child_ID"": ""f_7g7iscoydxvvm"", ""Parent_ID"": ""30"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	30	30	pine	database-link		family-context-first-pass		database-unverified	[]	[]	[]	historical-dictionary	3	1	2	2	long	syllable-marked	1						0	SLS	aau		0	ac̣hā́ru	0	u	1	[]	Phal||acharu|pine	[]	f_7g7iscoydxvvm														
f_fdbgpgbzsq5to	Phal	āʦ̣ʰā̂ru	a pine tree	آڇھاروۡ	aaʈʂʰáaru	aac̣háaru		Inflection: a-decl (Obl, pl): aac̣háara	noun m Palula-noun-class-a	liljegren	*akṣadāruka- 'a partic. tree' (T: 30)			Palula		liljegren	30	30	*akṣadāruka	*akṣadāruka	Original	a partic. tree	Indo-Aryan	*akṣadāruka	"[{""Child_ID"": ""f_fdbgpgbzsq5to"", ""Parent_ID"": ""30"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	30	30	a pine tree	database-link		family-context-first-pass		database-unverified	[]	[]	[]	palula-mora	3	1	2	2	long	E	1						0	LLS	aau		0	aac̣háaru	0	u	1	[]	Phal||acharu|a pine tree	[]	f_fdbgpgbzsq5to														
f_qizuypbmdrndi	Phal	āʦ̣hā́ru	fir		ɑʈ͡ʂhɑ́ɾu	âc̣hʹâru			noun dialect:Palula	strand				Palula	dialect:Palula	strand	30	30	*akṣadāruka	*akṣadāruka	Original	a partic. tree	Indo-Aryan	*akṣadāruka	"[{""Child_ID"": ""f_qizuypbmdrndi"", ""Parent_ID"": ""30"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	30	30	fir	database-link		family-context-first-pass		database-unverified	[]	[]	[]	strand-phonatory-accent	3	1	2	2	long	E	1						0	LLS	aau		0	âc̣hʹâru	0	u	1	[]	Phal|dialect:Palula|acharu|fir	[]	f_qizuypbmdrndi														
f_zt6ecb52vfvuq	Phal	aʦ̣ʰi	eye			ac̣hi	2:		pl	CDIAL				Palula		CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_zt6ecb52vfvuq"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	historical-dictionary	2	0				unmarked	1						0	SS	ai		0	ac̣hi	0	i	1	[]	Phal||achi|eye	[]	f_zt6ecb52vfvuq														
f_jyo4vdljvgbiy	Phal	īa	eye			īa	2:			CDIAL				Palula		CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_jyo4vdljvgbiy"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	historical-dictionary	2	0				unmarked	1						1	LS	ia	unequal-vowel-sequence	0	īa	0	a	1	[]	Phal||ia|eye	[]	f_jyo4vdljvgbiy														
f_jk3gjx7x4u26e	Sh	aʦ̣ʰī́	eye			ac̣hī́	2:		f	CDIAL				Shina		CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_jk3gjx7x4u26e"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	historical-dictionary	2	1	2	1	long	syllable-marked	1						0	SL	ai		0	ac̣hī́	0	i	1	[]	Sh||achi|eye	[]	f_jk3gjx7x4u26e														
f_fsewlvkkrexag	Sh	aṣī́	eye			aṣī́	2:		dialect:Sh:pales:Palesi	CDIAL				Shina	dialect:Sh:pales:Palesi	CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_fsewlvkkrexag"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	historical-dictionary	2	1	2	1	long	syllable-marked	1						0	SL	ai		0	aṣī́	0	i	1	[]	Sh|dialect:Sh:pales:Palesi|asi|eye	[]	f_fsewlvkkrexag														
f_bku6mqciy2vxs	Kalk	iʦ̣ī	eye			ic̣ii		cited for its final open syllable, matching stressed-final Palula ac̣híi	noun f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29	kalkoti[p. 137, table 9];kalkoti[p. 137]				Kalkoti	dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29	kalkoti	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_bku6mqciy2vxs"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	kalkoti-HL-2013	2	0				unmarked	1						0	SL	ii		0	ic̣ii	0	i	1	[]	Kalk|dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29|ici|eye	[]	f_bku6mqciy2vxs														
f_o5gfqjp4n5r2a	Kund	aś	eye			aś				kund				Kundal Shahi		kund	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_o5gfqjp4n5r2a"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	kundal-mixed-legacy	1	0				unmarked	1						0	S	a	accent-on-nonvowel	0	aś	0	s	0	[]	Kund||as|eye	[]	f_o5gfqjp4n5r2a														
f_hkqbpcmffxfsu	Phal	aʦ̣ʰī̂	eye	اڇھی	aʈʂíi	ac̣híi		Inflection: a-decl (Obl, pl): -a; Morphemic form: ac̣hí	noun f Palula-noun-class-a	liljegren	ákṣi- 'eye (neut)' (T: 43)			Palula		liljegren	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_hkqbpcmffxfsu"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	palula-mora	2	1	2	1	long	E	1						0	SL	ai		0	ac̣híi	0	i	1	[]	Phal||achi|eye	[]	f_hkqbpcmffxfsu														
