family_id	gloss	palula	palula_gloss	palula_nuclei	palula_final	palula_outcome	palula_accent_from_right	kalkoti	kalkoti_source	kalkoti_outcome	kalkoti_low_status	kalkoti_record_id	palula_record_id	input_class	prediction	observed_category	status	exclusion	adjudication
941	eight	áaṣṭ	eight	1	consonant-final	E	1	eeṣ	kalkoti	unmarked		f_tloradsf5i5ls	f_rsldl4hnjzwoo	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Biori aṣṭ and short Shina aṣ show loss of the old accented ending with a short surviving stem; Ashret áaṣṭ then fits later unaspirated closed-a lengthening with early accent. Its early contour therefore does not refute inherited final accent. Kalkoti eeṣ requires an independent vowel/umlaut or numeral-paradigm history; its unmarked citation cannot supply tone.
1351	mother	yéei	mother	2	short-final-vowel	vowel-sequence-marked	2	yee	kalkoti	unmarked		f_furihi3sw43jk	f_rjnv7k27abukq	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	Palula-vowel-sequence	Mother yéei has an unequal-vowel sequence; Hultman explicitly treats final-vowel loss as relevant, but the conservative automated nucleus test excludes it. Include separately as primary-author analysis.
2462	one	áak	one; one (person), someone	1	consonant-final	E	1	äk	kalkoti	unmarked		f_faxpiecbckpay	f_ndm7sgvqas5h2	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
2462	one	áa	one; one (person), someone	1	long-final-vowel	E	1	äk	kalkoti	unmarked		f_faxpiecbckpay	f_e5ptsrrsr5ncy	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
2830	ear	káaṇ	ear	1	consonant-final	E	1	kaan	kalkoti	P-high-level		f_xdzllnipbgl4u	f_riwftdprddvuk	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula káaṇ versus Biori kaṇ fits late Ashret closed-a lengthening after rṇ simplification. Short Gilgit kon has nasal-environment backing, and Kalkoti/Kundal kān confirm broader segmental correspondences without reliable tone in these records. A reported mobile Gilgit ear paradigm contrasts with Palula fixed accent despite shared old barytonesis, so the inflectional evidence must override the misleading agreement of short citation forms.
2892	work	kráam	work; deed, behaviour	1	consonant-final	E	1	traam	kalkoti	unmarked		f_lvuecud33bp3m	f_7hyftv5pgyvaa	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Biori kram beside inflected kráama, and Ashret kráam, separate an older open-syllable lengthening layer from later Ashret closed-syllable lengthening. Metathesis moves r into the onset before this comparison. Shina kom/krom and Kalkoti traam share the work sense but have independent r-cluster and nasal-vowel developments. A single citation-form mora table must be supplemented by the Biori paradigm, which is the most diagnostic evidence.
3243	knee	khúṭu	leg, knee	2	short-final-vowel	S	2	kuṭ	kalkoti	P-high-rising		f_3e7geqqm7h7yk	f_i66sd2zsxesaq	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Palula, four Shina dialects, Dras and Brokskat all show initial short-root prominence in kúṭo/khúṭu-type forms where marked. Kalkoti kuṭ loses the final vowel; Liljegren 2013 Table 12 places it in the high-rising/glottalized group. This supports testing final-unaccented-vowel loss as a Kalkoti conditioning factor without needing an independently known Sanskrit accent.
4147	cow	ghaáu	cow	2	short-final-vowel	vowel-sequence-marked	2	ɡaa	kalkoti	P-high-level		f_4o7wrh2ypzy3q	f_tzhfziq7bqaha	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	zero-High-or-default	excluded	Palula-vowel-sequence	Cow ghaáu has a vowel sequence and cannot be classified as a transparent unaccented short-u ending. Its apparent counterexample to apocope is excluded for this independent structural reason.
4236	take	ghína	to take, get, seize; buy	2	short-final-vowel	S	2	ɡiin	kalkoti	unmarked		f_6e225kmljrzvy	f_shwiighc4vjly	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	unmatched-verbal-cells	Palula ghína and Shina gin- most directly reflect a nasal-present stem rather than the first dictionary headword. Their root accent is assigned in the modern citation/imperative cell; the old finite nasal inflection carried accent on a different morpheme. Kalkoti giin is a perfective form and giy aal/giyaal a further formation; the newer tone-marked gìin is a key aspiration-loss comparison to check separately.
4287	wheat	ghoóm	wheat	1	consonant-final	L	1	ɡoom	kalkoti	P-low-level		f_rwvb6sbg7f4gs	f_yvx2gkhczdjdu	Palula-L-without-short-final-vowel	early-High-or-falling	Low-without-marked-High	Low-interaction		Wheat ghoóm/goom has a documented low-level contour in 2013, alongside secondary aspiration/metathesis in Palula. It is not an unmarked no-tone observation.
