group	gloss	record_id	form	source	proposed_family	retained_previous_family	status	confidence	relation	analysis	source_locator	description
0		f_5fy4ipmgasx3u	sarsari	knobloch2020sauji			assessed-no-secure-input			Five unglossed citations: sarsari, ṣaaṭ, tase, torati, šahedi. No semantic support for a historical assignment; especially do not identify ṣaaṭ with strength by shape alone.		
0		f_33v4nriyyozmo	ṣaaṭ	knobloch2020sauji			assessed-no-secure-input			Five unglossed citations: sarsari, ṣaaṭ, tase, torati, šahedi. No semantic support for a historical assignment; especially do not identify ṣaaṭ with strength by shape alone.		
0		f_daqb5hg3yqy7w	tase	knobloch2020sauji			assessed-no-secure-input			Five unglossed citations: sarsari, ṣaaṭ, tase, torati, šahedi. No semantic support for a historical assignment; especially do not identify ṣaaṭ with strength by shape alone.		
0		f_uqqib4bxp775k	torati	knobloch2020sauji			assessed-no-secure-input			Five unglossed citations: sarsari, ṣaaṭ, tase, torati, šahedi. No semantic support for a historical assignment; especially do not identify ṣaaṭ with strength by shape alone.		
0		f_ygrk77mnms4jg	šahedi	knobloch2020sauji			assessed-no-secure-input			Five unglossed citations: sarsari, ṣaaṭ, tase, torati, šahedi. No semantic support for a historical assignment; especially do not identify ṣaaṭ with strength by shape alone.		
1	1	f_shrqy6gji6w6o	jak	knobloch2020sauji	2462		new-family-association	high	manually-reviewed-lexical-family	jak one corresponds to regional yak/ak/ek; initial y/j development and numeral category support the identification.		
2	11	f_dpdx4bbocy7uw	jakɑːʃ	knobloch2020sauji	2485		new-family-association	high	manually-reviewed-lexical-family	jakɑːʃ eleven is the one-plus-ten compound, not an independently inherited root accent.		
3	7	f_icvtrtaul5oqm	saat	knobloch2020sauji	13139	13139	previous-research-link	high	manually-reviewed-lexical-family	Numeral saat seven, already linked; the citation does not mark its mora.		
4	after	f_npbebe4uogmne	bat	knobloch2020sauji			assessed-no-secure-input			bat after is plausibly regional baad/bad, but final consonant and source context need checking; no inherited assignment.		
5	after (temporal)	f_wjhtbvkpbj56q	pa	knobloch2020sauji			assessed-no-secure-input			pa/patuno temporal after are a grammatical alternation; compare back/postposition pat-, but the precise formation is not established.		printed as pa/patuno
5	after (temporal)	f_y4snk2xteczde	patuno	knobloch2020sauji			assessed-no-secure-input			pa/patuno temporal after are a grammatical alternation; compare back/postposition pat-, but the precise formation is not established.		printed as pa/patuno
6	all	f_cvrjji7x7r52w	sami	knobloch2020sauji			assessed-no-secure-input			sami all could be a regional sam- totality word; do not assign an etymon on meaning alone.		
7	and	f_5xi3hyumcgvpo	aw	knobloch2020sauji			assessed-no-secure-input			aw and is a regional contact conjunction, likely Pashto; no inherited accent test.		
8	ant	f_wbtnwfsyebge4	piloo	knobloch2020sauji	8201		new-family-association	high	manually-reviewed-lexical-family	piloo ant and plural pilee share the pil- stem; contracted formation relative to pipīla/pilīla.		
9	ants	f_mlb66kks7cyek	pilee	knobloch2020sauji	8201		new-family-association	high	manually-reviewed-lexical-family	pilee is the plural of piloo ant; final ee belongs to the nominal paradigm.		
10	apple	f_72u36srfgkc7c	mana	knobloch2020sauji			assessed-no-secure-input			mana apple has no secure match among the supplied Shinaic apple families; leave etymology open.		
11	approximately	f_obkufdou657fq	taqriban	knobloch2020sauji			assessed-no-secure-input			taqriban approximately is the Arabic-origin regional adverb, a contact item.		
12	around	f_qktyv3u6xe254	terčapera	knobloch2020sauji			assessed-no-secure-input			terčapera around is a regional adverb/compound; superficial resemblance to turn roots is insufficient.		
13	away	f_yzbbzx3brv7yi	pare	knobloch2020sauji	8100		new-family-association	high	manually-reviewed-lexical-family	pare away is a case/adverbial formation of the across/farther-side para family; suffix and direction must be kept separate from noun accent.		
14	azgiral	f_imfbawqy64vca	azirgala	knobloch2020sauji			assessed-no-secure-input			azirgala is a place-name citation; no inherited lexical accent assignment.		
15	baking board	f_3abbuef4vcq5w	laganema	knobloch2020sauji			assessed-no-secure-input			laganema/laganama baking board appears to contain regional lagan vessel plus another element, but formation and borrowing route remain unresolved.		
15	baking board	f_nrju6f3maaulo	laganama	knobloch2020sauji			assessed-no-secure-input			laganema/laganama baking board appears to contain regional lagan vessel plus another element, but formation and borrowing route remain unresolved.		
16	bark	f_t4ad5jofbpqai	čambaan-o	knobloch2020sauji			assessed-no-secure-input			čambaan-o bark is a verbal citation here; do not compare it to bark of a tree merely because the English gloss matches.		
17	battle, conflict	f_7vybsvetb5aai	yang	knobloch2020sauji			assessed-no-secure-input			yang battle is regional jang, an Iranian contact item.		
18	be	f_v6b6wlnpp55is	hino	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_x54liaapwvp4a	alo	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_nltsqq2pyxf3k	hine:	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_vhvkqq7sdmufm	hinɛ	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_rswkcc6jaierq	hin-u	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_bfe6y5b7py37c	hin-i	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_mrxof2tcdwdeo	al-i	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_k5di55rq6ubwy	al-o	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_xji3w2sjht32s	hin-ee	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
18	be	f_feigpqllfafpa	hin-o	knobloch2020sauji			assessed-no-secure-input			hin- versus al- copular stems are grammatically distinct; no single historical headword safely predicts both. Retain all ten cells as unassigned copular evidence.		
19	bear	f_hpllxzhiyusac	inʈ͡ʂ	knobloch2020sauji	2445		new-family-association	high	manually-reviewed-lexical-family	inʈ͡ʂ bear matches the inherited r̥kṣa set; inčeṛi forms add a feminine/derivational ending, so they do not directly test the bare masculine accent.		
19	bear	f_ryhzl4pmo4p6u	inčeṛi	knobloch2020sauji	2445		new-family-association	high	manually-reviewed-lexical-family	inʈ͡ʂ bear matches the inherited r̥kṣa set; inčeṛi forms add a feminine/derivational ending, so they do not directly test the bare masculine accent.		
19	bear	f_s63roetfj4upg	inčeṛi-yee	knobloch2020sauji	2445		new-family-association	high	manually-reviewed-lexical-family	inʈ͡ʂ bear matches the inherited r̥kṣa set; inčeṛi forms add a feminine/derivational ending, so they do not directly test the bare masculine accent.		
20	beard	f_r52anbihpo4oi	daṛi	knobloch2020sauji	6250		new-family-association	high	manually-reviewed-lexical-family	daṛi beard matches the regional dāṁṣṭra family; feminine ending and reduced cluster are independent segmental evidence.		
