ID	Research_Group	DEDR_ID	Language_ID	Database_Language_ID	Form	Original	Gloss	Source	Tags	Description	Borrowed_In_Path	Is_Dravidian	Status	Research_Correction	Record_Origin	Linked_Database_IDs
research:d4449-Sunkarametta-pēnu	d4449	d4449	Kuwi		pēnu		louse; Sunkarametta singular/plural component	DEDR4449; Su. Isr.; full source paradigm preserved in linked database record	research-only source-verified observation	Split singular and plural of one explicitly attested paradigm; source dialect Sunkarametta preserved.	0	1	research-only	Split singular and plural of one explicitly attested paradigm; source dialect Sunkarametta preserved.	source-supplement	d4449;f_55zkf7il6a7rs
research:d4449-Sunkarametta-pṇēka	d4449	d4449	Kuwi		pṇēka		louse; Sunkarametta singular/plural component	DEDR4449; Su. Isr.; full source paradigm preserved in linked database record	research-only source-verified observation	Split singular and plural of one explicitly attested paradigm; source dialect Sunkarametta preserved.	0	1	research-only	Split singular and plural of one explicitly attested paradigm; source dialect Sunkarametta preserved.	source-supplement	d4449;f_55zkf7il6a7rs
research:d4449-Bisamkatak-penka	d4449	d4449	Kuwi		pēnka		lice; Bisamkatak retained plural	DEDR4449; P.; full source paradigm preserved in linked database record	research-only source-verified observation	Split retained plural; source dialect Bisamkatak preserved. Not free variation asserted within Sunkarametta.	0	1	research-only	Split retained plural; source dialect Bisamkatak preserved. Not free variation asserted within Sunkarametta.	source-supplement	d4449;f_p2afavq75txyu
research:d868-literary-anan	d868	d868	Telugu		anan		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-nān	d868	d868	Telugu		nān		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-anābaḍu	d868	d868	Telugu		anābaḍu		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-nābaḍu	d868	d868	Telugu		nābaḍu		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-anavuḍu	d868	d868	Telugu		anavuḍu		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-nāvuḍu	d868	d868	Telugu		nāvuḍu		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-anaka	d868	d868	Telugu		anaka		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-nāka	d868	d868	Telugu		nāka		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-anaru	d868	d868	Telugu		anaru		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d868-literary-naru	d868	d868	Telugu		naru		literary grammatical derivative of anu say	Sastri1969 p.72, image PDF97 directly checked; literary Middle Telugu, individual passage dates not supplied	research-only source-verified observation	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	0	1	research-only	Source pairs full/reduced infinitive, passive, post-action and negative formations. Research observation only; no independent root added.	source-supplement	d868;f_id6r5fma34f6w
research:d1-Telugu-paradigm-adi	d1	d1	Telugu		adi		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_xyg34hnf324gu
research:d1-Telugu-paradigm-dāni-	d1	d1	Telugu		dāni-		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_xyg34hnf324gu
research:d1-Telugu-paradigm-avi	d1	d1	Telugu		avi		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_nxyysjn4efeuo
research:d1-Telugu-paradigm-vāṭi-	d1	d1	Telugu		vāṭi-		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_nxyysjn4efeuo
research:d410-Telugu-paradigm-idi	d410	d410	Telugu		idi		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_papzle6h7zsbw
research:d410-Telugu-paradigm-dīni-	d410	d410	Telugu		dīni-		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_papzle6h7zsbw
research:d410-Telugu-paradigm-ivi	d410	d410	Telugu		ivi		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_yy5ihgoamqbww
