Partition	Input_Domain	Language_A	Language_B	N_Input_Families	N_Common_DR_Informative	N_Both_D_Bearing	N_A_D_B_R	N_A_R_B_D	N_Both_R_No_D	N_Common_With_Mixed_Cell	Both_D_Over_Common	Both_D_Proportion	N_Excluded_Not_Common_Informative	Caution
primary	all-reviewed-inputs	Badaga	Brahui	403	10	0	0	0	10	0	0/10	0.0	393	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Gadaba	403	35	0	0	0	35	0	0/35	0.0	368	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Gondi	403	64	0	0	8	56	4	0/64	0.0	339	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Irula	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Kannada	403	119	0	0	0	119	0	0/119	0.0	284	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Kodagu	403	74	0	0	0	74	0	0/74	0.0	329	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Kolami	403	30	0	0	0	30	0	0/30	0.0	373	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Konda	403	60	0	0	15	45	4	0/60	0.0	343	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Koraga	403	11	0	0	0	11	0	0/11	0.0	392	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Kota	403	99	0	0	0	99	0	0/99	0.0	304	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Kui	403	47	0	0	31	16	6	0/47	0.0	356	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Kurux	403	24	0	0	0	24	0	0/24	0.0	379	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Kuwi	403	49	0	0	26	23	9	0/49	0.0	354	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Malayalam	403	115	0	0	0	115	0	0/115	0.0	288	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Malto	403	20	0	0	0	20	0	0/20	0.0	383	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Manda	403	22	0	0	11	11	0	0/22	0.0	381	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Naiki	403	17	0	0	0	17	0	0/17	0.0	386	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Naikri	403	21	0	0	0	21	0	0/21	0.0	382	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Parji	403	42	0	0	0	42	0	0/42	0.0	361	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Pengo	403	32	0	0	14	18	2	0/32	0.0	371	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Tamil	403	119	0	0	0	119	0	0/119	0.0	284	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Telugu	403	106	0	0	44	62	27	0/106	0.0	297	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Toda	403	80	0	0	0	80	0	0/80	0.0	323	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	Tulu	403	101	0	0	0	101	0	0/101	0.0	302	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Badaga	markodi	403	14	0	0	0	14	0	0/14	0.0	389	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Gadaba	403	11	0	0	0	11	0	0/11	0.0	392	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Gondi	403	16	0	0	2	14	1	0/16	0.0	387	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Kannada	403	27	0	5	0	22	2	0/27	0.0	376	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Kodagu	403	15	0	1	0	14	0	0/15	0.0	388	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Kolami	403	7	0	0	0	7	0	0/7	0.0	396	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Konda	403	17	0	2	4	11	1	0/17	0.0	386	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Koraga	403	5	0	0	0	5	0	0/5	0.0	398	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Kota	403	15	0	1	0	14	1	0/15	0.0	388	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Kui	403	16	1	1	10	4	4	1/16	0.0625	387	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Kurux	403	6	0	1	0	5	0	0/6	0.0	397	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Kuwi	403	14	1	0	9	4	3	1/14	0.071429	389	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Malayalam	403	26	0	4	0	22	1	0/26	0.0	377	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Malto	403	4	0	0	0	4	0	0/4	0.0	399	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Manda	403	4	0	0	4	0	1	0/4	0.0	399	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Naiki	403	3	0	0	0	3	0	0/3	0.0	400	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Naikri	403	6	0	0	0	6	0	0/6	0.0	397	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Parji	403	14	0	0	0	14	0	0/14	0.0	389	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Pengo	403	9	0	1	6	2	2	0/9	0.0	394	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
