gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description	review_index	manual_lexical_note	reviewed_family_comparison	primary_check	morphological_assessment	final_vowel_accented	acute_count	suffix_accent_status
air	ó:ʃe	-e	2	stress-marked	[]	[]	[]	f_rnp6mmnvwlbie	[]	m.pl	0	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
bank of the river	ʧhúpe	-e	2	stress-marked	[]	[]	[]	f_s4fnv2fox34py	[]	m.pl	1	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
cave	bóyé	-e		multiple-stress	"[""bó""]"	[1]	"[""f_c2xftdu3evho2""]"	f_t6muzwjvnwlqy	[]	m.pl	2	Cave bó/bóyé retains a root acute and adds a suffix acute. The same two marks occur in the grammar discussion; do not normalize to a single final accent. Proposed khola/kotara comparisons are segmentally insufficient.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	2	final-plus-other-accent
cloud	áʐe	-e	2	stress-marked	[]	[]	[]	f_373cdo5ejqomk	[]	m.pl	3	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: abhrá (549), cloud, rainy weather. This links the root/lexeme, not each inflected cell directly to the old headword.	549	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
dew	phúruʦe	-e	3	stress-marked	"[""phúrus""]"	[2]	"[""f_dywhshxyrqdrm""]"	f_gfzm5kjn6hueu	[]	m.pl	4	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
dust	udú:e	-e	2	stress-marked	"[""udú:""]"	[1]	"[""f_5mzh7hen3spkc""]"	f_zqyigo3xmsxjs	"[""2025""]"	m.pl	5	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: *uddhūḍi (2025), excessive dust. This links the root/lexeme, not each inflected cell directly to the old headword.	2025	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
flood	mu:ze	-e		unmarked	"[""buʧeʋázẽĩ"", ""mu:s""]"	"[3, """"]"	"[""f_2gc5s7cjws4d2"", ""f_jt5pacvrp2ooi""]"	f_y5to7jfbbh6vo	[]	f.pl	6	The flood candidates mix mu:s/mu:ze with a different multi-component expression. Use only the mu:s paradigm for segmental comparison; neither citation marks stress.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
hail	ɖóɾe	-e	2	stress-marked	"[""ɖóɾo""]"	[2]	"[""f_xyvag2lyx27cq""]"	f_kltorbwjt26ec	[]	m.pl	7	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
hillock	ʈhuké	-e	1	stress-marked	"[""ʈhúko""]"	[2]	"[""f_snkuuxxqocuc2""]"	f_iitragnlv4xrm	[]	m.pl	8	Hillock changes ʈhúko to ʈhuké: stress moves to the replacement plural vowel. The unextended -e rule is not sufficient.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
ice	so:re	-e		unmarked	"[""so:r""]"	"[""""]"	"[""f_ems5ebwpqwjew""]"	f_rs5gjv3rx5aty	"[""13355""]"	m.pl	9	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: sā́ra (13355), hardness (of wood); best part; firm, strong; resin, sour cream. This links the root/lexeme, not each inflected cell directly to the old headword.	13355	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
isthmus	tóre	-e	2	stress-marked	"[""tóri"", ""torí:""]"	[2, 1]	"[""f_jertms3a37xps"", ""f_bzriuzo3mlcf6""]"	f_wzmhw5zfu25yc	[]	f.pl	10	Two singular vowel/accent variants occur under isthmus. Plural tóre agrees with tóri, but the source also has torí:. Preserve both as source-internal variation.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
lake	bíre	-e	2	stress-marked	"[""bír""]"	[1]	"[""f_t6hv6u6jejtuc""]"	f_7zi63ntnxfj64	[]	f.pl	11	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
lightening	bíʧuʐe	-e	3	stress-marked	"[""bíʧuʂ""]"	[2]	"[""f_zxemwd6jb57so""]"	f_twunzewjszo5y	[]	f.pl	12	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
limestone	móte	-e	2	stress-marked	"[""móti""]"	[2]	"[""f_ebfeyixcyj7hi""]"	f_mjd2nu2slxsek	[]	f.pl	13	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
mountain	ʃʌyé	-e	1	stress-marked	"[""ʃeí""]"	[1]	"[""f_xohr2iu3bzvd6""]"	f_skhi4vkaqlwjw	[]	f.pl	14	Mountain ʃeí/ʃʌyé involves vowel-sequence and glide alternation; old mountain synonyms do not establish its etymology. Final plural stress is marked.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
moss	khʌɽʌ́ke	-e	2	stress-marked	"[""khʌɽʌ́k""]"	[1]	"[""f_u4uafmbkftady""]"	f_a4oswjamlhibg	[]	m.pl	15	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
peak	ʧhí:ʐe	-e	2	stress-marked	"[""ʧhí:ʂ""]"	[1]	"[""f_btclih5cvrekm""]"	f_onwxas54bhlqm	[]	f.pl	16	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
