biori	gloss	family_ids	input_class	expected	ashret_forms	observed	record_ids	inflections	explanations	status
aǰ	today	"[""242""]"	short-a-without-h	E	"[""aáǰ""]"	"[""L""]"	"[""f_lbmo2ellmbrdi"", ""f_llss66zccqc7a""]"	"[[""not-recorded"", """"]]"	"[""Palula aáǰ, independently late in Strand, opposes the general early contour of newly lengthened unaspirated short a in a closed monosyllable. Biori aǰ and short Shina aš show that the modern late long vowel is a branch-specific result, while the old final accent offers an inherited source for right-edge prominence. Either quantity was restored before the late-lengthening rule or this high-frequency adverb escaped its normal assignment.""]"	opposite
aṣṭ	eight	"[""941""]"	short-a-without-h	E	"[""áaṣṭ""]"	"[""E""]"	"[""f_a2qflwi6dbs3o"", ""f_rsldl4hnjzwoo""]"	"[[""not-recorded"", """"]]"	"[""Biori aṣṭ and short Shina aṣ show loss of the old accented ending with a short surviving stem; Ashret áaṣṭ then fits later unaspirated closed-a lengthening with early accent. Its early contour therefore does not refute inherited final accent. Kalkoti eeṣ requires an independent vowel/umlaut or numeral-paradigm history; its unmarked citation cannot supply tone.""]"	consistent
ak	one; one (person), someone	"[""2462""]"	short-a-without-h	E	"[""áak""]"	"[""E""]"	"[""f_5rrns4glngxoq"", ""f_ndm7sgvqas5h2""]"	"[[""not-recorded"", """"]]"	"[""Gilgit ek, Biori ak and Kalkoti äk show shortening/quality change before the modern citation stage. Ashret áak then fits later closed-a lengthening from Biori-like ak. Thus early aa is compatible with the historical accent but cannot be used as unchanged old e length. Turner explicitly discusses the strengthened kk formation, providing a structural reason for earlier shortening.""]"	consistent
a	one; one (person), someone	"[""2462""]"	short-a-without-h	E	"[""áa""]"	"[""E""]"	"[""f_2q4h7ob4pjmbo"", ""f_e5ptsrrsr5ncy""]"	"[[""not-recorded"", """"]]"	"[""Gilgit ek, Biori ak and Kalkoti äk show shortening/quality change before the modern citation stage. Ashret áak then fits later closed-a lengthening from Biori-like ak. Thus early aa is compatible with the historical accent but cannot be used as unchanged old e length. Turner explicitly discusses the strengthened kk formation, providing a structural reason for earlier shortening.""]"	consistent
kaṇ	ear	"[""2830""]"	short-a-without-h	E	"[""káaṇ""]"	"[""E""]"	"[""f_jzo3xvxyczxoa"", ""f_riwftdprddvuk""]"	"[[""root-retaining"", ""a-decl (Obl, pl): -a""]]"	"[""Palula káaṇ versus Biori kaṇ fits late Ashret closed-a lengthening after rṇ simplification. Short Gilgit kon has nasal-environment backing, and Kalkoti/Kundal kān confirm broader segmental correspondences without reliable tone in these records. A reported mobile Gilgit ear paradigm contrasts with Palula fixed accent despite shared old barytonesis, so the inflectional evidence must override the misleading agreement of short citation forms.""]"	consistent
kram	work; deed, behaviour	"[""2892""]"	short-a-without-h	E	"[""kráam""]"	"[""E""]"	"[""f_7hyftv5pgyvaa"", ""f_y5nhy3rinzx7u""]"	"[[""root-retaining"", ""a-decl (Obl, pl): -a""]]"	"[""Biori kram beside inflected kráama, and Ashret kráam, separate an older open-syllable lengthening layer from later Ashret closed-syllable lengthening. Metathesis moves r into the onset before this comparison. Shina kom/krom and Kalkoti traam share the work sense but have independent r-cluster and nasal-vowel developments. A single citation-form mora table must be supplemented by the Biori paradigm, which is the most diagnostic evidence.""]"	consistent
c̣har	waterfall	"[""3662""]"	short-a-with-h	L	"[""c̣haár""]"	"[""L""]"	"[""f_lefvdsipu3sgu"", ""f_v72oq5oe2lou4""]"	"[[""suffix-accented"", ""i-decl (Obl, pl): c̣harí""]]"	"[""Biori c̣har versus Ashret c̣haár gives a short aspirated-onset precursor and late long Ashret outcome, exactly the environment of later aspiration-conditioned closed-a lengthening. Old final accent is compatible with prior apocope, but does not independently explain the modern late mora because the same lengthening rule predicts it. Waterfall is semantically compatible with flowing/melting water.""]"	consistent
khaṇ	mountain; mountain pass; Lowari Pass	"[""3792"", ""13627""]"	short-a-with-h	L	"[""kháaṇ""]"	"[""E""]"	"[""f_gecdeusqdghyo"", ""f_ma6j5px33fee6"", ""f_mgz7vtmsj5v2k"", ""f_pk7mdyfdru6se""]"	"[[""root-retaining"", ""a-decl (Obl, pl): -a""]]"	"[""Biori khaṇ and Shina khaṇ/khoṇ establish a short root; Ashret kháaṇ and Strand khʹâṇ are early despite an aspirated onset, opposing the otherwise productive late closed-a lengthening condition. Changing the old etymon to skandha would not by itself fix that modern conditioning problem. The Biori dictionary equivalent rauléi is a lexical replacement, not a sound outcome of khaṇḍá."", ""Palula káand/káan versus Biori kan supports a short stage followed by early western lengthening. Kohistani kaṇíi ‘shoulder’ instead has a final accented feminine formation. Mountain kháaṇ is also linked to khaṇḍa elsewhere and remains an aspiration/early-lengthening residual, while Biori rauléi is a segmentally unrelated lexical replacement. Those mountain and replacement records must not determine the shoulder's sound correspondence.""]"	opposite
khar	donkey	"[""3818""]"	short-a-with-h	L	"[""khaár""]"	"[""L""]"	"[""f_lw6ysqpig3ng2"", ""f_wtijmo6m4yece""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): khará""]]"	"[""Palula khaár contrasts with Biori short khar and with feminine khári, which has a short accented root before i. This is a particularly useful morphological and quantity control: aspiration-conditioned late lengthening occurs in the closed monosyllabic masculine, while the disyllabic feminine retains a short root. The old words lack accent, so the contrast is not evidence for different inherited accents.""]"	consistent
ghrast	wolf (or predatory animal in general)	"[""4362""]"	short-a-with-h	L	"[""ghraást""]"	"[""L""]"	"[""f_2zh7okudbyv4i"", ""f_wvnncfjrwgy76""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): ghrastá""]]"	"[""Palula ghraást versus Biori ghrast has late western lengthening in an aspirated closed monosyllable. The swallower-to-wolf semantic path is independently proposed, and the short Biori form supports a late lengthening stage. The old input lacks accent, so this tests the newer phonological environment rather than inherited barytone/oxytone contrast.""]"	consistent
čar	fresh grass (esp. as fodder)	"[""4762""]"	short-a-without-h	E	"[""čáar""]"	"[""E""]"	"[""f_lke2sojllsqo6"", ""f_muzmibohogi2y""]"	"[[""suffix-accented"", ""i-decl (Obl, pl): čarí""]]"	"[""Palula čáar versus Biori čar shows early western lengthening from a short modern comparison, despite reconstructed old long ā. This can mean shortening preceded re-lengthening or that a different short-root input was inherited; the data do not discriminate by accent alone. The fodder/grass meaning supports the broader graze-related family.""]"	consistent
ǰar	fever	"[""5303"", ""5311""]"	short-a-without-h	E	"[""ǰáar""]"	"[""E""]"	"[""f_43vsb4wscgn3s"", ""f_ac6wipepaczv2"", ""f_t5a7mftwa63jy"", ""f_tvk2nswtqcdac""]"	"[[""suffix-accented"", ""a-decl (Obl): ǰará""]]"	"[""Biori ǰar versus Ashret ǰáar gives a short precursor with no aspiration in the modern onset. Loss of final old accent onto that short stem followed by later closed-a lengthening predicts an early long vowel. This is a useful oxytone input whose modern early contour is regular under an ordered account, rather than a reason to posit arbitrary accent retraction."", ""Palula ǰáar/Biori ǰar is the same fever lexeme also linked to a short-root jvara formation. Biori's short vowel and Ashret early aa support later monosyllabic lengthening, whereas reconstructed *jvāra would require shortening first. These are competing old quantity analyses of one word, not independent confirmations.""]"	consistent
ǰhaṭ	goat's hair; fur	"[""5334""]"	short-a-with-h	L	"[""ǰhaáṭ""]"	"[""L""]"	"[""f_4is2ibguxjqkg"", ""f_5jv2k6r5iiuew""]"	"[[""suffix-accented"", ""i-decl (Obl (pl)): ǰhaṭí""]]"	"[""Palula ǰhaáṭ versus Biori ǰhaṭ gives late lengthening in an aspirated closed monosyllable, independently supported by the short dialect form. The old variant family includes both short and long vowels, so its historical quantity cannot be chosen from the modern outcome. Kundal jē̌ṭ ‘goat’ adds a semantic animal-from-hair comparison and a source-specific contour worth checking.""]"	consistent
daš	ten	"[""6227""]"	short-a-without-h	E	"[""dáaš""]"	"[""E""]"	"[""f_ds75yrlrwc2pm"", ""f_zbq6o45kmzoyk""]"	"[[""not-recorded"", """"]]"	"[""Palula dáaš/Biori daš fits later Ashret closed-a lengthening with early accent, while Shina dáai/dái loses the sibilant and forms a vowel/glide sequence. Both preserve initial prominence at the level of the historical root, but their mora counts are not directly equivalent. Kalkoti deeš has an independent front-vowel history requiring comparison with other numerals.""]"	consistent
dhrac̣	grape	"[""6628""]"	short-a-with-h	L	"[""dhráac̣""]"	"[""E""]"	"[""f_gwlbk3wvxksls"", ""f_yzdlwulp7kem2""]"	"[[""root-retaining"", ""a-decl (Obl, pl): -a""]]"	"[""Biori dhrac̣ and short Shina grape forms support an earlier short root, while Ashret dhráac̣ is early despite aspiration. It is therefore a genuine counterexample to unrestricted aspirated closed-a late lengthening, like ‘mountain’. The old entry's long/short and barytone/oxytone variants cannot alone explain the modern conditioning failure. The compound wild-vine forms have additional feminine morphology.""]"	opposite
dar	door	"[""6651""]"	short-a-without-h	E	"[""dáar""]"	"[""E""]"	"[""f_ehdsduazeeeua"", ""f_ma7oj2akp5mry""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): dará""]]"	"[""Palula dáar beside Biori dar supports early accent on newly lengthened a. The reconstructed short input is distinct from independently attested long dvā́ra. Palula darúṛi ‘window’, Shina darú ‘outside’ and adjectival dariino have additional material or grammatical uses; they are not exceptions in one door paradigm. Sawi darḗ may likewise reflect an ending.""]"	consistent
dand	hill side, peak, ridge	"[""6724""]"	short-a-without-h	E	"[""dáand""]"	"[""E""]"	"[""f_2uvsw4rsxfv6k"", ""f_37y7iic4geeuy""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): dandá""]]"	"[""Palula dáand/Biori dand is a short-root ridge word with later Ashret early lengthening. Modern aspiration is absent even though older dhān records retain it, so the word cannot be used to test aspirated-onset lengthening without establishing aspiration's timing. The old entry contains both root-accented and final-accented forms, adding input ambiguity.""]"	consistent
nas	nose	"[""7031""]"	short-a-without-h	E	"[""náas""]"	"[""E""]"	"[""f_ujvlyk74hm24w"", ""f_y2n5hwwg4och4""]"	"[[""suffix-accented"", ""i-decl (Obl, pl): nastí""]]"	"[""Palula náas beside Biori nas supports early accent from a short stage. Shina náto, nóthi and nótu preserve different final vowels and short root quantity, suggesting distinct gender or extension histories. Strand nastiṣôʹṛ ‘nostril’ is a compound with prominence in the second member, not an exceptional nose noun.""]"	consistent
panǰ	five	"[""7655""]"	short-a-without-h	E	"[""páanǰ""]"	"[""E""]"	"[""f_4ulipxwirqgb2"", ""f_a6lnhdjqs3q4k""]"	"[[""not-recorded"", """"]]"	"[""Palula páanǰ/Biori panǰ fits later closed-a lengthening with early accent; Shina poš/poi has nasal-environment backing and affricate/sibilant reduction. The old root prominence is compatible, but the short main-Shina citation cannot reveal a long-mora class. Kalkoti paanǰ and Kundal pā̃j add segmental coverage without a tone decision in these sources.""]"	consistent
par	last year	"[""7907""]"	short-a-without-h	E	"[""páar""]"	"[""E""]"	"[""f_6rtlzdmwstkgq"", ""f_pled5thcxg4se""]"	"[[""not-recorded"", """"]]"	"[""Biori par and Ashret páar fit loss of the old accented second syllable onto a short monosyllabic stem followed by early closed-a lengthening. The modern early contour is therefore compatible with old noninitial accent under an ordered account. Unlike long-root apocope, there was no inherited bimoraic target at the relevant early stage.""]"	consistent
pral	light	"[""8711""]"	short-a-without-h	E	"[""práal""]"	"[""E""]"	"[""f_6z6jcpfcem3y2"", ""f_eriylidlq3u62""]"	"[[""suffix-accented"", ""a-decl (Obl): pralá""]]"	"[""Palula práal beside Biori pral suggests an intervening short stage before early new length, despite the reconstructed old long vowel. Historical bh is medial and lost; this is not equivalent to a retained aspirated modern onset. Shina c̣alo ‘torch’ has an ending and a related but different formation; Sawi plal contributes metathesis evidence.""]"	consistent
yandr	mill	"[""10412""]"	short-a-without-h	E	"[""yáandr""]"	"[""E""]"	"[""f_3cwqiqkayoa7s"", ""f_s2kssaz5iw5ge""]"	"[[""root-retaining"", ""a-decl (Obl, pl): -a""]]"	"[""Ashret yáandr is early-accented but Biori yandr is short; Gilgit yó~r and Guresi yo~ṣ also do not show a clear long-vowel mora contrast in these transcriptions. Thus an old oxytone can lose its final accent onto a short root, followed by later Ashret lengthening with early alignment. It need not behave like preserved-long-root kālá > kaál. The retained ndr cluster in Palula also argues against treating its aa as simple compensation for total cluster loss.""]"	consistent
yab	irrigation canal	"[""10442""]"	short-a-without-h	E	"[""yáab""]"	"[""E""]"	"[""f_7zlrrmweiu3e2"", ""f_ykrvpvohvxtgc""]"	"[[""root-retaining"", ""a-decl (Obl, pl): -a""]]"	"[""Shina yap/yab and Biori yab are short monosyllables; Ashret yáab is early-long. The Biori comparison supports later Ashret lengthening after loss of the old finally accented feminine material, explaining why an old oxytone does not yield a late vowel here. The old vy sequence and b reflex require a segmental intermediary, but a preserved old long first vowel is not available.""]"	consistent
rat	blood	"[""10539""]"	short-a-without-h	E	"[""ráat""]"	"[""E""]"	"[""f_lmnlacvhvk234"", ""f_ngygjwbkf7xwa""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): ratá""]]"	"[""Palula ráat/Strand rʹât beside Biori rat supports early length from a short stage after cluster reduction. Kalkoti raat is explicitly high-level/default in 2013 and explicitly toneless in Hultman 2023, an important case where zero is positively documented. Kundal and Sauji raːt add segmental evidence; their unmarked tokens do not independently establish zero tone.""]"	consistent
baṭ	stone, rock	"[""11348""]"	short-a-without-h	E	"[""báaṭ""]"	"[""E""]"	"[""f_vvaoocqomdriy"", ""f_wn272w7tdocgm""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): baṭá""]]"	"[""Palula báaṭ/Strand bʹâṭ beside Biori baṭ and Shina baṭ supports an independently short stage followed by early aa in Palula. The source also allows long *vārta, so the reconstruction alone does not establish the chronology. Kundal baṭō retains an ending; Gilgit yó~r-bat is a millstone compound and must not supply the stone noun's accent.""]"	consistent
baṣ	rain	"[""11392""]"	short-a-without-h	E	"[""báaṣ""]"	"[""E""]"	"[""f_faznsewj7ozfc"", ""f_sd3by4vn576ps""]"	"[[""suffix-accented"", ""a-decl (Obl): baṣá""]]"	"[""Ashret báaṣ contrasts with Biori short baṣ, showing that old final accent can precede later early-aligned monosyllabic lengthening. Palula béeriṣ ‘summer’ retains an extra vowel and early prominence, while Gilgit baríṣ ‘year’ accents the second short syllable. These season/year forms require epenthesis, inflection and semantic specialization to be analyzed separately from the rain simplex; their source of i may explain distinct accent histories.""]"	consistent
sat	seven	"[""13139""]"	short-a-without-h	E	"[""sáat""]"	"[""E""]"	"[""f_bkvropwimluxu"", ""f_hnlptlynhabde""]"	"[[""not-recorded"", """"]]"	"[""Biori, Shina, Kundal and Sauji sat are short, while Ashret sáat is early-long. This is a strong demonstration that an old short-root oxytone can pass through a short monosyllable and later acquire an early long vowel; its history differs from kālá > kaál with inherited root length. The retained short forms provide independent chronological evidence rather than merely an inferred intermediate.""]"	consistent
sar	lake, pond, puddle	"[""13254""]"	short-a-without-h	E	"[""sáar""]"	"[""E""]"	"[""f_stjehsosoczzo"", ""f_w36mmh5td7wuu""]"	"[[""suffix-accented"", ""i-decl (Obl, pl): sarí""]]"	"[""Palula sáar versus Biori and Gilgit sar preserves initial/root prominence while Ashret alone has a long vowel. The old first vowel was short, and Biori supplies an independent short-stage control. This supports later monosyllabic lengthening with early alignment, complementary to old oxytones such as saptá that reach the same short stage before lengthening.""]"	consistent
kan	shoulder	"[""13627""]"	short-a-without-h	E	"[""káan""]"	"[""E""]"	"[""f_3uoc2u2w2dxrm"", ""f_pjztpmtrf77ds""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): kaná""]]"	"[""Palula káand/káan versus Biori kan supports a short stage followed by early western lengthening. Kohistani kaṇíi ‘shoulder’ instead has a final accented feminine formation. Mountain kháaṇ is also linked to khaṇḍa elsewhere and remains an aspiration/early-lengthening residual, while Biori rauléi is a segmentally unrelated lexical replacement. Those mountain and replacement records must not determine the shoulder's sound correspondence.""]"	consistent
haḍ	bone	"[""13952""]"	short-a-with-h	L	"[""haáḍ""]"	"[""L""]"	"[""f_gylv2zfgesifi"", ""f_zhqwjvhzncmiy""]"	"[[""root-accented"", ""a-decl (Obl, pl): háaḍa""]]"	"[""Palula haáḍ beside Biori haḍ provides a strong late-new-aa example with h in a closed monosyllable. haṇḍúk/haḍúng and Strand haḍʹung are extended skeleton or bone forms, not the same cell; marrow is a compound. Kalkoti aḍ/aṛ loses initial h and has separate tone evidence to establish. Turner explicitly calls the ásthi connection very doubtful.""]"	consistent
hal	plough	"[""14000""]"	short-a-with-h	L	"[""haál""]"	"[""L""]"	"[""f_a3qxhivbqwmwu"", ""f_nh34cikdbtqdu""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): halá""]]"	"[""Ashret haál contrasts with Biori and Shina short hal. The old first vowel was short, so the long late aa is a later western development, compatible with the h/aspiration-conditioned monosyllabic lengthening class. This contrasts with unaspirated sáat/yáab, which become early-long after a comparable short stage; it also shows why old accent alone cannot explain the western contour.""]"	consistent
hat	hand	"[""14024""]"	short-a-with-h	L	"[""haát""]"	"[""L""]"	"[""f_7u5cqjsh3cqo2"", ""f_oevcjtgw3t5bo""]"	"[[""root-accented"", ""a-decl (Obl, pl): háata""]]"	"[""Ashret haát is late-long despite old barytonesis, while Biori and all four Shina dialects hat are short. This is a strong independent counterexample to old-accent-only prediction and a positive candidate for late alignment during h-conditioned western lengthening. The old st cluster has simplified before the relevant modern contrast, and retained Sauji hatha can help date apocope if its form is verified.""]"	consistent
ak	a, an; a certain	[]	short-a-without-h	E	"[""áak""]"	"[""E""]"	"[""f_ol4gcmoqbmzts"", ""f_xlnes4fwtrbqi""]"	"[[""not-recorded"", """"]]"	[]	consistent
ḍab	plateau, plain area on top of a hill	[]	short-a-without-h	E	"[""ḍáab""]"	"[""E""]"	"[""f_n3bocqps2kva2"", ""f_nzfrt6zf2ixns""]"	"[[""suffix-accented"", ""i-decl (Obl, pl): ḍabí""]]"	[]	consistent
ḍag	markhor (a species of wild goat)	[]	short-a-without-h	E	"[""ḍáag""]"	"[""E""]"	"[""f_4sq7n3gp7dnms"", ""f_ngs5aomfmojuu""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): ḍagá""]]"	[]	consistent
rang	colour; paint; complexion	[]	short-a-without-h	E	"[""ráang""]"	"[""E""]"	"[""f_qoqc6cg66i3ji"", ""f_zwahgkgiydy3e""]"	"[[""suffix-accented"", ""i-decl (Obl, pl): rangí""]]"	[]	consistent
šan	roof	"[""12326""]"	short-a-without-h	E	"[""šáan""]"	"[""E""]"	"[""f_6aypqwxcxxodq"", ""f_zhr2kiplmdubm""]"	"[[""suffix-accented"", ""a-decl (Obl, pl): šaná""]]"	"[""Kohistani šaróon, Guresi šarún and Astori šarín retain two root syllables with final-root prominence, while Palula šʹân is a contracted early-long monosyllable. The independently reconstructed *śarṇa supplies a possible shorter input for Palula, but it lacks its own accent. Different segmental formations and later lengthening must be separated from an unconditional claim that all outcomes preserve the old headword's accent.""]"	consistent
