family_id	gloss	palula	palula_gloss	palula_nuclei	palula_final	palula_outcome	palula_accent_from_right	kalkoti	kalkoti_source	kalkoti_outcome	kalkoti_low_status	kalkoti_record_id	palula_record_id
941	eight	áaṣṭ	eight	1	consonant-final	E	1	eeṣ	kalkoti	unmarked		f_tloradsf5i5ls	f_rsldl4hnjzwoo
1351	mother	yéei	mother	2	short-final-vowel	vowel-sequence-marked	2	yee	kalkoti	unmarked		f_furihi3sw43jk	f_rjnv7k27abukq
2462	one	áak	one; one (person), someone	1	consonant-final	E	1	äk	kalkoti	unmarked		f_faxpiecbckpay	f_ndm7sgvqas5h2
2462	one	áa	one; one (person), someone	1	long-final-vowel	E	1	äk	kalkoti	unmarked		f_faxpiecbckpay	f_e5ptsrrsr5ncy
2830	ear	káaṇ	ear	1	consonant-final	E	1	kaan	kalkoti	P-high-level		f_xdzllnipbgl4u	f_riwftdprddvuk
2892	work	kráam	work; deed, behaviour	1	consonant-final	E	1	traam	kalkoti	unmarked		f_lvuecud33bp3m	f_7hyftv5pgyvaa
3243	knee	khúṭu	leg, knee	2	short-final-vowel	S	2	kuṭ	kalkoti	P-high-rising		f_3e7geqqm7h7yk	f_i66sd2zsxesaq
4147	cow	ghaáu	cow	2	short-final-vowel	vowel-sequence-marked	2	ɡaa	kalkoti	P-high-level		f_4o7wrh2ypzy3q	f_tzhfziq7bqaha
4236	take	ghína	to take, get, seize; buy	2	short-final-vowel	S	2	ɡiin	kalkoti	unmarked		f_6e225kmljrzvy	f_shwiighc4vjly
4287	wheat	ghoóm	wheat	1	consonant-final	L	1	ɡoom	kalkoti	P-low-level		f_rwvb6sbg7f4gs	f_yvx2gkhczdjdu
4368	village	ghróom	village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás	1	consonant-final	E	1	draam	kalkoti	unmarked		f_jl3dx6w7fhq4u	f_ceqs73vbsapl4
4655	four	čúur	four	1	consonant-final	E	1	čoor	kalkoti	unmarked		f_l5e4enw3ttgw2	f_6mtdurggxxe6y
5589	belly	ḍheér	belly	1	consonant-final	L	1	ḍä̀är	kalkoti	P-low-level		f_mj3zepcgkambe	f_hbsaja5etrfak
5798	star	tóoru	star	2	short-final-vowel	E	2	taár	kalkoti	P-high-rising		f_cn2h6vtf66maq	f_s6qaocpdipeio
5839	sharp	tíiṇu	sharp	2	short-final-vowel	E	2	tiin	kalkoti	unmarked		f_vn7zpcxcmb4uc	f_yr3bcs6m4torm
5994	three	tróo	three	1	long-final-vowel	E	1	traa	kalkoti	unmarked		f_e6gpjsokdkldy	f_u7ls4eyuoroxs
6152	tooth	dáand	tooth	1	consonant-final	E	1	daan	kalkoti	P-high-level		f_ma7uwt6urpje6	f_7fzbbwvnqq5lw
6227	ten	dáaš	ten	1	consonant-final	E	1	deeš	kalkoti	unmarked		f_xcbz4fspwezdw	f_zbq6o45kmzoyk
6261	father's father	dóodu	grandfather; father's father; forefather	2	short-final-vowel	E	2	daad	kalkoti	P-high-rising		f_ute4p5wpcofeg	f_y3vozhhno6ssw
6261	father's mother	déedi	grandmother; father's mother	2	short-final-vowel	E	2	deed	kalkoti	P-high-rising		f_qwtpow6e7uzw6	f_qppwuknx5uo6u
6368	long, tall	dhrígu	long, tall	2	short-final-vowel	S	2	driɡ	kalkoti	P-high-rising		f_tiuw5ldstulbs	f_u5326otvtzozy
6648	two	dúu	two	1	long-final-vowel	E	1	duu	kalkoti	unmarked		f_kumba4tloakkq	f_ky22likdlg36w
6651	door	dáar	door	1	consonant-final	E	1	där	kalkoti	unmarked		f_ohl4jl46urjjw	f_ma7oj2akp5mry
6658	twelve	bóoš	twelve	1	consonant-final	E	1	baaš	kalkoti	unmarked		f_dvap6kvq7atdu	f_iu5minc42dt7i
6835	dust	dúṛi	dust	2	short-final-vowel	S	2	dur	kalkoti	unmarked		f_vukzhxvbeurqg	f_ttle26ebtsppi
6835	dust	dúṛi	dust	2	short-final-vowel	S	2	duṛ	kalkoti	unmarked		f_qbep75mbfny46	f_ttle26ebtsppi
6984	nine	núu	nine	1	long-final-vowel	E	1	nam	kalkoti	unmarked		f_f7doxnrdxqyvm	f_xwhsjzmk7plme
7047	root	neeṛíi	root	2	long-final-vowel	E	1	neer	kalkoti	P-high-falling		f_gzmvztaxoxoou	f_cfjnikckhxgmi
7200	sleep	níindra	sleep	2	short-final-vowel	E	2	niin	kalkoti	unmarked		f_el5jdpvzftaco	f_ljwjwikhzurw6
7655	five	páanǰ	five	1	consonant-final	E	1	paanǰ	kalkoti	unmarked		f_2liyesszlpefm	f_a6lnhdjqs3q4k
7785	path	páand	path, road	1	consonant-final	E	1	paand	kalkoti	P-high-level		f_6md7zxvzbyfsw	f_sr7ofangymbyy
8416	son's son	púutru	grandson; son's son	2	short-final-vowel	E	2	pootr	kalkoti	P-high-rising		f_5pmpl6sosdozu	f_exojng6zn4a36
8417	son's daughter	púutri	granddaughter; son's daughter	2	short-final-vowel	E	2	peetr	kalkoti	unmarked		f_m6qfwausvk446	f_zzkbmjbsrx2di
9089	father's sister	phéepi	aunt; father's sister	2	short-final-vowel	E	2	pheep	kalkoti	P-low-rising		f_owrwjd54j7xxe	f_2ka27pwuix3ie
9209	father	báabu	father	2	short-final-vowel	E	2	bab	kalkoti	unmarked		f_mdwgrqioxncrg	f_a7lxchtr3gljq
9349	sister	bheéṇ	sister	1	consonant-final	L	1	bään	kalkoti	P-low-level		f_yutxopiz56ogm	f_cin2ll6wvc2oq
9661	brother	bhróo	brother; cousin, member of one's own tribe	1	long-final-vowel	E	1	dra	kalkoti	unmarked		f_xhzc5kdk5dq6a	f_cbygp6jqtngzk
9828	man	míiš	man; person	1	consonant-final	E	1	meeš	kalkoti	unmarked		f_3hsviwixgk6ws	f_2rmhvuusytymy
10001	mother's sister	méeši	aunt; mother's sister	2	short-final-vowel	E	2	meeš	kalkoti	unmarked		f_25mlscjuadlve	f_66ntoicqhnxrq
10058	mother's mother	méemi	grandmother; mother's mother	2	short-final-vowel	E	2	meem	kalkoti	unmarked		f_omn7go76zjuyq	f_6il4dlgc2i3gc
10539	blood	ráat	blood	1	consonant-final	E	1	raat	kalkoti	P-high-level		f_tbzszaqefnaca	f_ngygjwbkf7xwa
11616	twenty	bhiíš	twenty; the twenty sth or people; 20	1	consonant-final	L	1	biš	kalkoti	unmarked		f_crn5oeh5lsx2u	f_6pzjkzzpb25ng
12379	wood	šaák	wood	1	consonant-final	L	1	šaàk	kalkoti	P-high-falling		f_27r5oljrxsozy	f_vtca5gbhbbbmi
12753	father-in-law	šúur	father-in-law; husband's or wife's father	1	consonant-final	E	1	šoor	kalkoti	unmarked		f_h5qqxwv2sn6lm	f_nyc3xud7fztig
13139	seven	sáat	seven	1	consonant-final	E	1	saat	kalkoti	unmarked		f_dlu53w6gbhvgk	f_bkvropwimluxu
13254	lake	sáar	lake, pond, puddle	1	consonant-final	E	1	sär	kalkoti	P-high-level		f_plslnaqnzues4	f_stjehsosoczzo
13574	sun	súuri	sun	2	short-final-vowel	E	2	siir	kalkoti	unmarked		f_t3jpshztsgh46	f_f5ppuzenbgtk6
13952	bone	haáḍ	bone	1	consonant-final	L	1	aḍ	kalkoti	unmarked		f_rlpla7ri2qfxs	f_gylv2zfgesifi
6141	to give	díi	to give, put	1	long-final-vowel	E	1	dit	kalkoti	unmarked		f_aiv3uay4tc6gk	f_drydonmaob7e6
6518	to see	páaša	to see; notice	2	short-final-vowel	E	2	driṣ	kalkoti	unmarked		f_tgh4lgdb3ae7e	f_bnqfxnbozzwlu
6495	far away	dhúura	far away; away	2	short-final-vowel	E	2	duur	kalkoti	P-low-rising		f_2ybntmeeu7u6e	f_sazczz3jtup2g
6518	see	páaša	to see; notice	2	short-final-vowel	E	2	driṣ	kalkoti	unmarked		f_6mqad6hd73ro6	f_bnqfxnbozzwlu
2462	one	áak	one; one (person), someone	1	consonant-final	E	1	ä	kalkoti	unmarked		f_yfaslvwarfbvk	f_ndm7sgvqas5h2
2462	one	áa	one; one (person), someone	1	long-final-vowel	E	1	ä	kalkoti	unmarked		f_yfaslvwarfbvk	f_e5ptsrrsr5ncy
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thääl	kalkoti	unmarked		f_qcbylladcerhe	f_eglhkdsbofymk
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yä	kalkoti	unmarked		f_eyi354kd6cudc	f_oawjhqw3lwtfe
6141	give	díi	to give, put	1	long-final-vowel	E	1	diin	kalkoti	unmarked		f_3pt4pcndjav6i	f_drydonmaob7e6
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yuun	kalkoti	unmarked		f_wovjxiwxw6j6k	f_oawjhqw3lwtfe
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	baans	kalkoti	unmarked		f_xdqy6cb3l3az4	f_z5jfyte7gpffo
8399	boy	phoó	boy; son; boy	1	long-final-vowel	L	1	puu	kalkoti	unmarked		f_dbbnoef5z7zno	f_6goypw42a5tgu
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yaal	kalkoti	unmarked		f_x3s26fniglhcq	f_oawjhqw3lwtfe
13952	bone	haáḍ	bone	1	consonant-final	L	1	aṛ	kalkoti	unmarked		f_p6p3qwo4psfsw	f_gylv2zfgesifi
7785	path	páand	path, road	1	consonant-final	E	1	paan	kalkoti	P-high-level		f_gtboqkvbsytrc	f_sr7ofangymbyy
5228	tongue	ǰip	tongue	1	consonant-final	short-monosyllable		ǰib	hultman2023kalkoti	unmarked		f_xrztuiah7243c	f_yms6ipib7onvy
9661	brother	bhróo	brother; cousin, member of one's own tribe	1	long-final-vowel	E	1	dra	hultman2023kalkoti	unmarked		f_5y7t246emhx2i	f_cbygp6jqtngzk
6518	see	páaša	to see; notice	2	short-final-vowel	E	2	driṣ	hultman2023kalkoti	unmarked		f_ceyuon6lh3ad4	f_bnqfxnbozzwlu
4368	village	ghróom	village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás	1	consonant-final	E	1	draám	hultman2023kalkoti	H2		f_6spyts2bjwdrg	f_ceqs73vbsapl4
5994	three	tróo	three	1	long-final-vowel	E	1	traa	hultman2023kalkoti	unmarked		f_ulli7invxi5fm	f_u7ls4eyuoroxs
2892	work	kráam	work; deed, behaviour	1	consonant-final	E	1	traam	hultman2023kalkoti	unmarked		f_5r24fcdrxoxj2	f_7hyftv5pgyvaa
6152	tooth	dáand	tooth	1	consonant-final	E	1	daan	hultman2023kalkoti	0-explicit		f_nym735embdbbq	f_7fzbbwvnqq5lw
10539	blood	ráat	blood	1	consonant-final	E	1	raat	hultman2023kalkoti	0-explicit		f_zgqgxk3udasdy	f_ngygjwbkf7xwa
