class_id	language	selected_family_or_unlinked_member_count	families_or_members_with_counterpart_records	families_or_members_without_counterpart_records	observed_counterpart_outcome_counts	note
short-a-without-h	Sh	32	19	13	"{""E@-1"": 2, ""S@-1"": 4, ""S@-2"": 2, ""short-monosyllable"": 13, ""stress-marked@-1"": 2, ""stress-marked@-2"": 3, ""stress-marked@position-unresolved"": 1, ""syllable-marked@-1"": 4, ""syllable-marked@-2"": 1, ""syllable-marked@position-unresolved"": 2, ""unmarked"": 18, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-without-h	Phal	32	32	0	"{""E@-1"": 27, ""E@-2"": 2, ""L@-1"": 2, ""S@-2"": 1, ""short-monosyllable"": 28, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 3, ""unmarked"": 24, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-without-h	Sv	32	15	17	"{""syllable-marked@-1"": 1, ""unmarked"": 14}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-without-h	Kalk	32	10	22	"{""0-explicit"": 1, ""P-high-level"": 3, ""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-without-h	Kund	32	9	23	"{""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-without-h	bro	32	10	22	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 1, ""unmarked"": 10}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-without-h	Ush	32	10	22	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 1, ""stress-marked@position-unresolved"": 1, ""unmarked"": 8}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-with-h	Sh	10	7	3	"{""E@-1"": 1, ""short-monosyllable"": 3, ""stress-marked@-2"": 1, ""unmarked"": 7}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-with-h	Phal	10	10	0	"{""E@-1"": 3, ""L@-1"": 7, ""S@-1"": 1, ""S@-2"": 1, ""short-monosyllable"": 10, ""syllable-marked@-2"": 1, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 10, ""vowel-sequence-marked@position-unresolved"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-with-h	Sv	10	6	4	"{""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
