record_id	family_id	form	gloss	source	input	prediction	observed_from_right	observed_mora	status	exclusion	description
f_rxbwwjrwknd2c	644	áaḍu	half; half of, some of; the one half; half of the people; some of them, etc.	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): éeḍi; Morphemic form: aḍ-
f_bofzrqsrbabiy	1236	óomu	unripe; raw	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): éemi; Morphemic form: áam-
f_mnm3phpk6csga	1236	úumu	unripe; raw	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): éemi; Morphemic form: áam-; Variant restriction: Biori
f_ckakslbwtixv2	1440	aawíiṛu	narrow ; tight	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): aawíiṛi
f_vicer7wlo2rkc	1804	utháalu	high; tall (structure, etc.)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): uthéeli; Morphemic form: uthál-
f_3ascirwmhn6g4	1962	ungúru	heavy	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): ungúri; Morphemic form: ungúr-
f_5tff23pqjlouq	2046	úbu	light (of weight)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): úbi; Morphemic form: ub-
f_2w66wnoimvsli	2540	úču	few; a little	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): úči; Morphemic form: uč-
f_6jpkdn653gavo	3153	kháaču	bad	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-
f_sszd7suoujs4q	3153	kháču	bad	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-; Variant restriction: Biori
f_t5orddkbgsdvw	3364	khúšu	left; left-handed	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): khúši
f_oalouf5f65klk	3451	kriṣíṇu	black	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): kriṣíṇi; Morphemic form: kriṣíṇ-
f_ajjtn2tbz5rp2	3523	koomáalu	soft	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): kooméeli; Morphemic form: koomál-
f_ingw6xl7i252y	3941	khúṭu	lame (not able to walk normally)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): khúṭi
f_kydp377akevme	4118	gáaḍu	big, large; grown, old; great; adult (man), elder	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): géeḍi; Morphemic form: gaḍ-
f_luu5elo3b4yo4	4119	ghaḍeerú	older; older one; elder	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): ghaḍeerí; Morphemic form: ghaḍeer-; Variant restriction: Biori
f_vzzbfoon65zbu	4424	gháanu	large, big	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): ghéeni; Morphemic form: ghan-
f_tql5kc4xttury	4850	čúkru	sour	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): čúkri; Morphemic form: čukr-
f_2s3dbgr747fbq	4889	čúṇu	thin, small	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): čuṇi; Morphemic form: čuṇ-
f_7cgajcw3ofv62	5244	ǰáandu	alive; living (person)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): ǰéendi; Morphemic form: ǰand-
f_nguvkfcw5lnf2	5679	táatu	hot	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): téeti; Morphemic form: tat-
f_yr3bcs6m4torm	5839	tíiṇu	sharp	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): tíiṇi; Morphemic form: tíiṇ-
f_nxwwzu35he5kg	5938	tríṣṭu	sour, bitter	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): triṣṭi; Morphemic form: triṣṭ
f_gfwv3enm6jbls	6119	deec̣híṇu	right	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): deec̣híṇi; Morphemic form: deec̣híṇ-
f_u5326otvtzozy	6368	dhrígu	long, tall	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): dhrígi; Morphemic form: dhríg-
f_te7erw54blipe	6926	náanu	naked	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): néeni; Morphemic form: nan-
f_gyj7em6aqpm4e	6983	náawu	new	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): néewi; Morphemic form: naw-
f_kffd6gadmjs24	7563	níilu	green, blue	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): níili; Morphemic form: níil-
f_dm4orq5vixtfi	8047	paṇáaru	white	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): paṇéeri; Morphemic form: paṇár-
f_ff4rkot57t4uy	8283	puróoṇu	old	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): puréeṇi; Morphemic form: puráaṇ-
f_2qalct2ama34g	8283	purúuṇu	old	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): puréeṇi; Morphemic form: puráaṇ-; Variant restriction: Biori
f_6pxjcbhqnr7m4	9268	bhúuru	deaf	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bhúuri; Morphemic form: bhóor-
f_gugzwptdgrta2	9271	búuḍu	old	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): búuḍi
f_3uyd6wv23msu4	9330	bhakúlu	fat, thick; strong	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): bhakúli; Morphemic form: bhakúl-
f_rvrfovg54cto4	9530	bhúuru	deaf	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bhúuri; Morphemic form: bhóor-
f_p5kfqitphd65a	9793	mhoóru	sweet; tasty	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	L	consistent		Inflection: Reg (Fem): mhoóri
f_nw7reh3kwkfue	10191	móṇḍu	blunt, pointless	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem agr): móṇḍi; Morphemic form: moṇḍ-
f_sxefl3rjy3num	10496	yúuṛu	twin (person)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): yúuṛi
f_bfujkgwk5yhhy	10896	lhoóku	small; (small) child	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	L	consistent		Inflection: Reg (Fem): lhoóki; Morphemic form: lhoók-
