test	language	family_id	expected	observed	status	forms	explanation	unresolved
old-long-barytone	Sh	3735	E	"[""E"", ""L""]"	conflicting	"[""c̣heéc [gil;buddruss-shina1996]"", ""c̣héec̣ [Astor;schmidt]"", ""c̣héec̣ [dr;schmidt]"", ""c̣héec̣ [gil;degener-shina2008]"", ""c̣héec̣ [gil;schmidt]"", ""c̣héec̣ [gur;schmidt]""]"	Palula c̣híitr/Biori c̣héetr and Schmidt/Degener Shina c̣héec̣ have early accent on the inherited long root, with Ashret raising ee to ii. Buddruss's Gilgit c̣heéc instead has late accent. This is a direct primary-source disagreement in a diagnostic old-long barytone family, and must appear in the exception/source table rather than be resolved by majority vote.	Check Buddruss's printed form and paradigm; source, speaker and consonant-transcription differences may accompany the accent difference.
old-long-barytone	Sh	10323	E	"[""E"", ""L""]"	conflicting	"[""mií~ [gur;schmidt]"", ""míi~ [Astor;schmidt]"", ""míi~ [dr;schmidt]"", ""míi~ [gil;schmidt]""]"	Palula míi and Gilgit/Astori míi~ have early prominence compatible with old ē accent and subsequent contraction/raising. Guresi mií~ is late in the same comparative source, while Kohistani myú~ and Degener míu have more complex vowel sequences. This is a genuine dialectal contour residual until differences in grease versus marrow formation or inflection are demonstrated.	Verify the Guresi table against original print and analyze unequal-vowel sequences and semantic/case distinctions.
old-long-barytone	Sh	10512	E	"[""L""]"	opposite	"[""juú [Astor;schmidt]"", ""juú~ [gil;schmidt]"", ""juú~ [gur;schmidt]"", ""juú~ [koh;schmidt]"", ""ǰuú [gil;degener-shina2008]"", ""ǰuú~ [gil;degener-shina2008]""]"	Palula ǰhií~ and Gilgit ǰuú/ǰuú~ have late accent against the initially accented long-root yūkā/yūka input assigned by this family. Consonant loss and feminine morphology make contraction or inflectional reaccentuation plausible, but not proved. The same Palula louse lexeme is explicitly compared with jīvá by Turner5239, whose full entry was checked. These are competing etymologies for one lexeme, not two independent confirmations. The yūkā analysis remains a counterexample under that hypothesis; accent alone cannot select the alternative jīva analysis.	Compare complete louse paradigms and independent segmental correspondences before choosing yūkā versus jīva or reconstructing a feminine accent shift. Do not remove the late yūkā-family outcome solely to improve the old-barytone rule.
old-long-barytone	Sh	10860	E	"[""L""]"	opposite	"[""ruú~ [gil;degener-shina2008]""]"	Gilgit ruú~ ‘heal’ is late-accented, but its verbal gloss and accompanying wa- indicate that the old noun rṓha may enter a modern predicate or light-verb construction. Deriving a bare verb directly from the noun's citation accent would therefore be unsafe. Loss of h and contraction are additional plausible sources of altered mora alignment that require an explicit intermediate.	Read the full Degener entry to determine grammatical structure and whether ruu is a nominal predicate or verb stem.
old-long-barytone	Phal	9108	E	"[""E"", ""L""]"	conflicting	"[""phiíṇ [Phal;liljegren]"", ""phʹîṇ [Phal;strand]""]"	Strand phʹîṇ ‘foam’ has early accent, whereas Liljegren phiíṇ ‘steam, vapour’ is late. Both have the raised vowel expected from an earlier early-accented ē stage, so the late modern form may involve subsequent reaccentuation or a semantic/lexical split. The two senses are related but must not be silently merged into one contradictory token or resolved by averaging sources.	Inspect each paradigm and speaker/dialect information to distinguish lexical split, variation and transcription disagreement.
old-long-barytone	Phal	10512	E	"[""L""]"	opposite	"[""ǰhií~ [Phal;liljegren]"", ""ǰhîʹ˜ [Phal;strand]""]"	Palula ǰhií~ and Gilgit ǰuú/ǰuú~ have late accent against the initially accented long-root yūkā/yūka input assigned by this family. Consonant loss and feminine morphology make contraction or inflectional reaccentuation plausible, but not proved. The same Palula louse lexeme is explicitly compared with jīvá by Turner5239, whose full entry was checked. These are competing etymologies for one lexeme, not two independent confirmations. The yūkā analysis remains a counterexample under that hypothesis; accent alone cannot select the alternative jīva analysis.	Compare complete louse paradigms and independent segmental correspondences before choosing yūkā versus jīva or reconstructing a feminine accent shift. Do not remove the late yūkā-family outcome solely to improve the old-barytone rule.
old-long-barytone	Phal	10702	E	"[""L""]"	opposite	"[""raát [Phal;liljegren]"", ""râʹt [Phal;strand]""]"	Shina ráati retains initial root accent and final i. Palula feminine raát denotes a counted night-and-day period and has i-declension plural reetí; Strand Phal-r.html40–41 explicitly derives it from rā́tri10702. Ordinary Palula night is a separate fixed a-declension róot/róota, which Strand assigns to neuter rātra10700. The aa/ee i-declension screen now supplies an independently defined modern class for raát/reetí: 73 comparable citation/inflection form pairs, representing66 lexemes, all have late citation accent and final inflectional i accent. This explains its synchronic class membership without proving exactly when or how its inherited accent was reassigned. Kalkoti ordinary ràat is better compared semantically with róot; its Low still lacks an explanation from Palula aspiration alone.	The change from the old feminine rā́trī formation into the productive modern umlaut class needs a historical mechanism. Do not copy the neuter róot accent into the feminine counted-period noun, or infer the old neuter accent solely from its modern outcome.
old-long-oxytone	Sh	4336	L	"[""E"", ""L""]"	conflicting	"[""goóṣ [Astor;schmidt]"", ""goóṭ [dr;schmidt]"", ""goóṭ [gil;buddruss-shina1996]"", ""goóṭ [gil;degener-shina2008]"", ""góoṣ [gur;schmidt]"", ""góoṣ [koh;schmidt]"", ""góoṭ [gil;schmidt]""]"	Palula ghoóṣṭ and independently Degener/Buddruss Gilgit goóṭ have late long accent, matching final-accent apocope. Kohistani/Guresi góoṣ is early, with fixed inflection documented elsewhere, requiring a real class difference. Schmidt's Gilgit góoṭ versus Astori goóṣ belongs to a known table reversal/conflict and cannot override the independent Gilgit sources. Aspiration migration in Palula and cluster reduction in Shina are separate preconditions.	Resolve the printed table readings and Astori paradigm; do not turn an editorial reversal into a geographic sound law.
old-long-oxytone	Sh	4387	L	"[""E""]"	opposite	"[""gríi~ [gil;degener-shina2008]""]"	Gilgit gríi~ ‘collar’ has early root accent despite old final-accented ā. Loss of v and nasalization/derivational history distinguish this from a simple old long vowel plus final-a apocope case. Collar may be a derivative of the neck noun with a different suffix/accent, but that formation must be established. Brokskat grī ‘neck’ is unmarked.	The semantic derivative is plausible but does not yet explain early accent; retain as a residual pending the collar paradigm.
old-long-oxytone	Sh	5958	L	"[""E"", ""L""]"	conflicting	"[""teél [gil;buddruss-shina1996]"", ""teél [gil;degener-shina2008]"", ""téel [gil;buddruss-shina1996]""]"	Degener teél and Buddruss's explicitly rare teél match final-accent apocope after ai-to-ee monophthongization. Buddruss's usual téel is early in the same entry. This is stronger evidence of actual lexical variation than a discrepancy between independently compiled dictionaries, because both alignments are printed as alternatives by one source. Kundal tɛ̄l is unmarked.	Investigate whether frequency, speaker, inflection or contact predicts the early variant; retain the usual/rare distinction in counts.
