record_id	family_id	citation	gloss	inflected	citation_outcome	citation_position	inflected_outcome	inflected_position	quantity_pattern	inflected_quantity_pattern	status	analysis	description
f_i2nvumifisr56	1474	aaṣaáṛ	apricot	aaṣaṛí	L	1	S	1	LL	LSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): aaṣaṛí; Morphemic form: aaṣáṛ
f_v72oq5oe2lou4	3662	c̣haár	waterfall	c̣harí	L	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): c̣harí; Morphemic form: c̣har-
f_lefvdsipu3sgu	3662	c̣har	waterfall	c̣harí	short-monosyllable		S	1	S	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): c̣harí; Morphemic form: c̣har-; Variant restriction: Biori
f_lke2sojllsqo6	4762	čáar	fresh grass (esp. as fodder)	čarí	E	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Grass čáar/čarí has E in the citation but final i in the inflection. The independent Biori short čar distinguishes newly lengthened aa from the aa/ee umlaut noun class.	Inflection: i-decl (Obl, pl): čarí
f_muzmibohogi2y	4762	čar	fresh grass (esp. as fodder)	čarí	short-monosyllable		S	1	S	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): čarí; Variant restriction: Biori
f_y72fzcb66idm2	5098	zaán	self	ǰaní	L	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl): ǰaní; Usage: Primarily functioning pronominally along with the reflexive pronoun teeṇíi in the object position as a phrase co-referential with the clause subject.
f_5tw2co4dpblqu	5098	ǰaán	self	ǰaní	L	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl): ǰaní; Usage: Primarily functioning pronominally along with the reflexive pronoun teeṇíi in the object position as a phrase co-referential with the clause subject.
f_4jhbdvr5gy67e	6744	dharaáṇ	ground; earth	dharaṇí	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl): dharaṇí; Morphemic form: dharáṇ
f_5fsphphvp54li	6744	dharáṇ	ground; earth	dharaṇí	S	1	S	1	SS	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl): dharaṇí; Morphemic form: dharáṇ; Variant restriction: Biori
f_ujvlyk74hm24w	7031	náas	nose	nastí	E	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Nose náas/nastí has a consonantal stem alternation as well as shortening. Early citation accent matches the independently attested Biori short nas and ordinary short-a lengthening; final plural i is a different accent-bearing position.	Inflection: i-decl (Obl, pl): nastí
