Group_ID	Display_Form	Display_Gloss	Head_Strategy	N_Records	N_Attested	N_Telugu_Records	Languages	Reconstructions	Reconstruction_IDs	Reconstructed_Input_Flags	Comparative_Input_Flags	Telugu_Forms	Status	Scope	In_Independent_Input_Screen	In_Prior_Cluster_Triage	In_Local_Stop_Process_Audit
d10	akavu		dedr-reflex	14	12	0	Badaga;Malayalam;Tamil	*aga-	f_7cjw44uutq5wg	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d100	aṭṭaiy-āṭal		dedr-reflex	7	5	1	Badaga;Kannada;Tamil;Telugu	*aṭai	f_5i3mxc3l2mliu	short-vowel-apical	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	aṭṭa	entry	not-in-current-full-casebook	1	0	0
d1000	*òl-		merriam-pdr	10	8	3	Kolami;Naikri;Parji;Tamil;Telugu;Tulu	*òl-	d1000;f_ddoahibvh656a	short-vowel-apical	postapical-cluster;short-vowel-apical	olucu | olupu | oliyu	entry	not-in-current-full-casebook	1	0	0
d1001	**ol-		krishnamurti-pfeiffer	8	5	1	Kurux;Parji;Telugu	**ol- | **ol | *ōl-	d1001;f_25eqlblawn6b4;f_wnaxoq4jjrkma	long-vowel-apical-control;short-vowel-apical	long-vowel-apical-control;postapical-cluster;short-vowel-apical	oliki	entry	not-in-current-full-casebook	1	0	0
d1002	oluŋku		dedr-reflex	6	4	0	Kodagu;Malayalam;Tamil	*oluŋku	f_7vrrrhgufbgm4	short-vowel-apical	short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1003	olku		dedr-reflex	40	38	4	Kannada;Kodagu;Malayalam;Tamil;Telugu;Tulu	*Ul-	f_ypvwhkqzwahug	short-vowel-apical	postapical-cluster;short-vowel-apical	olayu | nuliyu | ulucu | uliyu	entry	not-in-current-full-casebook	1	0	0
d1004	olku		dedr-reflex	11	9	1	Malayalam;Tamil;Telugu;Tulu	*ol-	f_v3r5p7fotqqos	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical	ollã-bōvu	entry	not-in-current-full-casebook	1	0	0
d1005	oliyal		dedr-reflex	15	13	4	Kannada;Malayalam;Tamil;Telugu;Tulu	*ol(l)-	f_c3va2c4gqhac6	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical	valuvu | valuva | olliya | olle	entry	not-in-current-full-casebook	1	0	0
d1006	ollu		dedr-reflex	55	52	6	Badaga;Kannada;Kota;Kui;Malayalam;Tamil;Telugu;Toda;Tulu	*ol- | *val-	f_fovnihodhqlbs;f_jfucxme5roa6g	short-vowel-apical	geminate-apical-control;long-vowel-apical-control;postapical-cluster;short-vowel-apical	valadu | valapu | vaddu | ōlimika | valacu (neg. gerund ollaka) | ollami	entry	not-in-current-full-casebook	1	0	0
d1007	ollu		dedr-reflex	11	9	0	Gondi;Malayalam;Tamil	*ollu (olli-)	f_erkpbwn6oszey	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1008	ollai		dedr-reflex	8	4	0	Malayalam;Tamil	*ollai | *ollē | *oll-en_a	f_7rlb4qfuqu22q;f_hnron6ab5t77q;f_zfywoolw4ohlq	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1009	oṛ̆i		dedr-reflex	44	42	4	Kannada;Kodagu;Malayalam;Tamil;Telugu;Toda;Tulu	*oẓ-i-	f_4zujqrtakgrvu	short-vowel-apical	nonapical-control;postapical-cluster;short-vowel-apical	uḍuvu | uḍi-vōvu | uḍupu | uḍugu	entry	not-in-current-full-casebook	1	0	0
d101	aṭ		dedr-reflex	30	28	0	Badaga;Kota;Toda	*aṭ- (?)	f_k6xfugvwyp4c2	short-vowel-apical	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1010	oṛ̆uku		dedr-reflex	25	23	0	Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ō̆ẓ-	f_7mi4sov6np4ys		long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1011	oṛ̆uku		dedr-reflex	10	8	0	Malayalam;Tamil	*oẓuku (oẓuki-)	f_a4gg3yplj6fca	short-vowel-apical	short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1012	*oẓ-ukk-	; to spin	krishnamurti-pfeiffer	31	24	2	Gondi;Kota;Kui;Kurux;Kuwi;Malto;Manda;Naiki;Pengo;Tamil;Telugu;Toda;Tulu	*oẓ-ukk- | *oẓ- | *oẓ-ukk | **oẓVcV | *oḍ-	d1012;f_4zseb4uqfxecg;f_6klezekfwlhsc;f_iykyyezgagwjs;f_skf7rtg7sp3wg;f_ugokohun5qqjq	postapical-cluster;short-vowel-apical	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	vaḍuku | oḍuku	entry	not-in-current-full-casebook	1	0	0
