locator	kind	record_ids	family_id	decision
record_decisions.jsonl:1	record_decisions*.jsonl	"[""f_cvdcqs2s4pewm""]"	2574	"{""record_id"": ""f_cvdcqs2s4pewm"", ""original_family"": ""5274"", ""research_family"": ""2574"", ""decision"": ""correct-number-in-research-only"", ""confidence"": ""high"", ""reason"": ""The Palula source's full etymology explicitly says ká- ‘nom.sg.masc.’ but cites T:5274, whose headword is jñātá ‘known’. Turner 2574 is ká. This is a transposed-number reference error, supported independently by the matching word, gloss, grammar and other Shinaic interrogatives; it is not a phonological derivation from jñātá."", ""database_changed"": false}"
record_decisions_02.jsonl:1	record_decisions*.jsonl	"[""f_qxqpsjjnfjlgu""]"	10310	"{""record_id"": ""f_qxqpsjjnfjlgu"", ""original_family"": ""10301"", ""research_family"": ""10310"", ""research_ancestor"": ""10310-2"", ""decision"": ""correct-number-in-research-only"", ""confidence"": ""high"", ""reason"": ""Strand's primary HTML explicitly says me˜ṭha ‘ram’, T. 10301.2, and contrasts 10301.1. Turner 10310.2 is *mēṇṭha ‘ram’; 10301 is mḗkhalā ‘girdle’. The transposed number originates in the source; the intended subsection is independently identifiable by form, sense and the consonantal argument."", ""source_locator"": ""data/.cache/strand-legacy/Phal-m.html:221–223"", ""database_changed"": false}"
record_decisions_03.jsonl:1	record_decisions*.jsonl	"[""f_blnpjjeb7d3a2""]"	11250	"{""record_id"": ""f_blnpjjeb7d3a2"", ""original_family"": ""13801"", ""research_family"": ""11250"", ""research_ancestor"": ""11250"", ""decision"": ""correct-number-in-research-only"", ""confidence"": ""high"", ""reason"": ""Strand's cached primary HTML explicitly names vadhʹu-:- ‘bride; son's wife’ for bhôʹy, but cites T. 13801, which is snuṣā. Turner 11250 is vadhū́. Form, meaning and independently linked Liljegren bhoóy all support correction of the numerical reference, not a novel sn-to-b sound change."", ""source_locator"": ""data/.cache/strand-legacy/Phal-b.html:308–311"", ""database_changed"": false}"
record_decisions_04.jsonl:1	record_decisions*.jsonl	"[""f_aiuspzxtqhd6a""]"	7843	"{""record_id"": ""f_aiuspzxtqhd6a"", ""decision"": ""research-reference-correction"", ""database_family_id"": ""7483"", ""research_family_id"": ""7843"", ""research_ancestor_id"": ""7843"", ""evidence"": ""Strand primary cached Phal-p.html lines 38–39 explicitly derives parʹûṇ ‘strainer; colander’ from pari-pav-ana- ‘winnowing basket’ but prints T. 7483. Turner paripavana is 7843; 7483 is *niṣkāla ‘exit, expulsion’. Internal digit transposition in the cited source, independently settled by the source's written etymon and meaning."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_05.jsonl:1	record_decisions*.jsonl	"[""f_lebjbwpup7d7m""]"		"{""record_id"": ""f_lebjbwpup7d7m"", ""decision"": ""research-gloss-correction"", ""research_gloss"": ""earthquake"", ""evidence"": ""Turner cached original page 545, entry 9560: Phal. ghōmāl, ghūm°, gahum° f. are earthquake forms, said to be deformed after ghōm, ghuma ‘wheat’ to avoid ill-luck. The parser propagated the comparison gloss ‘wheat’ onto the earthquake forms."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_05.jsonl:2	record_decisions*.jsonl	"[""f_jhr3nwezdxvzw""]"		"{""record_id"": ""f_jhr3nwezdxvzw"", ""decision"": ""research-gloss-correction"", ""research_gloss"": ""earthquake"", ""evidence"": ""Turner cached original page 545 entry 9560 explicitly lists ghūm° among earthquake forms; ‘wheat’ applies to the subsequent comparison ghōm, ghuma."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_05.jsonl:3	record_decisions*.jsonl	"[""f_636vv2wk5wubs""]"		"{""record_id"": ""f_636vv2wk5wubs"", ""decision"": ""research-gloss-correction"", ""research_gloss"": ""earthquake"", ""evidence"": ""Turner cached original page 545 entry 9560 explicitly lists gahum° f. among earthquake forms; ‘wheat’ applies to subsequent comparison nouns."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_05.jsonl:4	record_decisions*.jsonl	"[""f_a54dq4lmy4coa""]"		"{""record_id"": ""f_a54dq4lmy4coa"", ""decision"": ""exclude-from-family-reflex-count"", ""reason"": ""Turner page 545 entry 9560 cites ghōm ‘wheat’ as a proposed contaminating model for earthquake, not a reflex of bhūmicala. Preserve as explanatory comparator and link independently under the wheat family if warranted."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_05.jsonl:5	record_decisions*.jsonl	"[""f_2ppizumzovzcy""]"		"{""record_id"": ""f_2ppizumzovzcy"", ""decision"": ""exclude-from-family-reflex-count"", ""reason"": ""Turner page 545 entry 9560 cites ghuma ‘wheat’ as a proposed contaminating model for earthquake, not a reflex of bhūmicala. ‘To avoid ill-luck?’ is the author's tentative explanation of the earthquake deformation."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_06.jsonl:1	record_decisions*.jsonl	"[""f_win2xugdgtcwi""]"	9280	"{""record_id"": ""f_win2xugdgtcwi"", ""decision"": ""research-reference-correction"", ""database_family_id"": ""9820"", ""research_family_id"": ""9280"", ""research_ancestor_id"": ""9280"", ""evidence"": ""Strand cached Phal-b.html lines 319–320 explicitly gives bhʹun- ‘down’ from bu˜dha- ‘bottom’ but prints T. 9820.1. Turner bundha ‘bottom’ is 9280; 9820 is *madhyēsasya ‘intermediate crop’. Verified source digit transposition."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_06.jsonl:2	record_decisions*.jsonl	"[""f_viqgmkttr6g6g""]"	10104	"{""record_id"": ""f_viqgmkttr6g6g"", ""decision"": ""research-reference-correction"", ""database_family_id"": ""10114"", ""research_family_id"": ""10104"", ""research_ancestor_id"": ""10104"", ""evidence"": ""Degener raw transcription line 2269 gives máaz ‘Monat’ with T. 10114, but line 3334 gives ṣa-máazo ‘sechsmonatig’ with T. 12803 + 10104. Turner 10104 is mā́sa ‘moon, month’; 10114 is *māhiṣagavya. The same source's transparent six-month derivative independently confirms the intended reference. Check printed page in final source QA."", ""confidence"": ""high-textual; printed-page-check-pending"", ""database_changed"": false}"
record_decisions_07.jsonl:1	record_decisions*.jsonl	"[""f_hlj23tnsdlec2""]"	11532	"{""record_id"": ""f_hlj23tnsdlec2"", ""decision"": ""research-component-reference-correction"", ""database_family_id"": ""11531"", ""research_family_id"": ""11532"", ""research_ancestor_id"": ""11532"", ""research_relation"": ""compound-component; also tantra 5664"", ""evidence"": ""Liljegren 2011 vocabulary, traambú entry, explicitly gives *vābha ‘weaving, spinning’ but prints T. 11531. Turner *vābha is 11532; 11531 is *vāpyatē ‘is sown’. The source also gives tántra 5664 as a component. Retain this as a compound analysis, not an independent whole-word reflex of each component."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_07.jsonl:2	record_decisions*.jsonl	"[""f_oqwlckdtcldmo""]"		"{""record_id"": ""f_oqwlckdtcldmo"", ""decision"": ""exclude-from-family-reflex-count"", ""reason"": ""Liljegren 2011 traambú entry gives Biori bhúmbur as a lexical variant (both words used), but tantra + *vābha describes traambú, not automatically the segmentally unrelated bhúmbur. Retain bhúmbur as a lexical replacement pending independent etymology; do not count it as a *vāpyatē or *vābha reflex."", ""confidence"": ""high-for-exclusion-from-direct-reflex-count"", ""database_changed"": false}"
record_decisions_08.jsonl:1	record_decisions*.jsonl	"[""f_h5af5jmqwporg""]"		"{""record_id"": ""f_h5af5jmqwporg"", ""decision"": ""exclude-from-family-reflex-count"", ""reason"": ""Turner original cached page545 entry9556 does not attest Sawi bhū́man. It says forms in several languages, including Sawi and Palula, could derive from bhū́man if masculine or bhū́mi if feminine, with bhūmya another possibility. The parser turned the Sanskrit proposed ancestor into a modern-language record. Preserve as etymological commentary, not accent-bearing attestation."", ""confidence"": ""high"", ""database_changed"": false}"
record_decisions_08.jsonl:2	record_decisions*.jsonl	"[""f_whtxwn5mcasvo""]"		"{""record_id"": ""f_whtxwn5mcasvo"", ""decision"": ""exclude-from-family-reflex-count"", ""reason"": ""Turner original cached page545 entry9556 does not attest Palula bhū́man. The string is a Sanskrit alternative ancestor in a conditional gender-based derivation of forms cited elsewhere. The extracted note ‘if f’ also misrepresents the original condition for bhū́man, which is ‘if m’. Exclude from modern lexical/accent counts."", ""confidence"": ""high"", ""database_changed"": false}"
